事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
５人以上,TL 調査産業計,平成17,2005,年平均,6344869,3987491,2357378,135744,75553,60191,134863,74283,60580,6345750,3988761,2356989,20.4,10.1,37.9
５人以上,TL 調査産業計,平成18,2006,年平均,6395191,4016010,2379181,141384,74178,67206,133357,71271,62086,6403218,4018917,2384301,20.3,10.6,36.8
５人以上,TL 調査産業計,平成19,2007,年平均,6482040,4073527,2408513,145927,76877,69050,137658,72908,64750,6490309,4077496,2412813,20.2,10.6,36.3
５人以上,TL 調査産業計,平成20,2008,年平均,6579296,4124424,2454871,145845,77920,67925,134754,71724,63030,6590387,4130620,2459766,20.1,10.4,36.4
５人以上,TL 調査産業計,平成21,2009,年平均,6947271,4210603,2736668,151406,80726,70681,150097,79265,70832,6948580,4212064,2736517,21.5,11.7,36.6
５人以上,TL 調査産業計,平成21,2009,1月,6939119,4223579,2715540,102572,46383,56189,109490,53092,56398,6932201,4216870,2715331,22.3,12,38.3
５人以上,TL 調査産業計,平成21,2009,2月,6926479,4199827,2726652,106794,51024,55770,120224,57186,63038,6913049,4193665,2719384,21.5,11.6,36.7
５人以上,TL 調査産業計,平成21,2009,3月,6913049,4193090,2719959,141143,71059,70084,169972,85796,84176,6884220,4178353,2705867,21.3,11.4,36.8
５人以上,TL 調査産業計,平成21,2009,4月,6884220,4165014,2719206,459043,259351,199692,330371,179573,150798,7012892,4244792,2768100,20.9,11.3,35.8
５人以上,TL 調査産業計,平成21,2009,5月,7015597,4253603,2761994,146708,75865,70843,189004,101661,87343,6973301,4227807,2745494,21.6,11.7,36.9
５人以上,TL 調査産業計,平成21,2009,6月,6973301,4231433,2741868,133249,67512,65737,143211,80386,62825,6963339,4218559,2744780,21.3,11.3,36.5
５人以上,TL 調査産業計,平成21,2009,7月,6966968,4212267,2754701,137382,80109,57273,138401,73478,64923,6965949,4218898,2747051,21.8,11.9,37.1
５人以上,TL 調査産業計,平成21,2009,8月,6965950,4219146,2746804,111025,58106,52919,127349,63945,63404,6949626,4213307,2736319,21,11.4,35.7
５人以上,TL 調査産業計,平成21,2009,9月,6949626,4226238,2723388,114359,59607,54752,117509,62499,55010,6946476,4223346,2723130,21.5,11.8,36.5
５人以上,TL 調査産業計,平成21,2009,10月,6946476,4216107,2730369,140929,80963,59966,159253,95296,63957,6928152,4201774,2726378,21.6,11.9,36.5
５人以上,TL 調査産業計,平成21,2009,11月,6928153,4183470,2744683,132097,72166,59931,98988,50722,48266,6961262,4204914,2756348,21.4,11.8,36.1
５人以上,TL 調査産業計,平成21,2009,12月,6958313,4203463,2754850,91574,46562,45012,97388,47548,49840,6952499,4202477,2750022,21.6,11.8,36.4
５人以上,D 鉱業,平成17,2005,年平均,2696,2208,488,59,47,12,53,39,13,2702,2216,487,0,0,0.2
５人以上,D 鉱業,平成18,2006,年平均,2162,1772,390,40,35,5,38,33,5,2164,1774,390,0,0,0.3
