地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,ネパール,インド,タイ,英国,ミャンマー,ベトナム,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,390736,160572,97015,28048,15685,10098,7856,6888,5305,4922,8158,46189,389931,805
1,13100,区部,327112,136573,81882,21111,12922,8732,7220,5660,4666,4687,6747,36912,326619,493
4,13101,千代田区,2463,1059,390,49,179,29,94,36,75,5,28,519,2619,-156
4,13102,中央区,4899,2119,1095,109,267,76,225,54,99,24,60,771,4898,1
4,13103,港区,18131,3450,3647,893,3378,102,625,167,802,28,68,4971,19367,-1236
4,13104,新宿区,33445,12420,11561,650,905,1373,199,676,346,1072,1204,3039,32719,726
4,13105,文京区,7001,2862,1923,187,294,164,97,193,89,111,174,907,7179,-178
4,13106,台東区,12551,5917,3581,643,157,240,618,255,65,67,218,790,12341,210
4,13107,墨田区,9242,4418,1965,1266,117,106,70,344,50,71,74,761,9130,112
4,13108,江東区,20822,10673,4604,1372,337,258,1113,347,111,203,173,1631,20480,342
4,13109,品川区,10445,3802,2313,694,551,474,421,166,184,179,210,1451,10729,-284
4,13110,目黒区,6873,1554,1447,503,734,238,120,122,317,43,58,1737,7010,-137
4,13111,大田区,18536,7479,3701,2132,532,1120,287,405,165,108,543,2064,18174,362
4,13112,世田谷区,14798,3993,4049,726,1281,279,368,193,591,65,249,3004,14987,-189
4,13113,渋谷区,8990,1889,1622,280,1298,132,172,197,683,33,93,2591,9599,-609
4,13114,中野区,10743,4221,2916,411,371,479,84,193,160,180,425,1303,10742,1
4,13115,杉並区,10546,3760,2677,439,562,664,109,193,232,147,356,1407,10375,171
4,13116,豊島区,19119,11344,2732,404,385,869,130,267,116,970,508,1394,19000,119
4,13117,北区,14313,7701,2792,774,168,320,118,153,72,602,335,1278,14165,148
4,13118,荒川区,15392,6810,6058,508,126,416,75,142,44,301,272,640,15139,253
4,13119,板橋区,16449,9120,3129,1248,292,328,64,253,107,182,423,1303,16065,384
4,13120,練馬区,12751,5131,3905,869,421,229,132,257,133,43,229,1402,12739,12
4,13121,足立区,22396,8696,7802,3232,211,179,100,385,89,57,238,1407,22450,-54
4,13122,葛飾区,13909,6898,3479,1359,133,294,70,233,51,99,205,1088,13627,282
4,13123,江戸川区,23298,11257,4494,2363,223,363,1929,429,85,97,604,1454,23085,213
1,13200,市部,62757,23877,14962,6673,2707,1363,636,1206,637,232,1382,9082,62497,260
4,13201,八王子市,8997,3715,1979,1043,248,239,83,130,52,27,198,1283,9013,-16
4,13202,立川市,3247,1516,794,301,111,67,65,37,18,7,23,308,3285,-38
4,13203,武蔵野市,2242,827,540,77,255,66,22,32,59,14,28,322,2169,73
4,13204,三鷹市,2793,910,709,157,306,34,9,52,73,27,48,468,2816,-23
4,13205,青梅市,1444,407,232,338,54,15,8,60,6,2,53,269,1459,-15
4,13206,府中市,4134,1604,857,457,217,49,51,74,34,34,85,672,4120,14
4,13207,昭島市,2070,796,575,214,51,69,20,32,5,4,42,262,1959,111
4,13208,調布市,3502,1255,1082,281,139,39,60,83,40,15,70,438,3536,-34
4,13209,町田市,4766,1922,1092,508,183,40,72,103,64,14,69,699,4764,2
4,13210,小金井市,2000,919,293,100,112,90,13,42,39,18,42,332,2096,-96
4,13211,小平市,3889,1252,1625,243,99,22,19,55,28,10,103,433,3828,61
4,13212,日野市,2445,1092,518,215,60,46,10,54,24,17,107,302,2363,82
4,13213,東村山市,2084,769,570,250,43,49,11,29,17,1,37,308,2103,-19
4,13214,国分寺市,1637,747,407,105,72,41,6,15,23,5,43,173,1615,22
4,13215,国立市,1282,492,349,70,50,48,32,22,14,2,24,179,1337,-55
4,13218,福生市,2495,665,266,334,117,292,26,110,3,1,176,505,2379,116
4,13219,狛江市,953,365,204,90,50,38,11,39,19,2,12,123,917,36
4,13220,東大和市,1041,367,306,240,18,1,2,24,10,2,8,63,1005,36
4,13221,清瀬市,984,382,185,165,30,19,1,18,5,4,21,154,985,-1
4,13222,東久留米市,1618,516,314,245,198,11,28,34,28,3,14,227,1557,61
4,13223,武蔵村山市,1097,401,183,275,27,2,1,21,1,0,45,141,1045,52
4,13224,多摩市,2038,864,517,236,55,46,15,32,13,9,29,222,2086,-48
4,13225,稲城市,1093,395,287,160,33,2,14,24,8,0,14,156,1093,0
4,13227,羽村市,1196,188,107,217,44,10,9,13,9,1,29,569,1287,-91
4,13228,あきる野市,634,174,145,101,42,2,8,10,3,0,18,131,621,13
4,13229,西東京市,3076,1337,826,251,93,26,40,61,42,13,44,343,3059,17
1,13550,町村部,867,122,171,264,56,3,0,22,2,3,29,195,815,52
2,13300,郡部,636,107,89,196,37,3,0,15,1,3,27,158,595,41
4,13303,瑞穂町,531,84,64,175,21,2,0,13,0,3,27,142,484,47
4,13305,日の出町,71,18,16,15,9,1,0,1,0,0,0,11,79,-8
