地域階層,地域コード,国・地域(人),総数,中国,韓国・朝鮮,フィリピン,米国,ネパール,インド,タイ,英国,ミャンマー,ベトナム,その他,前年同月との比較／総数,前年同月との比較／増減数
0,13000,総数,390674,161169,99880,27929,15901,8669,8313,6906,5522,4781,4669,46935,406096,-15422
1,13100,区部,327266,137297,84335,21122,13190,7509,7654,5674,4858,4542,3650,37435,339448,-12182
4,13101,千代田区,2550,1085,400,54,178,27,119,31,66,7,37,546,2637,-87
4,13102,中央区,4947,2101,1068,112,286,69,253,61,102,25,41,829,4977,-30
4,13103,港区,18853,3403,3712,927,3619,99,706,175,892,39,52,5229,20620,-1767
4,13104,新宿区,33574,12775,12255,657,834,1202,229,676,384,1035,418,3109,33568,6
4,13105,文京区,6935,2823,1990,188,307,142,96,183,93,110,119,884,7352,-417
4,13106,台東区,12503,5956,3644,634,165,224,619,251,70,58,95,787,12662,-159
4,13107,墨田区,9213,4425,2006,1260,111,81,66,368,42,66,51,737,9558,-345
4,13108,江東区,20889,10602,4714,1393,372,236,1135,328,111,176,109,1713,21157,-268
4,13109,品川区,10566,3780,2372,721,552,425,504,164,193,193,174,1488,11274,-708
4,13110,目黒区,6949,1617,1454,517,735,210,118,135,318,50,48,1747,7369,-420
4,13111,大田区,18200,7373,3734,2101,502,943,305,395,179,113,495,2060,18165,35
4,13112,世田谷区,14827,3936,4086,731,1290,265,379,185,628,68,197,3062,15686,-859
4,13113,渋谷区,9445,1987,1705,291,1464,122,172,220,728,30,81,2645,9834,-389
4,13114,中野区,10610,4301,3070,404,369,409,91,200,153,191,142,1280,11418,-808
4,13115,杉並区,10489,3801,2803,447,558,565,124,195,230,142,207,1417,10773,-284
4,13116,豊島区,19065,11677,2787,412,377,683,128,257,118,926,261,1439,19324,-259
4,13117,北区,14248,7930,2820,763,159,233,127,148,61,592,150,1265,15451,-1203
4,13118,荒川区,15313,6854,6271,510,110,320,83,131,43,279,134,578,15667,-354
4,13119,板橋区,16234,9158,3240,1282,238,261,67,259,99,160,185,1285,17337,-1103
4,13120,練馬区,12740,5144,3951,858,412,231,139,267,132,53,127,1426,13017,-277
4,13121,足立区,22282,8486,7969,3221,210,196,109,378,79,56,163,1415,23059,-777
4,13122,葛飾区,13719,6859,3553,1314,121,223,65,228,54,98,144,1060,14163,-444
4,13123,江戸川区,23115,11224,4731,2325,221,343,2020,439,83,75,220,1434,24380,-1265
1,13200,市部,62590,23751,15380,6549,2655,1155,659,1209,662,238,1005,9327,65745,-3155
4,13201,八王子市,8983,3768,2030,1028,245,172,96,128,54,33,121,1308,9072,-89
4,13202,立川市,3294,1487,846,300,116,60,65,36,19,7,20,338,3504,-210
4,13203,武蔵野市,2180,799,542,76,208,49,19,35,63,12,28,349,2297,-117
4,13204,三鷹市,2844,915,736,169,292,36,10,61,84,23,38,480,2976,-132
4,13205,青梅市,1445,405,238,335,54,10,10,58,5,1,42,287,1592,-147
4,13206,府中市,4106,1520,894,445,232,37,53,85,39,36,61,704,4279,-173
4,13207,昭島市,2010,786,594,197,45,56,18,28,5,4,20,257,2130,-120
4,13208,調布市,3550,1276,1114,275,147,35,59,93,37,15,71,428,3853,-303
4,13209,町田市,4747,1950,1101,463,172,33,65,109,67,15,65,707,5076,-329
4,13210,小金井市,2096,935,325,110,114,82,20,40,41,14,35,380,2238,-142
4,13211,小平市,3906,1168,1689,237,92,19,15,59,32,11,100,484,4002,-96
4,13212,日野市,2407,1138,524,203,62,53,16,42,26,16,46,281,2486,-79
4,13213,東村山市,2093,774,582,253,47,54,8,29,15,7,20,304,2349,-256
4,13214,国分寺市,1635,749,413,102,84,29,7,13,23,2,22,191,1667,-32
4,13215,国立市,1286,460,372,74,44,62,29,23,13,2,19,188,1411,-125
4,13218,福生市,2400,699,281,329,115,226,30,110,4,3,111,492,2443,-43
4,13219,狛江市,909,323,231,90,45,30,11,31,21,1,12,114,933,-24
4,13220,東大和市,1011,348,313,229,15,1,2,25,7,2,5,64,1038,-27
4,13221,清瀬市,967,402,192,150,25,17,1,21,2,3,13,141,1004,-37
4,13222,東久留米市,1592,515,284,239,206,10,28,32,25,3,13,237,1653,-61
4,13223,武蔵村山市,1071,388,169,273,32,1,1,24,2,0,46,135,1177,-106
4,13224,多摩市,2038,862,521,230,58,48,17,28,15,10,20,229,2229,-191
4,13225,稲城市,1082,372,296,166,30,2,15,21,9,1,10,160,1087,-5
4,13227,羽村市,1277,199,110,231,46,10,14,8,9,1,29,620,1401,-124
4,13228,あきる野市,640,176,153,100,43,2,9,11,3,0,15,128,635,5
4,13229,西東京市,3021,1337,830,245,86,21,41,59,42,16,23,321,3213,-192
1,13550,町村部,818,121,165,258,56,5,0,23,2,1,14,173,903,-85
2,13300,郡部,599,105,83,192,41,5,0,15,2,1,14,141,667,-68
4,13303,瑞穂町,490,82,59,169,20,4,0,14,1,1,14,126,554,-64
4,13305,日の出町,77,18,16,17,14,1,0,0,0,0,0,11,79,-2
4,13307,檜原村,11,0,5,2,4,0,0,0,0,0,0,0,12,-1
4,13308,奥多摩町,21,5,3,4,3,0,0,1,1,0,0,4,22,-1
2,13350,島部,219,16,82,66,15,0,0,8,0,0,0,32,236,-17
3,13360,大島支庁,58,7,11,4,3,0,0,6,0,0,0,27,58,0
3,13380,三宅支庁,35,2,17,15,1,0,0,0,0,0,0,0,38,-3
3,13400,八丈支庁,108,5,50,46,3,0,0,2,0,0,0,2,119,-11
3,13420,小笠原支庁,18,2,4,1,8,0,0,0,0,0,0,3,21,-3
,,,,,,,,,,,,,,,,
外国人人口　平成25年1月,,,,,,,,,,,,,,,,
第１表　区市町村別主要10か国外国人人口 （平成25年1月１日現在）,,,,,,,,,,,,,,,,
注１）国籍は、平成２５年１月１日現在で登録人口の多い１０か国とした。,,,,,,,,,,,,,,,,
