"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","時刻27","時刻28","時刻29","時刻30","時刻31","時刻32","時刻33","時刻34","時刻35","時刻36","時刻37","時刻38","備考"
"芝浦港南ルート2","田町駅東口→品川駅港南口","162","田町駅東口","7:49","8:09","8:29","8:49","9:09","9:29","9:49","10:09","10:29","10:49","11:09","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:09","14:29","14:49","15:09","15:29","15:49","16:09","16:29","16:49","17:09","17:29","17:49","18:09","18:29","18:49","19:09","19:29","19:49","20:09","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","2","藻塩橋","7:51","8:11","8:31","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:31","15:51","16:11","16:31","16:51","17:11","17:31","17:51","18:11","18:31","18:51","19:11","19:31","19:51","20:11","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","56","八千代橋","7:53","8:13","8:33","8:53","9:13","9:33","9:53","10:13","10:33","10:53","11:13","11:33","11:53","12:13","12:33","12:53","13:13","13:33","13:53","14:13","14:33","14:53","15:13","15:33","15:53","16:13","16:33","16:53","17:13","17:33","17:53","18:13","18:33","18:53","19:13","19:33","19:53","20:13","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","57","芝浦四丁目","7:54","8:14","8:34","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:34","14:54","15:14","15:34","15:54","16:14","16:34","16:54","17:14","17:34","17:54","18:14","18:34","18:54","19:14","19:34","19:54","20:14","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","174","高浜橋","7:55","8:15","8:35","8:55","9:15","9:35","9:55","10:15","10:35","10:55","11:15","11:35","11:55","12:15","12:35","12:55","13:15","13:35","13:55","14:15","14:35","14:55","15:15","15:35","15:55","16:15","16:35","16:55","17:15","17:35","17:55","18:15","18:35","18:55","19:15","19:35","19:55","20:15","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","175","芝浦中央公園運動場","7:58","8:18","8:38","8:58","9:18","9:38","9:58","10:18","10:38","10:58","11:18","11:38","11:58","12:18","12:38","12:58","13:18","13:38","13:58","14:18","14:38","14:58","15:18","15:38","15:58","16:18","16:38","16:58","17:18","17:38","17:58","18:18","18:38","18:58","19:18","19:38","19:58","20:18","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","176","浜路橋","7:59","8:19","8:39","8:59","9:19","9:39","9:59","10:19","10:39","10:59","11:19","11:39","11:59","12:19","12:39","12:59","13:19","13:39","13:59","14:19","14:39","14:59","15:19","15:39","15:59","16:19","16:39","16:59","17:19","17:39","17:59","18:19","18:39","18:59","19:19","19:39","19:59","20:19","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","177","港南の郷","8:00","8:20","8:40","9:00","9:20","9:40","10:00","10:20","10:40","11:00","11:20","11:40","12:00","12:20","12:40","13:00","13:20","13:40","14:00","14:20","14:40","15:00","15:20","15:40","16:00","16:20","16:40","17:00","17:20","17:40","18:00","18:20","18:40","19:00","19:20","19:40","20:00","20:20","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","178","港南三丁目","8:01","8:21","8:41","9:01","9:21","9:41","10:01","10:21","10:41","11:01","11:21","11:41","12:01","12:21","12:41","13:01","13:21","13:41","14:01","14:21","14:41","15:01","15:21","15:41","16:01","16:21","16:41","17:01","17:21","17:41","18:01","18:21","18:41","19:01","19:21","19:41","20:01","20:21","品川駅港南口では、乗車したまま乗り継ぐことができます。"
"芝浦港南ルート2","田町駅東口→品川駅港南口","179","港南四丁目","8:04","8:24","8:44","9:04","9:24","9:44","10:04","10:24","10:44","11:04","11:24","11:44","12:04","12:24","12:44","13:04","13:24","13:44","14:04","14:24","14:44","15:04","15:24","15:44","16:04","16:24","16:44","17:04","17:24","17:44","18:04","18:24","18:44","19:04","19:24","19:44","20:04","20:24","品川駅港南口では、乗車したまま乗り継ぐことができます。"
