 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,924","14,691,387","5,457","41,533,163",700,"12,760,009","1,978","35,917,023"
外航計,423,"10,761,619","1,193","30,404,131",401,"10,522,185","1,136","29,703,165"
外航定期計,403,"10,538,802","1,140","29,795,906",401,"10,522,185","1,136","29,703,165"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),33,"2,109,321",86,"5,597,988",32,"2,099,706",85,"5,588,373"
北米東岸(カリビア海含む),12,"981,218",36,"2,550,481",12,"981,218",36,"2,550,481"
北欧・地中海,14,"1,244,984",35,"3,324,654",13,"1,237,982",34,"3,317,652"
南米西岸,2,"252,281",10,"1,277,955",2,"252,281",10,"1,277,955"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,3,"135,445",11,"496,573",3,"135,445",11,"496,573"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-
東南アジア,146,"3,745,722",412,"10,533,177",146,"3,745,722",412,"10,533,177"
台湾,-,-,-,-,-,-,-,-
韓国,43,"374,720",128,"1,101,620",43,"374,720",128,"1,101,620"
中国(香港含む),150,"1,695,111",422,"4,913,458",150,"1,695,111",420,"4,837,334"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,20,"222,817",53,"608,225",-,-,-,-
内航計,"1,501","3,929,768","4,264","11,129,032",299,"2,237,824",842,"6,213,858"
内航定期計,518,"2,797,353","1,485","7,853,881",248,"2,042,524",734,"5,766,384"
北海道,100,"1,134,192",298,"3,231,509",100,"1,134,192",298,"3,231,509"
東北,48,"34,202",151,"108,599",48,"34,202",151,"108,599"
関東,87,"28,167",238,"80,550",-,-,-,-
伊豆諸島,152,"334,946",430,"958,159",-,-,-,-
中部,12,"8,988",40,"31,690",12,"8,988",40,"31,690"
近畿,10,"7,490",30,"22,470",10,"7,490",30,"22,470"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,83,"976,365",226,"2,663,310",52,"584,649",143,"1,614,522"
沖縄,26,"273,003",72,"757,594",26,"273,003",72,"757,594"
内航不定期,983,"1,132,415","2,779","3,275,151",51,"195,300",108,"447,474"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
