 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,520,829","19,231,711","1,102,531","2,973,101","1,043,291","2,823,758","2,178,145","7,228,030","2,082,361","6,964,012","1,325,295","3,679,332","1,914,858","5,351,248"
農水産品,,"401,800","1,259,023","27,746","66,956","27,746","66,949","347,239","1,116,012","279,778","929,426","10,940","35,581","15,875","40,474"
1,麦,"26,813","67,762",-,-,-,-,"18,688","51,422","1,245","4,486","1,030","1,675","7,095","14,665"
2,米,"7,223","21,524",528,974,528,974,"1,545","5,415","1,545","5,415","3,580","11,270","1,570","3,865"
3,とうもろこし,"1,181","3,378",-,60,-,60,"1,181","3,318","1,181","3,318",-,-,-,-
4,豆類,"13,052","32,504",23,29,23,29,"12,314","30,995","12,314","30,995",285,800,430,680
5,その他雑穀,390,"1,785",-,-,-,-,330,"1,355",330,"1,355",30,350,30,80
6,野菜・果物,"142,837","428,046","3,068","9,118","3,068","9,111","132,029","392,944","82,011","253,296","3,545","12,566","4,195","13,418"
7,綿花,175,365,30,33,30,33,145,332,145,332,-,-,-,-
8,その他農産品,"21,497","61,863",876,"2,802",876,"2,802","20,511","58,721","20,511","58,719",90,240,20,100
9,羊毛,-,150,-,-,-,-,-,150,-,150,-,-,-,-
10,その他畜産品,"111,923","393,584","2,640","7,453","2,640","7,453","107,596","381,780","107,596","381,780",917,"2,841",770,"1,510"
11,水産品,"76,709","248,062","20,581","46,487","20,581","46,487","52,900","189,580","52,900","189,580","1,463","5,839","1,765","6,156"
林産品,,"80,820","237,675","1,239","3,840","1,239","3,840","70,050","209,940","70,050","206,558","8,126","20,018","1,405","3,877"
12,原木,497,993,335,486,335,486,142,437,142,437,-,-,20,70
13,製材,"67,389","198,309",881,"3,269",881,"3,269","58,678","176,686","58,678","173,304","6,986","16,134",844,"2,220"
14,樹脂類,"6,852","21,734",-,50,-,50,"5,902","18,749","5,902","18,749",560,"1,960",390,975
15,木材チップ,"1,091","3,009",6,18,6,18,"1,016","2,643","1,016","2,643",-,-,69,348
16,その他林産品,654,"2,450",2,2,2,2,-,315,-,315,580,"1,889",72,244
17,薪炭,"4,337","11,180",15,15,15,15,"4,312","11,110","4,312","11,110",-,35,10,20
鉱産品,,"394,657","1,057,078","2,804","5,690","2,804","5,690","40,763","106,510","18,763","61,305","5,724","18,542","345,366","926,336"
18,石炭,"31,035","45,225",-,-,-,-,"24,480","34,142","2,480","12,142","1,508","3,051","5,047","8,032"
19,鉄鉱石,-,40,-,30,-,30,-,10,-,10,-,-,-,-
20,金属鉱,990,"1,985",-,-,-,-,990,"1,965",990,"1,965",-,20,-,-
21,砂利・砂,"254,689","693,762",82,110,82,110,"1,386","4,132","1,386","4,132",301,"2,929","252,920","686,591"
22,石材,"72,351","181,168",425,893,425,893,"6,666","17,050","6,666","17,050",545,855,"64,715","162,370"
23,原油,338,731,-,3,-,3,338,728,338,728,-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"15,246","44,791",-,-,-,-,-,15,-,15,60,165,"15,186","44,611"
26,原塩,608,"2,107",4,10,4,10,584,"2,017",584,"2,017",-,-,20,80
27,非金属鉱物,"19,400","87,269","2,293","4,644","2,293","4,644","6,319","46,451","6,319","23,246","3,310","11,522","7,478","24,652"
金属機械工業品,,"2,279,650","6,501,938","421,037","1,188,805","420,785","1,184,017","486,194","1,623,794","479,982","1,609,364","712,518","1,959,959","659,901","1,729,380"
28,鉄鋼,"3,565","14,706","1,220","7,992","1,220","4,914","2,145","6,139","2,145","6,139",160,375,40,200
29,鋼材,"119,762","341,998","21,279","55,187","21,279","55,187","11,046","31,165","7,752","24,482","1,973","6,157","85,464","249,489"
30,非鉄金属,"21,989","64,177","10,291","24,198","10,291","24,191","9,828","30,874","9,812","30,844",70,210,"1,800","8,895"
