 3-(1)海上出入貨物月別前年比較表,,,,,,,,,,(単位：トン）,,,,,,,,,,(単位：トン）
月,令和2年(2020年),,,,,,,,,,平成31年(2019年),,,,,,,,,
,合計,外貿,,,（外貿コンテナ）,,,内貿,,,合計,外貿,,,（外貿コンテナ）,,,内貿,,
,,計,輸出,輸入,計,輸出,輸入,計,移出,移入,,計,輸出,輸入,計,輸出,輸入,計,移出,移入
１月　,"6,617,729","3,907,710","830,529","3,077,181","3,778,917","780,654","2,998,263","2,710,019","1,085,612","1,624,407","6,993,483","3,853,638","805,196","3,048,442","3,719,222","770,131","2,949,091","3,139,845","1,122,618","2,017,227"
,94.6%,101.4%,103.1%,100.9%,101.6%,101.4%,101.7%,86.3%,96.7%,80.5%,,,,,,,,,,
２月　,"6,093,153","3,012,745","1,040,041","1,972,704","2,883,201","999,813","1,883,388","3,080,408","1,268,425","1,811,983","6,882,062","3,591,864","1,041,631","2,550,233","3,453,484","989,585","2,463,899","3,290,198","1,215,286","2,074,912"
,88.5%,83.9%,99.8%,77.4%,83.5%,101.0%,76.4%,93.6%,104.4%,87.3%,,,,,,,,,,
３月　,"6,520,829","3,280,676","1,102,531","2,178,145","3,125,652","1,043,291","2,082,361","3,240,153","1,325,295","1,914,858","7,912,306","4,196,241","1,092,793","3,103,448","4,059,024","1,055,130","3,003,894","3,716,065","1,413,344","2,302,721"
,82.4%,78.2%,100.9%,70.2%,77.0%,98.9%,69.3%,87.2%,93.8%,83.2%,,,,,,,,,,
４月　,-,-,-,-,-,-,-,-,-,-,"7,605,967","4,200,122","1,174,212","3,025,910","3,997,223","1,124,826","2,872,397","3,405,845","1,263,957","2,141,888"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
５月　,-,-,-,-,-,-,-,-,-,-,"6,867,500","3,814,020","904,827","2,909,193","3,669,077","868,294","2,800,783","3,053,480","1,158,488","1,894,992"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
６月　,-,-,-,-,-,-,-,-,-,-,"7,513,819","4,134,598","1,162,097","2,972,501","3,989,472","1,108,206","2,881,266","3,379,221","1,322,104","2,057,117"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
７月　,-,-,-,-,-,-,-,-,-,-,"7,921,074","4,364,836","1,106,244","3,258,592","4,239,659","1,066,185","3,173,474","3,556,238","1,402,449","2,153,789"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
８月　,-,-,-,-,-,-,-,-,-,-,"6,983,566","3,935,405","969,787","2,965,618","3,758,692","905,881","2,852,811","3,048,161","1,180,303","1,867,858"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
９月　,-,-,-,-,-,-,-,-,-,-,"7,247,832","4,150,213","1,097,249","3,052,964","4,000,361","1,084,229","2,916,132","3,097,619","1,227,506","1,870,113"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１０月　,-,-,-,-,-,-,-,-,-,-,"7,199,541","3,988,032","1,071,150","2,916,882","3,821,027","985,054","2,835,973","3,211,509","1,260,752","1,950,757"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１１月　,-,-,-,-,-,-,-,-,-,-,"7,418,059","4,162,290","1,075,481","3,086,809","3,993,999","1,024,900","2,969,099","3,255,769","1,259,624","1,996,145"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１２月　,-,-,-,-,-,-,-,-,-,-,"7,258,417","4,101,623","1,233,963","2,867,660","3,960,971","1,172,632","2,788,339","3,156,794","1,226,433","1,930,361"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
累計,"19,231,711","10,201,131","2,973,101","7,228,030","9,787,770","2,823,758","6,964,012","9,030,580","3,679,332","5,351,248","87,803,626","48,492,882","12,734,630","35,758,252","46,662,211","12,155,053","34,507,158","39,310,744","15,052,864","24,257,880"
,88.3%,87.6%,101.1%,83.1%,87.1%,100.3%,82.7%,89.0%,98.1%,83.7%,,,,,,,,,,
前年累計,"21,787,851","11,641,743","2,939,620","8,702,123","11,231,730","2,814,846","8,416,884","10,146,108","3,751,248","6,394,860",,,,,,,,,,
増(－)減,"-2,556,140","-1,440,612","33,481","-1,474,093","-1,443,960","8,912","-1,452,872","-1,115,528","-71,916","-1,043,612",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
