 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"302,717","99,818","820,965","295,170","95,687","96,177","256,161","285,782","207,030","3,641","564,804","9,388"
,97.7%,84.1%,95.6%,86.3%,105.0%,82.4%,104.7%,85.1%,94.7%,185.6%,92.0%,146.8%
外航計,"276,967","76,617","751,962","237,369","82,656","74,578","220,034","233,405","194,311","2,039","531,928","3,964"
,96.3%,80.8%,94.4%,82.3%,103.4%,79.2%,102.7%,81.5%,93.6%,309.9%,91.4%,202.8%
外航定期計,"276,967","76,617","751,962","237,369","82,656","74,578","220,034","233,405","194,311","2,039","531,928","3,964"
,96.3%,80.8%,94.4%,82.3%,103.4%,79.2%,102.7%,81.5%,93.6%,309.9%,91.4%,202.8%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"29,067","12,332","69,943","35,756","8,307","11,334","17,467","33,913","20,760",998,"52,476","1,843"
,73.2%,114.0%,62.7%,102.8%,62.6%,106.0%,43.0%,99.1%,78.5%,831.7%,74.0%,330.3%
北米東岸(カリビア海含む),"9,963","1,086","26,652","4,075","4,690",875,"12,714","3,861","5,273",211,"13,938",214
,90.1%,60.8%,93.3%,53.2%,92.5%,50.1%,94.8%,50.7%,88.0%,527.5%,91.9%,486.4%
北欧・地中海,"36,232","2,067","101,228","6,798","17,156","1,733","49,372","6,195","19,076",334,"51,856",603
,228.6%,66.9%,204.3%,83.7%,229.1%,57.0%,231.4%,77.3%,228.2%,654.9%,183.8%,558.3%
南米西岸,"1,530",618,"7,608","4,623",231,608,924,"4,365","1,299",10,"6,684",258
,51.7%,40.8%,81.0%,68.7%,45.0%,41.4%,69.9%,65.3%,53.1%,22.2%,82.9%,526.5%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
