 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,520,829","2,427,826","4,093,003","19,231,711","6,652,433","12,579,278","4,154,664","1,627,535","2,527,129","12,593,017","4,440,318","8,152,699"
外航計,"3,280,676","1,102,531","2,178,145","10,201,131","2,973,101","7,228,030","3,162,853","1,043,186","2,119,667","9,891,662","2,825,763","7,065,899"
外航定期計,"3,163,213","1,043,546","2,119,667","9,905,659","2,826,358","7,079,301","3,162,853","1,043,186","2,119,667","9,891,662","2,825,763","7,065,899"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"304,161","92,835","211,326","905,540","217,611","687,929","304,019","92,693","211,326","905,398","217,469","687,929"
北米東岸(カリビア海含む),"100,789","54,497","46,292","321,697","149,519","172,178","100,789","54,497","46,292","321,697","149,519","172,178"
北欧・地中海,"474,422","225,580","248,842","1,383,192","656,879","726,313","474,204","225,362","248,842","1,382,974","656,661","726,313"
南米西岸,"13,926","2,917","11,009","100,230","10,040","90,190","13,926","2,917","11,009","100,230","10,040","90,190"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"13,140","1,995","11,145","50,722","5,470","45,252","13,140","1,995","11,145","50,722","5,470","45,252"
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"1,417,724","482,430","935,294","4,475,651","1,301,304","3,174,347","1,417,724","482,430","935,294","4,475,651","1,301,304","3,174,347"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"102,803","32,754","70,049","346,925","90,757","256,168","102,803","32,754","70,049","346,925","90,757","256,168"
中国(香港含む),"736,248","150,538","585,710","2,321,702","394,778","1,926,924","736,248","150,538","585,710","2,308,065","394,543","1,913,522"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"117,463","58,985","58,478","295,472","146,743","148,729",-,-,-,-,-,-
内航計,"3,240,153","1,325,295","1,914,858","9,030,580","3,679,332","5,351,248","991,811","584,349","407,462","2,701,355","1,614,555","1,086,800"
内航定期計,"1,921,255","1,043,429","877,826","5,212,548","2,893,442","2,319,106","921,315","546,066","375,249","2,558,785","1,541,334","1,017,451"
北海道,"298,072","168,271","129,801","828,529","468,519","360,010","298,072","168,271","129,801","828,529","468,519","360,010"
東北,"34,160","15,189","18,971","105,804","52,035","53,769","34,160","15,189","18,971","105,804","52,035","53,769"
関東,"52,676","19,635","33,041","154,335","56,424","97,911",-,-,-,-,-,-
伊豆諸島,"9,134","5,883","3,251","22,113","14,729","7,384",-,-,-,-,-,-
中部,"8,825",304,"8,521","22,380","1,626","20,754","8,825",304,"8,521","22,380","1,626","20,754"
近畿,"4,171",296,"3,875","15,599","3,388","12,211","4,171",296,"3,875","15,599","3,388","12,211"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,389,633","745,459","644,174","3,720,519","2,046,050","1,674,469","451,503","273,614","177,889","1,243,204","765,095","478,109"
沖縄,"124,584","88,392","36,192","343,269","250,671","92,598","124,584","88,392","36,192","343,269","250,671","92,598"
内航不定期,"1,318,898","281,866","1,037,032","3,818,032","785,890","3,032,142","70,496","38,283","32,213","142,570","73,221","69,349"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
