"地区","施設名","住所","電話番号","0歳児定員[人]","0歳児募集状況","1歳児定員[人]","1歳児募集状況","2歳児定員[人]","2歳児募集状況","3歳児定員[人]","3歳児募集状況","4歳児定員[人]","4歳児募集状況","5歳児定員[人]","5歳児募集状況","備考"
"芝","三田プチ・クレイシュ","芝五丁目29番22号ﾗｲｵﾝｽﾞﾏﾝｼｮﾝ･ﾌｪﾘｽ三田1階","5440-5950","3","△","5","△","9","△","8","△","*","*","*","*","4歳児、5歳児で計8人△"
"芝","アスク汐留保育園","海岸一丁目1番 アクティ汐留2階","5404-4863","8","○","8","△","8","△","4","△","*","*","*","*","4歳児、5歳児で計2人△"
"芝","ゆらりん三田保育園","三田二丁目7番13号 TDS三田ﾋﾞﾙ1階","5446-5888","6","〇","13","〇","11","〇","－","－","－","－","－","－",
"芝","プチ・ナーサリー田町","芝四丁目16番1号 カテリーナ三田1階","3451-5670","5","△","10","△","9","△","8","△","*","*","*","*","4歳児、5歳児で計8人△ 見学は随時電話受付中"
"麻布","ホームデイケア・六本木","西麻布一丁目4番46号 西麻布ムラタビル","3401-2155","10","○","10","○","5","○","－","－","－","－","－","－",
"麻布","ニチイキッズさわやか麻布十番保育園","麻布十番一丁目10番3号 モンテプラザ2階","3586-3887","6","×","5","×","9","×","5","×","*","*","*","*","4歳児、5歳児で計5人×"
"麻布","ポピンズナーサリースクール広尾","南麻布五丁目1番11号 Qiz広尾3階","5475-2185","6","○","8","○","8","○","5","○","*","*","*","*","4歳児、5歳児で計6人〇"
"麻布","ナーサリールーム","南麻布五丁目6番8号","3473-8317","9","×","12","×","13","○","－","－","－","－","－","－",
"麻布","ゆらりん東麻布保育園","東麻布一丁目26番2号 SERAPH10 AZABU1･2階","6426-5567","10","○","12","△","9","×","*","*","*","*","*","*","3歳児、4歳児、5歳児で計16人〇"
"赤坂","ポピンズナーサリースクール赤坂","赤坂一丁目8番1号 赤坂インターシティAIR 2階","5545-5341","6","×","9","×","9","×","2","×","2","×","2","×",
"高輪","コンビプラザ白金台保育園","白金台三丁目15番6号 ラミアール白金台2階","5447-7600","12","×","12","×","12","×","*","*","*","*","*","*","3歳児、4歳児、5歳児で計14人〇"
"高輪","ポピンズナーサリースクール白金台","白金台四丁目8番16号 ﾀﾞﾘｱｺｰﾄ白金台1階101号室","5789-2166","6","△","9","△","7","△","8","△","*","*","*","*","4歳児、5歳児で計0人△"
"高輪","ニチイキッズさわやか白金高輪保育園","白金一丁目25番25号","3441-6734","5","×","6","×","7","△","2","△","－","－","－","－",
"高輪","ポピンズナーサリースクール高輪","三田四丁目9番7号 BPRﾚｼﾞﾃﾞﾝｽ三田伊皿子坂2階","5419-2115","9","×","9","×","8","×","10","×","－","－","－","－",
"芝浦港南","アスクお台場保育園","台場二丁目2番3号","3599-2829","5","○","10","○","10","○","3","○","*","*","*","*","4歳児、5歳児で計2人〇"
"芝浦港南","アンジェリカ保育園芝浦園","芝浦四丁目22番2号 エアテラス2階","5439-4340","5","△","10","△","10","×","8","×","*","*","*","*","4歳児、5歳児で計14人×"
"芝浦港南","ポピンズナーサリースクール芝浦","芝浦四丁目10番1号 ｷｬﾋﾟﾀﾙﾏｰｸﾀﾜｰ2階","5444-2120","7","×","11","×","13","×","3","×","－","－","－","－",
"芝浦港南","ニチイキッズさわやか港南保育園","港南四丁目2番5号 ｼﾃｨﾀﾜｰ品川西棟2・3階","3471-9826","7","×","11","×","14","×","15","×","*","*","*","*","4歳児、5歳児で計32人×"
"芝浦港南","アンジェリカ保育園品川園","港南二丁目3番13号 品川ﾌﾛﾝﾄﾋﾞﾙ　ｷｯｽﾞ館2階","5781-9736","6","×","9","×","9","×","6","×","*","*","*","*","4歳児、5歳児で計10人×"

"港区内認証保育所における入所児童募集状況","Ver202004",,,,,,,,,,,,,,,
