Ｎｏ．,区市町村名,申請団体名,事業名
1,港区,青山外苑町会,第６回　青山小ブロック避難所運営訓練
2,港区,麻布十番網代会,麻布十番及び近隣地域交流のための納涼盆踊り大会
3,新宿区,新小川町自治会,盆踊りを通した地域交流事業
4,新宿区,柏木地区町会連合会,地域活性化夏祭り
5,新宿区,北新宿４丁目町会,地域交流としての盆踊り大会
6,新宿区,落合第一地区町会連合会,『落合はひとつ』第１６回落一町連大運動会
7,新宿区,下落合町会知久会,清水川橋公園の盆踊りを通じた地域交流事業
8,新宿区,戸山ハイツ西地区自治会,三世代交流・ニコニコフェスタ
9,新宿区,新宿区下落合東町会,下落合東町会「盆踊り大会」
10,新宿区,西富久町会,西富久　ふれあい祭り
11,文京区,三組弥生会,広報強化による町会加入促進及び町会活性活動
12,文京区,駒込地区町会連合会,駒込地区町連　居場所「こまじいのうち」での地域交流事業
13,台東区,阿部川町会,地域子供祭りを通じたコミュニケーション強化活動
14,台東区,金杉仲通町会,金杉地域の活性子供夏祭り（盆踊り）
15,台東区,西三筋町会,ラジオ体操を通じた青少年育成事業
16,台東区,浅草橋一丁目協和町会,新規開（業）店事業者の町会への加入・理解促進事業
17,台東区,北上野町会,交流を深める北上野町会・北上野一丁目町会合同防災訓練
18,台東区,浅草千和町会,地域子供大会を通じたコミュニケーション強化活動
19,台東区,千束一丁目南町会,ふるさと千束盆踊り大会
20,台東区,菊屋橋町会,大災害に備える地域住民との自主防災訓練
21,台東区,芝崎町東町会,芝崎町東町会初期消火防災訓練
22,台東区,台東区芝崎町中町会,地域子供祭りを通じた自主防災訓練事業
23,台東区,清川地区町会連合会,卓球教室を通じたスポーツの普及および地域住民の交流促進
24,台東区,仲入谷町会,協力しあう入谷町会・仲入谷町会防災訓練
25,台東区,坂本町会,木密地域初期消火を中心とする訓練事業
26,台東区,石浜２丁目町会,平成２９年度　石浜２丁目町会　納涼大会
27,台東区,三筋二丁目町会,地域子供祭りを通じたコミュニケーション強化活動
28,台東区,本入谷町会,本入谷町会と下谷二丁目町会合同防災訓練
29,台東区,西浅草二丁目東町会,下町地域の合同自主防災訓練
30,台東区,鳥越二丁目町会,夏休み非常時体験教室
31,墨田区,石原三丁目町会,防災訓練及びイベントを通じての地域交流及び子供達の育成活動
32,墨田区,立川・菊川連合町会,立菊フェスティバル
33,墨田区,緑連合町会,緑連合盆踊り
34,墨田区,本所二丁目町会,住民の顔が見える「ふれあい祭り」で地域交流事業
35,墨田区,両国四丁目町会,納涼踊り（納涼祭り）
36,墨田区,横川２丁目町会,横二夏の交流会
37,墨田区,八広六西町会,住民防災組織の災害対応力向上事業
38,墨田区,白鬚東第二自治会,合同納涼盆踊り大会を通じて世代間交流・地域活性事業
39,江東区,江東塩浜社宅自治会,夏まつりを通じた青少年健全育成活動
40,江東区,都営塩浜２丁目第４団地自治会,子供祭りを通じた地域の祭り運営体験事業
41,江東区,東陽・木場地区連合町会,東陽・木場地区連合町会　防災訓練
42,江東区,新大橋三丁目町会,新大橋三丁目夜間防災訓練事業
43,江東区,常盤一丁目町会,常盤一丁目町会住民と体験する防災訓練
44,江東区,亀戸九丁目町会,木密地域で安心に暮らせる消火訓練
45,江東区,亀戸７丁目１２号棟自治会,防災訓練を通して防災力の向上事業
46,江東区,亀戸四丁目町会,亀戸四丁目町会の子供も大人も体験する夜間訓練
47,江東区,新大橋一丁目町会,新大橋一丁目秋の防災訓練事業
48,江東区,常盤二丁目町会,常盤二丁目町会協力しあう防災訓練
49,江東区,新大橋二丁目町会,新大橋二丁目防災訓練強化事業
50,品川区,小山台一丁目東町会,地域ぐるみで健全育成
51,品川区,西品川三ツ木会,町会会館を利用した高齢者の通い場づくり
52,品川区,荏原六丁目町会,納涼祭（盆踊り）、青少年の故郷作り事業
53,品川区,五反田睦町会,五反田睦町会　防災訓練
54,目黒区,緑が丘自治会,地域住民の交流及び活性化を目的とした盆踊り大会
55,目黒区,目黒区向原東町会,スタンドパイプを使用した消火力向上のための事業
56,大田区,蒲田東地区自治会連合会,まもりんピック蒲田東～防災運動会～
57,大田区,蒲田二丁目自治会,夏休み子供お楽しみ会
58,大田区,山王三・四丁目自治会,子供まつり
59,大田区,大田区池上地区自治会連合会,第１５回　池上まつり
60,大田区,仲六郷一丁目町会,仲六郷一丁目町会　納涼会
61,大田区,田園調布南町会,平成２９年度子供盆踊り大会
62,大田区,田園調布本町町会,田園調布本町町会　子供まつり
63,大田区,南久が原一丁目町会,南久が原一丁目　夏の祭典ふれあい祭り
64,大田区,南六郷三丁目町会,子供納涼大会
65,大田区,南六郷二丁目町会,ふれあいまつりの開催を通じた地域力の向上
66,大田区,大田区入新井地区自治会連合会,入新井盆踊り大会
67,大田区,石川町会,地域での高齢者の見守りと生きがい作りを促進する高齢者サロンの開催
68,大田区,矢口北町会,「防犯活動広報とパトロール人員確保」事業
69,大田区,鵜の木西町会,盆おどり大会
70,大田区,田園調布一丁目東自治会,東一子供祭り
71,大田区,北千束中自治会,防災訓練を通じた地域力の向上事業
72,世田谷区,梅丘１丁目町会,防災訓練を通じ地域の絆を強める事業
73,世田谷区,若林町会,若林夏祭り盆踊り大会
74,世田谷区,世田谷区下代田東町会,下代田東　子供祭り及び納涼祭
75,世田谷区,烏山地域町会自治会連合会,世田谷区烏山地域文化体験交流会
76,中野区,新中野町会,子供相撲大会を通じて青少年健全育成事業
77,中野区,中野区弥生町一丁目東町会,弥生町一丁目納涼盆踊り
78,中野区,中野区白鷺町会,紙飛行機大会を介し、地域居住者の連携向上事業
79,中野区,鍋横地区町会連合会,「いのちを守る」地域の交通安全意識啓発事業
80,中野区,鷺宮都営住宅自治会,防災避難訓練を通じた地域防災力の向上事業
81,中野区,上高田町会連合会,総合防災訓練を通じた地域の安全・安心向上事業
82,杉並区,阿佐谷南三丁目壱睦町会,杉七盆おどり
83,杉並区,下井草地区町会連合会,まちを花で彩り、魅力ある地域コミュニティーの推進
84,杉並区,杉並区町会連合会,ダンスイベントを通して育む若者の自己表現力の向上とおもてなしの心
85,杉並区,和田自治協力会,地域交流夏祭り「和田の盆踊り」
86,杉並区,和田一丁目町会,ＮＰＯ・学校ＰＴＡと連携した　和田一丁目町会夏祭り盆踊り大会事業
87,杉並区,方南西町会,東京都が指定した「不燃化特区（方南１丁目）」における「簡易消火栓の操作・放水訓練」「簡易無線機による通信連絡訓練」及び「炊出し訓練」等の防災訓練
88,杉並区,阿佐谷南一丁目東町会,夏休み家族納涼大会
89,杉並区,井草１・２丁目自治会,井草どんどやきを通じた地域住民の交流促進
90,杉並区,方南東自治会,方南東自治会　方南ぼんおどり
91,杉並区,宮前一丁目町会,もちつき大会を通じた住民の交流と加入促進事業
