番号,区市町村名,申請団体名,事業名
1,文京区,千駄木二丁目西町会,どじょうつかみ、消防ポンプ体験
2,台東区,柳橋町会,第４回隅田川こいのぼりフェスティバル
3,台東区,雷門中部町会,雷門中部町会災害時避難訓練
4,品川区,大井第一町会連合会,しながわ花海道（勝島運河周辺）美化推進事業
5,世田谷区,成城地区自治会連合会,「災害に負けないまち成城」地区住民による防災事業
6,渋谷区,渋谷区神泉町会,大向いきいきクラブ
7,中央区,本町東町会,つばめの里本町東避難所運営に関する地域参加プロジェクト（コロナ禍における防災訓練パート２）
8,杉並区,下井草地区町会連合会,まちを花で彩り、魅力ある地域コミュニティの推進
9,杉並区,今川町親和会,「灯りde絆」地域内の交流促進及び人材育成事業
10,北区,北区西ヶ原東地区自治会連合会,名探偵★浅見光彦の住む街ミステリーウォーク2021　洪牙利の旅人
11,板橋区,富士見町自治会,わくわく盆踊り
12,練馬区,光が丘地区連合協議会,国際色豊かなまち光が丘から「スポーツ・文化を通し世界へ羽ばたこう！」～２０２１～
13,練馬区,南大泉１丁目町会,「じゃがいも堀りと練馬の都市農業の学習体験」を通じた地域のつながりを深める事業
14,練馬区,小竹町会,「小竹の森音楽祭」・「こたけあそび」を通じた小竹町ふるさとづくり
15,八王子市,南浅川町会,令和元年東日本台風（台風１９号）被災から学ぶ地域防災力の強化
16,八王子市,南大沢４丁目１５番地自治会,子ども食堂 in 都営団地
17,立川市,栄町南部自治会,中止されていた地域盆踊り大会の復活を通じたコミュニケーション強化事業
18,立川市,富士見会,夜間防災訓練を通じた地域防災力の向上
19,府中市,府中市自治会連合会,トランシーバーを活用した地域の情報収集訓練
20,府中市,ルネファンタグラーレ府中是政自治会,災害発生による停電対策としての発電機、蓄電池の操作訓練
21,昭島市,昭島市自治会連合会第１９ブロック,高齢化が急速に進む地域を、祭りで元気にし絆を深める事業
22,調布市,桜丘睦会,サロン・ド・ムツミいきいきアクションプラン事業
23,町田市,もみじ台町内会,「もみじ台ファミリー祭り」による地域の一体感醸成事業
24,日野市,実践南自治会,自治会区域における地域力の活性化と地域住民の交流促進を目的とした夏祭り事業
25,東村山市,南萩会,災害から身を守る・地域を守る「地域防災力の強化のために」
26,東久留米市,中丸自治会,地域の困難を抱える高齢者の早期発見
27,東久留米市,東部第二分団自治会連合会,合同自主防災訓練を通じた地域防災力の向上事業
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
