Ｎｏ．,区市町村名,申請団体名,事業名
1,港区,西麻布霞町町会,地域の防災力向上事業
2,港区,三光第八町会,第４回「白金台どんぐり児童遊園納涼盆踊り大会」
3,港区,芝西応寺町会,マチコミサロン　芝西応寺町
4,港区,汐留町会,東京防災ｉｎ汐留　（街の総合防災訓練）
5,港区,松ヶ丘会,高松桜まつり
6,新宿区,高田馬場三丁目光和会,防災訓練を通じ住民ファーストの中、地域防災力の向上を目指す事業
7,江東区,白河一丁目町会,白河一丁目町会災害に備える防災訓練
8,品川区,小山四丁目町会,子供まつりを通じた地域交流
9,品川区,大井三丁目町会,地域の伝統文化を通じた地域の絆を育む交流会
10,品川区,戸越三丁目町会,英会話教室「おもてなし戸越の会」
11,大田区,堤方東町会,堤方東町会　ふれあい盆踊り
12,世田谷区,松丘町会,松丘町会防災マップ作成・配布を通じた防災力向上事業
13,世田谷区,成城地区自治会連合会,「災害に負けないまち成城」地区住民による防災事業
14,渋谷区,渋谷区神泉町会,地域住民「絆」の育成「大向いきいきクラブ」の推進
15,渋谷区,本町二軒家町会,防災訓練と交流会を通じた地域防災力の向上及び交流促進事業
16,渋谷区,ときわ松町会,ときわ松町会＆渋谷二丁目町会　七夕パレードと合同防災企画（障害者と健常者が共に七夕パレードに）
17,渋谷区,幡ヶ谷本町西町会,地域住民の自主防災活動への認識・防災意識向上事業
18,中野区,新井町会連合会,中野通り桜まつりを通じた地域の交流促進の取り組み
19,中野区,沼袋親和会,みんなのぬまぼり
20,豊島区,目白東町会,災害時の町会防災本部設営訓練を通じた地域防災力向上事業
21,北区,北区西ヶ原東地区自治会連合会,名探偵★浅見光彦の住む街ミステリーウォーク２０１７「封印された甘い香り」
22,板橋区,志村親和町会,春の町会イベントを通じた地域交流促進事業
23,板橋区,小豆沢北町会,七夕祭りを通じた地域交流・青少年健全育成事業
24,板橋区,板橋区町会連合会清水支部,第３１回清水ファミリーデー
25,板橋区,富士見町自治会,わくわく盆おどり
26,板橋区,板橋区東山町会,東山フェスティバル　（世代間交流事業）
27,練馬区,光が丘地区連合協議会,国際色豊かなまち光が丘から「スポーツ・文化を通し世界へ羽ばたこう！」～２０１７～
28,練馬区,南大泉５丁目町会,ゴーヤの育成等を通じた地域のつながりを深める事業
29,練馬区,南大泉１丁目町会,ジャガイモ掘りを通じた地域の繋がりを深める事業
30,足立区,渕江町会自治会連合会,「にしほ桜まつり」による地域活性化事業
31,足立区,大谷田西部自治会,葛西用水大谷田桜祭り
32,足立区,新小岩第１自治会,鎮守の杜　こども夜話会
33,足立区,東四つ木南町会,「避難所開設の訓練」
34,足立区,亀有三丁目西三自治会,長期を見据えた地域の防災力向上事業
35,足立区,東水元２丁目仲町町会,東水元２丁目仲町町会　納涼盆踊り大会
36,八王子市,北野台自治会,地域防災力の向上事業
37,八王子市,八王子市町会自治会連合会東部地区連合会,防災訓練を通して防災意識の高揚と地域住民の交流事業
38,立川市,東栄会自治会,地域の防災＆ふれあい祭り
39,青梅市,今寺西自治会,今寺夏祭り
40,府中市,北山町１丁目自治会,町内防災力向上事業
41,昭島市,昭島市自治会連合会,地域防災リーダーの育成による防災力向上及び、「互近助カード（自治会会員証）」会員特典制度による加入促進事業
42,昭島市,昭島市自治会連合会第１９ブロック,高齢化が急速に進むつつじが丘地域を、夏祭りで元気にする事業
43,調布市,調布市自治会連合協議会,ガイドブックを活用した加入促進事業
44,日野市,実践南自治会,自治会区域における地域力の活性化と地域住民の交流促進を目的とした夏祭り事業
45,東村山市,廻田町上自治会,桜まつりを通して廻田町上自治会の連帯と地域交流の推進事業
46,東村山市,梅ヶ丘住宅会,さくら祭りを通じた多摩湖地域の親睦と交流の推進事業
47,国分寺市,東恋ヶ窪四丁目自治会,外国人も参加する防災訓練
48,東久留米市,東部第二分団自治会連合会,合同自主防災訓練を通じた地域防災力の向上事業
