番号,区市町村名,申請団体名,事業名
1,中央区,八丁堀三丁目西町会,デジタル講習会
2,文京区,地縁法人西片町会,世代間交流による防災活動体験--コロナ渦の中で--
3,文京区,向丘一丁目上町会,デジタル活用講習会
4,文京区,宮下町会,防災訓練を通じた地域防災力の向上事業
5,台東区,元浅草三丁目町会,地域のデジタルデバイド対策
6,台東区,浅草芝崎町中町会,地域のデジタルデバイド対策
7,台東区,堤町会,地域子供祭りを通じたコミュニケーション強化事業
8,江東区,都営塩浜２丁目第４団地自治会,パソコン・タブレット・スマホ教室
9,目黒区,柿の木坂西町会,防災・節電対策ワークショップ
10,目黒区,原町一丁目町会,町会防災訓練
11,大田区,ザ・リバープレイス自治会,デジタルデバイド対策～パソコン・スマホ相談会をマンション内で
12,大田区,大森北一丁目町会,スマートフォン・タブレットの使い方や町会活動への活用方法等についての講習会開催
13,世田谷区,桜上水２丁目町会,木密地域の被災時のスタンドパイプによる初期消火のための消火訓練
14,中野区,宮桃町会,みやももカフェ及び、見守りキーホルダー作成による見守り活動
15,中野区,中野区鷺宮地区町会連合会,鷺宮の防災・日頃の備えと在宅避難を考える
16,杉並区,天沼地区町会連合会,ワクチン接種の予約サポート
17,豊島区,池袋本町四丁目町会,炊き出し訓練ならびに仮設トイレ設置訓練を主体とした地域交流イベント
18,北区,谷津自治会,災害を想定した安否確認訓練
19,北区,上中里貝塚町会,地域高齢者向けのスマホ教室の開催
20,板橋区,サンシティ管理組合自治会,ワクチン接種予約サポート会
21,練馬区,練馬区町会連合会,SNSの活用に係る研修会の実施
22,練馬区,南大泉連合町会,南大泉連合町会デジタル活用・情報発信事業
23,練馬区,東大泉井頭町会,みんなとつながるオンライン講座～運動編～
24,練馬区,大泉町二丁目町会,初心者向けスマートフォン教室（講師独自調達）
25,足立区,ボナハイツ中川自治会,ボナハイツ中川防災訓練
26,葛飾区,水元飯塚町会,「高齢者向けスマートフォン教室」
27,葛飾区,水元宮前町会,防災講義とホームページの紹介
28,江戸川区,新二之江町会,夜間防災訓練による防災力向上事業
29,八王子市,館ヶ丘自治会,ワクチン接種の予約サポート会
30,八王子市,高尾紅葉台自治会,ワクチン接種の予約サポート会
31,八王子市,都営石川団地自治会,ワクチン接種の予約サポート
32,八王子市,長房西２自治会,「高齢者向けスマートフォン教室」
33,八王子市,上川町東部町会,「スマートフォン・タブレットでの市役所ホームページ活用術」 講習会
34,八王子市,長房町水崎町会,防災マップ作成・配布を通じた地域防災力の向上
35,八王子市,ホーメストタウン八王子自治会,地震の際の安否確認と集会所での防災訓練
36,立川市,西砂自治会,「高齢者向けスマートフォン教室」
37,立川市,立川市富士見町五丁目喜多町会,デジタル活用支援活動
38,青梅市,富岡自治会,桜まつりを通じた地域交流
39,青梅市,勝沼自治会連合会,災害時安全カードの配布と講習会
40,府中市,府中市矢崎町二丁目自治会,町内会の自治会会員と未加入者（直近転入世帯）を対象に地域防災講座実施
41,町田市,町田市町内会・自治会連合会,2021年度町田市町内会・自治会連合会オンライン防犯講習会
42,町田市,小田急金森わさびだ自治会,防災訓練による防災意識および地域防災力の向上事業
43,町田市,清住平自治会,スマホ初心者教室　（防災用アプリを使用した安否確認の使い方）
44,小平市,小川東ヶ丘自治会,地域のデジタル化サポート会
45,羽村市,田ノ上第三町内会,防災訓練
46,あきる野市,あきる野市富士見台自治会,「自治会を紹介する講演会開催で加入促進をする事業」
47,瑞穂町,西砂町町内会,西砂町町内会　防災フェア
