番号,区市町村名,申請団体名,事業名,,,
1,港区,麻布十番網代会,麻布十番納涼盆踊り大会,,,
2,,三田慶応町会,三田慶応町会　こども縁日,,,
3,,六本木町会,災害時要配慮者への対策に向けた避難所開設訓練　～麻布小地区の地域性を踏まえて～,,,
4,新宿区,柏木地区町会連合会,地域活性化夏祭り,,,
5,,北新宿四丁目町会,地域交流としての盆踊り大会,,,
6,,落合第一地区町会連合会,「落合はひとつ」第18回落一町連大運動会,,,
7,,下落合町会知久会,清水川橋公園での盆踊りを通じた地域交流事業,,,
8,,新宿区下落合東町会,「盆踊り大会」,,,
9,,西富久町会,西富久　ふれあい夏祭り,,,
10,文京区,関口１丁目南部会,盆踊り大会,,,
11,,関水町会,盆踊り,,,
12,,千駄木三丁目北町会,千駄木三丁目北町会　千駄木サポーターズの活動実施について,,,
13,,駒込地区町会連合会,駒込地区町連　居場所「こまじいのうち」での地域交流事業,,,
14,,本郷弓一町会,冬まつりを通じた地域交流事業,,,
15,,千駄木二丁目西町会,どじょうつかみ　消防ポンプ体験,,,
16,台東区,金杉仲通町会,かなすぎ納涼祭(盆踊り),,,
17,,西浅草三丁目北部町会,町会の自主防災訓練,,,
18,,竹町地区町会連合会,みんなでＲＵＮ！竹町の風になれ　－持久走大会ー,,,
19,,千束一丁目南町会,ふるさと千束盆踊り大会,,,
20,,千束二丁目光月町会,地域子供祭りを通じたコミュニケーション強化事業,,,
21,,清川町会,盆踊りを通した地域活性化事業,,,
22,,東三筋町会,三筋町界隈100年の歴史を探検！昔のびっくり！を知ろう,,,
23,,菊屋橋町会,地域子供祭りを通じたコミュニケーション強化活動,,,
24,,日本堤本町会,縁日事業とスポーツゲーム体験,,,
25,,石浜２丁目町会,令和元年度　石浜2丁目町会　納涼大会,,,
26,,三筋二丁目町会,地域子供祭りを通じたコミュニケーション強化事業,,,
27,,西浅草一丁目町会,地域祭りを通じた盆踊りの開催,,,
28,,浅草三丁目東町会,地域祭りを通じた盆踊りの開催,,,
29,,浅草西町会,地域子供祭りを通じたコミュニケーション強化事業,,,
30,,上根岸町会,こども祭りを通じた地域交流事業,,,
31,,蔵前三・四丁目町会,夜間の初期消火訓練,,,
32,,鳥越一丁目町会,じみちにコツコツ、みんな楽しく、いきいき元気塾,,,
33,,千草町会,地域子供祭りを通じたコミュニケーション強化事業,,,
34,,大鳥町会,地域祭りを通じたコミュニケーション強化事業,,,
35,,小島一丁目町会,小島公園を活用した盆踊りを通した地域活性化事業,,,
36,,御徒町二丁目町会,御徒町二丁目町会盆踊り大会（徒二の盆踊り）,,,
37,,今戸一丁目町会,今戸一丁目町会初期消火強化事業,,,
38,,蔵前三桂町会,災害に備え町会と住民が協力する初期消火訓練,,,
39,,東上野２丁目町会,東上野一丁目町会・東上野２丁目町会の協力しあえる関係作り防災訓練,,,
40,墨田区,石原三丁目町会,防災訓練及びイベントを通じての地域交流及び子供たちの育成活動,,,
41,(墨田区),緑連合町会,緑連合盆踊り,,,
42,,北部地区町会・自治会連合会,八広ふれあい通りオープニングフェスタ（仮称）,,,
43,,本所二丁目町会,住民の顔が見える「ふれあい祭り」で地域交流事業,,,
44,,東向島二丁目町会,地域の交流イベント,,,
45,,立川一丁目町会,体操サロンと見守り活動,,,
46,,業平五丁目南町会,業平五丁目南町会　業五南ふるさとまつり,,,
47,江東区,都営塩浜２丁目第４団地自治会,子供祭りを通じた地域の祭り運営体験事業,,,
48,,富岡地区連合町会,盆踊り大会による地域コミュニティ活性化事業,,,
49,,東陽・木場地区連合町会,東陽・木場地区連合町会　防災訓練,,,
50,,有明マンション連合自治会,有明まつり2019,,,
51,,八名川地区連合町会,地域住民との親睦協力関係作りを目的とする盆踊り大会,,,
52,品川区,小山台一丁目東町会,地域ぐるみで健全育成,,,
53,,荏原六丁目町会,納涼祭　エバロクレンジャーショー,,,
54,,荏原四丁目町会,荏原四丁目町会　ふるさとまつり,,,
55,,戸越三丁目町会,英会話教室「おもてなし戸越の会」,,,
56,,西大井六丁目町会,いとう夏祭り,,,
57,目黒区,目黒区駒場町会,盆踊り大会を通じた地域コミュニティと町会員加入の促進,,,
58,大田区,蒲田五丁目南町会,防犯パトロール,,,
59,,蒲田東地区自治会連合会,まもりんピック蒲田東～防災運動会～,,,
60,,蒲田二丁目自治会,夏休み子どもお楽しみ会,,,
61,,山王三・四丁目自治会,こどもまつり,,,
62,,新井宿自治会連合会,新井宿地区連合運動会,,,
63,,新井宿六丁目町会,盆踊り・夏休みウォーターランド大作戦,,,
64,,西六郷二丁目町会,西六郷二丁目町会　盆踊り大会,,,
65,,千鳥南町会,『納涼盆踊り大会』,,,
66,,大田区池上地区自治会連合会,第１７回　池上まつり,,,
67,,田園調布南町会,令和元年度　子供盆踊り大会,,,
68,,田園調布本町町会,田園調布本町町会こどもまつり,,,
69,,大田区入新井地区自治会連合会,入新井盆踊り大会,,,
70,,鵜の木西町会,盆踊り大会,,,
71,,田園調布一丁目東自治会,東一子供祭り,,,
72,,中央四丁目町会,西瓜割り大会,,,
73,,大森鶴渡町会,地域住民の交流促進を図る盆踊り,,,
74,,東糀谷一・二丁目町会,納涼子供フェスティバル,,,
75,,東糀谷六丁目都営住宅自治会,盆踊り大会,,,
76,,田園調布親和会,４町会合同防災セミナー,,,
77,世田谷区,若林町会,若林夏祭り盆踊り大会,,,
78,,世田谷区下代田東町会,下代田東　子供祭り・納涼祭り,,,
79,,親和会,皆んなで楽しむ「からぴょん」の会,,,
80,渋谷区,渋谷区上原出張所管内町会連合会,壁画作成プロジェクト「＃とみがやモデル」飾り作成イベント,,,
81,（渋谷区）,本町東町会,つばめの里本町東避難所運営に関する地域参加プロジェクト,,,
82,中野区,新中野町会,子供すもう大会を通じて青少年健全育成事業,,,
83,,中野区弥生町一丁目東町会,弥生町一丁目納涼盆踊り,,,
84,,新井西町会,防災訓練を通じた地域防災力の向上,,,
85,,沼袋親和会,みんなのぬまぼり,,,
86,,宮二町会,谷戸運動公園盆踊り大会,,,
87,杉並区,阿佐谷南三丁目壱睦町会,杉七盆おどり,,,
88,,下井草地区町会連合会,まちを花で彩り、魅力ある地域コミュニティの推進,,,
89,,杉並区町会連合会,若者の自己表現力向上と健全な心を育む「すぎなみ舞祭」,,,
90,,方南二丁目町会,「町民の集い」,,,
91,,和田自治協力会,地域交流夏祭り「和田の盆踊り」,,,
92,,和田一丁目町会,ＮＰＯと連携した　和田一丁目　夏祭り盆踊り大会,,,
93,,方南西町会,方南西町会の、停電時の防災力の向上,,,
94,,阿佐谷南一丁目東町会,夏休み家族納涼大会,,,
95,豊島区,駒込第一町会,災害時の町会防災本部設営訓練を通じた地域防災力向上事業,,,
96,,東池袋南大塚仲町会,盆踊りを通じた地域交流事業,,,
97,,南長崎六丁目町会,防災組織の再編と防災訓練の実施,,,
98,,西池袋南町会,地域住民と楽しむ祭りの夜の縁日2019,,,
99,,上池袋町会,上池袋「さくら公園納涼盆踊り大会」を通じた地域活性化,,,
100,,東池袋中部町会,東池袋中部町会　町会防災訓練による地域の防災力向上事業,,,
101,,南長崎４丁目町会,防災訓練・すいか割大会を通した町会員の防災意識の向上・世代間交流の促進,,,
102,,駒込七丁目町会,防災講習会及びAED取扱訓練・応急救護訓練を通じた地域防災力向上事業,,,
103,北区,十条仲原一丁目町会,輪踊り大会を通じた地域力向上事業,,,
104,,豊島７丁目南町会,夏休み子供会,,,
105,,豊島二丁目町会,納涼盆踊り大会,,,
106,,豊島三丁目町会,第１９回　豊島三丁目町会納涼会,,,
107,荒川区,菅苗会,初期消火訓練を強化する総合防災訓練,,,
108,,町屋一丁目東町会,餅つき大会を通じた地域住民との親睦,,,
109,,大西町会,下町絆親子まつり,,,
110,,西尾久二丁目北町会,夜間防災訓練による町内の防災意識の向上,,,
