番号,区市町村名,申請団体名,事業名
1,港区,白金台三光第八町会,第7回「白金台どんぐり児童遊園納涼盆踊り大会」
2,港区,汐留町会,第5回東京防災 in 汐留(街の総合防災訓練)
3,文京区,千駄木二丁目西町会,どじょうつかみ　消防ポンプ体験
4,台東区,柳橋町会,第４回隅田川こいのぼりフェスティバル
5,台東区,入谷地区町会連合会,入谷朝顔音頭踊り大会を通した地域活性化事業
6,台東区,松が谷三丁目町会,地域子供祭りを通じたコミュニケーション強化事業
7,台東区,雷門地区町会連合会,ホタル観賞を通した地域活性化事業
8,墨田区,立花南町会,いきいきライフ立花
9,墨田区,横川２丁目町会,横二交流会
10,墨田区,墨田区町会・自治会連合会,区民おもてなし講座
11,品川区,小山四丁目町会,子供まつりを通じた地域交流「コヤヨンまつり」
12,品川区,荏原六丁目町会,納涼祭　ＢＯＮＯＤＯＲＩ
13,大田区,北千束北自治会,地域の青少年による和太鼓交流会
14,世田谷区,成城地区自治会連合会,「災害に負けないまち成城」地区住民による防災事業
15,世田谷区,烏山地域町会自治会連合会,Ｍｕｓｉｃ　Ｔｈｅ　Ｗｏｒｌｄ　Ｉｎ　烏山{音楽でつなぐ笑顔の輪}
16,渋谷区,渋谷区神泉町会,大向いきいきクラブ
17,渋谷区,ときわ松町会,『七夕パレードと地域防災』
18,中野区,東中野五丁目小滝町会,東中野鯉のぼりパーク
19,杉並区,下井草地区町会連合会,まちを花で彩り、魅力ある地域コミュニティの推進
20,杉並区,今川町親和会,「灯り de 絆」　地域内の交流促進及び人材育成事業
21,北区,北区西ヶ原東地区自治会連合会,名探偵★浅見光彦の住む街ミステリーウォーク2020　洪牙利の旅人
22,北区,赤羽八幡自治会,地域在住外国人も参加する防災訓練
23,板橋区,富士見町自治会,わくわく盆踊り
24,板橋区,板橋区東山町会,東山フェスティバル(世代間交流事業)
25,練馬区,光が丘地区連合協議会,国際色豊かなまち光が丘から 「スポーツ・文化を通し世界へ羽ばたこう！」 ～２０２０～
26,練馬区,桜台親和町会,第15回桜台親和町会安全・安心きずな祭り
27,練馬区,南大泉１丁目町会,「じゃがいも掘りと試食会」を通じた地域のつながりを深める事業
28,練馬区,小竹町会,「小竹の森音楽祭」・「こたけあそび」を通じた小竹町ふるさとづくり
29,練馬区,光が丘パークタウン大通り中央３号棟団地自治会,『親から子へ。子から孫へ。次世代へと語り継ぐ私達の故郷、光が丘の歴史』
30,足立区,パークタウン東綾瀬自治会,パークタウン東綾瀬自治会「夏まつり」
31,葛飾区,東水元２丁目仲町町会,納涼盆踊り大会
32,八王子市,南浅川町会,台風第19号被災から学ぶ地域防災力の充実強化
33,八王子市,高留町会,上恩方夏祭り
34,立川市,東栄会自治会,愛宕盆踊り大会
35,立川市,立川市自治会連合会,自治会加入促進・自治連加盟促進キャンペーン事業
36,立川市,立川市自治会連合会栄町支部,避難所訓練を取り入れた防災訓練
37,立川市,立川一番町東団地自治会,夏祭りを通した地域連帯力の向上
38,青梅市,今寺榎自治会,今寺夏祭り
39,青梅市,青梅市自治会連合会第１支会　　　,青梅大祭
40,青梅市,青梅市野上第三自治会,自治会員と非自治会員との交流
41,府中市,府中市自治会連合会,トランシーバーを活用した地域の情報収集訓練
42,府中市,北山町１丁目自治会,町内防災力向上事業
43,府中市,府中市片町連合自治会,地域住民に伝統祭典、芸能（お囃子、山車の行列）を体験し、伝統文化を継承する事業
44,府中市,台友自治会,スタンドパイプによる放水訓練とトランシーバー通信訓練
45,府中市,府中市泉会自治会,震災発生時の防災意識啓発事業(安否確認訓練・搬送訓練・消火訓練・減災セミナー)
46,府中市,新二自治会,自主防災組織立ち上げを見据えた防災訓練
47,府中市,５丁目若松会,地域の初期消火力の達成および安否確認訓練
48,昭島市,昭島市自治会連合会,自治会の活性化と加入促進に対する応援事業
49,昭島市,昭島市自治会連合会第１９ブロック,高齢化(高齢化率43％)が急速に進む地域を、祭りで元気にし絆を深める事業
50,調布市,飛田給第三自治会,車椅子とリヤカーを利用した防災訓練
51,町田市,もみじ台町内会,「もみじ台ファミリー祭」による地域の一体感醸成事業
52,小金井市,東町二丁目町会,東町二丁目町会防災訓練
53,小平市,上水南町自治会連合会,上水南祭り
54,日野市,実践南自治会,自治会区域における地域力の活性化と地域住民の交流促進を目的とした夏祭り事業
55,国分寺市,よっこら処自治会,高齢者の「自分の身は、自分で守る」防災訓練
56,国分寺市,内藤自治会,防災訓練を通じた地域防災力の向上事業
57,東大和市,南街栄一丁目自治会,防災訓練で消防隊を作り、要支援者の避難訓練と給水栓を使用した、炊き出しを行う。
58,東久留米市,東部第二分団自治会連合会,合同自主防災訓練を通じた地域防災力の向上事業
59,あきる野市,瀬戸岡町内会,自主防災訓練を通じた地域防災力の向上
60,瑞穂町,富士見町町内会,防災訓練を通じた地域防災力の向上
