番号,区市町村,申請団体名,事業名
1,東京都,東京都町会連合会,町会・自治会への加入促進事業
2,中央区,ザ・パークハウス晴海タワーズクロノレジデンス自治会,クロノ・ティアロ共同春まつり
3,中央区,東日本橋三丁目町会,町の伝統を未来につなぐ！　～日本橋橘町をもっと知って楽しもう～
4,文京区,千駄木二丁目西町会,どじょうつかみ・消防ポンプ体験
5,台東区,柳橋町会,第７回隅田川こいのぼりフェスティバル
6,台東区,入谷地区町会連合会,入谷朝顔音頭踊り大会を通した地域活性化事業
7,品川区,小山四丁目町会,子供まつりを通じた地域交流「コヤヨンまつり」
8,品川区,八潮自治会連合会,やしお地域交流と加入促進のためのイベント開催
9,大田区,大田区馬込地区自治会連合会,馬込文士村大桜まつりを通じた伝統・文化継承事業
10,大田区,北千束北自治会,地域の小学生とNPO法人和太鼓ジュニアによる和太鼓演奏交流会
11,大田区,田園調布二丁目自治会,Den Den音頭　盆踊り大会
12,世田谷区,成城地区自治会連合会,災害に負けないまち成城
13,渋谷区,渋谷区神泉町会,大向いきいきクラブ
14,中野区,宮桃町会,高齢者見守りの『お出かけ安心キーホルダー』の説明会及び講習会
15,中野区,鍋横地区町会連合会,「子どもと防災」オンライン配信
16,杉並区,下井草地区町会連合会,まちを花で彩り、魅力ある地域コミュニティの推進
17,杉並区,今川町親和会,「灯り de 絆」地域内の世代間交流促進事業
18,豊島区,南長崎二丁目町会,災害時救援センター開設体験訓練
19,豊島区,南池袋二三四町会,町会でのインクルーシブ防災実現のためのデジタル技術活用事業
20,北区,豊島二丁目町会,ラジオ体操
21,板橋区,板橋区町会連合会清水支部,第34回清水ファミリーデー
22,板橋区,若木華実町会,ボッチャをとおしてみんなで元気になろう
23,板橋区,板橋区東山町会,東山フェスティバル（世代間交流事業）
24,練馬区,小竹町会,「小竹の森音楽祭」・「こたけあそび」を通じた小竹町ふるさとづくり
25,練馬区,北町一丁目二部町会,お花見を通じた防災啓発・地域の親睦
26,足立区,伊興区民事務所管内町会・自治会連絡協議会,伊興町自連NEWS制作・発行事業
27,江戸川区,平井４丁目東町会,スマートフォン教室を通じた地域DX化の推進
28,立川市,立川市自治会連合会西砂支部,小・中・高校生および一般を対象とした「西砂の夕陽」フォトコンテスト
29,青梅市,青梅市自治会連合会第１支会　　　,青梅大祭
30,府中市,車返西自治会,七夕イベントを通じた地域におけるコミュニケーションの促進
31,昭島市,昭島市自治会連合会,自治会の活性化と加入促進に対する支援事業
32,調布市,桜丘睦会,令和５年度サロン・ド・ムツミいきいきサロン「寄ってたかってなんでも専科」
33,調布市,北の台第二自治会,防災訓練
34,町田市,もみじ台町内会,「もみじ台ファミリーフェスタ」による地域の一体感醸成事業
35,小平市,上水南町自治会連合会,JYO JYOTOWN FST 上水南まつり「ふれあい広場」
36,東村山市,西武園住宅自治会,桜まつりを通じた多摩湖町地域の親睦と交流の推進事業
37,国分寺市,西町弁天町内会,防災訓練を通じた地域防災力の向上
38,清瀬市,竹丘自治会連合,住民交流会及び防災意識向上事業
39,西東京市,都営柳沢６丁目アパート３号棟東自治会,住民参加型一斉清掃活動
40,瑞穂町,富士見町町内会,多文化が共生できる町、富士見町の防災訓練
