番号,区市町村名,申請団体名,事業名
1,新宿区,落合第一地区町会連合会,「落合はひとつ」第19回落一町連大運動会
2,新宿区,新宿区下落合東町会,盆踊り大会
3,文京区,駒込地区町会連合会,駒込地区町連　居場所「こまじいのうち」での地域交流事業
4,台東区,西浅草三丁目北部町会,地域子供祭りを通じたコミュニケーション強化事業
5,台東区,西浅草一丁目町会,地域祭りを通じた盆踊りの開催
6,台東区,浅草三丁目東町会,地域祭りを通じた盆踊りの開催
7,台東区,浅草西町会,地域子供祭りを通じたコミュニケーション強化事業
8,台東区,千草町会,地域子供祭りを通じたコミュニケーション強化事業
9,台東区,大鳥町会,地域子供祭りを通じたコミュニケーション強化事業
10,台東区,東上野２丁目町会,２町会合同で実施する避難所運営及び防災訓練
11,台東区,角町町会,地域子供祭りを通じたコミュニケーション強化事業
12,台東区,東上野稲神町会,２町会合同で実施する避難所運営及び防災訓練
13,墨田区,東向島二丁目町会,地域の交流イベント
14,江東区,東陽・木場地区連合町会,東陽・木場地区連合町会　防災訓練
15,品川区,小山台一丁目東町会,地域ぐるみで健全育成
16,品川区,荏原四丁目町会,荏原四丁目町会　ふるさとまつり
17,品川区,戸越三丁目町会,「おもてなし戸越の会」英会話教室
18,目黒区,東山三丁目自治会,避難所開設訓練～もしも外国人が避難してきたら～
19,大田区,蒲田東地区自治会連合会,まもりんピック蒲田東～防災運動会～
20,大田区,山王三・四丁目自治会,こどもまつり
21,大田区,新井宿自治会連合会,新井宿地区連合運動会
22,大田区,新井宿六丁目町会,盆踊り・夏休みウォーターランド大作戦
23,大田区,田園調布本町町会,田園調布本町町会こどもまつり
24,大田区,入新井三丁目東町会,令和2年度　入新井地区九町会合同防災訓練
25,世田谷区,都営桜上水三丁目アパート自治会,被災直後のブラックアウト時に一時集合場所での安否確認訓練と炊き出し訓練。
26,杉並区,方南西町会,「方南西町会の歴史と安心・安全の町内まち歩き」
27,豊島区,駒込七丁目町会,夜間発災を想定した防災訓練
28,豊島区,西巣鴨四丁目親交町会,盆踊りを通じた地域交流事業
29,豊島区,駒込六丁目東文化会,災害時の町会防災本部設営訓練を通じた地域防災力向上事業
30,板橋区,板橋区桜川町会,子供仮装大会及び餅つき大会で青少年健全育成及び町会員の交流を図る事業
31,板橋区,志村親和町会,「盆踊り大会」を通じた地域交流促進事業
32,板橋区,小豆沢緑町会,「さんま大会」を通じた地域交流促進事業
33,板橋区,蓮沼東町会,縁日大会における地域交流事業
34,板橋区,清水町会,提灯行列を通じ・地域社会を明るくし・世代間の交流・地域との交流を図る事業
35,板橋区,小豆沢一丁目町会,「小豆沢一丁目町会　子どもまつり」を通じた地域交流促進事業
36,板橋区,志村五桜町会,「盆踊り大会」を通じた地域交流促進事業
37,練馬区,橋戸町会,秋祭りで地域のつながり強化と伝統芸能の伝承
38,練馬区,東大泉二丁目町会,ラジオ体操を通じた地域の見守り力向上事業
39,足立区,青井４丁目第３自治会,日本伝統文化と他国文化に触れさせ地域の絆を深め地域活性化を図る事業
40,江戸川区,コーシャハイム清新自治会,お祭りあそぼう
41,江戸川区,ジュネシオン平井自治会,夏祭りとボッチャ体験
42,江戸川区,西小岩六軒島町会,防災マニュアル作成
43,八王子市,八王子市町会自治会連合会,町会・自治会等加入促進キャンペーン事業
44,八王子市,長沼町会,長沼町会　夏まつり
45,八王子市,諏訪下町会,「餅つき大会」を通じて町内会の交流と町会未加入世帯の加入促進
46,八王子市,天神町町会,天神町　町内まつり
47,三鷹市,下連雀第一町会,四小地区対抗運動会
48,青梅市,東青梅五丁目自治会,東五みんなで防災フェスタ２０２０
49,青梅市,青梅市自治会連合会第八支会,地域・学校・団体ささえあい事業
50,青梅市,東青梅２丁目第二自治会,納涼大会での盆踊り等を通じて地域の繋がりを深め、地域世代間交流の促進事業
51,府中市,日新町西自治会,防災機器（カセット型発電機等）の機能確認とトランシーバーを活用した通信訓練
52,府中市,紅葉丘第一町会,おいでよ　モミフェス　１丁目～ふるさとプロジェクト2020～
53,昭島市,福島第五自治会,夏祭りを通じて地域の絆の強化を目指す
54,昭島市,中神駅前親交自治会,夏祭りの合同実施による地域活性化事業
55,調布市,調布市自治会連合協議会,令和２年度　自治連協　安全・安心生き活き調布事業推進計画
56,調布市,桜丘睦会,サロン・ド・ムツミいきいきアクションプラン事業
57,調布市,緑ヶ丘西部自治会,緑ヶ丘西部自治会秋祭り
58,調布市,上石原第一自治会,近藤勇の生誕地を地域の子供たちに知ってもらうなど新旧住民の交流事業
59,調布市,二本松自治会,AED取り扱い知識の習熟と防災意識の高揚
60,町田市,忠生地区町内会・自治会連合会,体育祭を通じた地域交流事業
61,町田市,東玉川学園睦会,新しい「防災訓練」の実施
62,日野市,旭が丘上の原自治会,「子供たちのための地域夏祭り」
63,清瀬市,竹丘自治会連合,住民交流会及び防災意識向上事業
64,武蔵村山市,峰自治会,峰自治会演芸大会
65,多摩市,永山団地自治会,令和2年永山団地夏まつり
66,稲城市,向陽台地区連合会,夏祭りを通じた地域交流・向上・発展事業（向陽台地区夏まつり）
67,日の出町,日の出町第８自治会,防災訓練を通じた地域防災力の向上
