番号,区市町村名,申請団体名,事業名
1,東京都,東京都町会連合会,広報強化による町会・自治会加入促進および地域活性化事業
2,新宿区,柏木地区町会連合会,オンラインツールの講習会
3,文京区,小日向台町町会,小日向台町町会　防災訓練
4,台東区,浅草橋一丁目協和町会,災害時避難ならびに炊き出し訓練
5,台東区,清川町会,伝統の餅つきを通じたコミュニケーション強化事業
6,台東区,池之端仲町町会,屋上を使った町会活動への加入促進を図る説明会
7,大田区,大森東自治会,大森東自治会　地域を守る安全パトロール
8,大田区,矢口北町会,「新型コロナウィルス感染防止を意識した、町会餅つき大会」事業
9,中野区,鷺宮西住宅自治会,コロナ渦における避難所運営会議・訓練の実施
10,中野区,南台２丁目前原町会,「みんなの食堂」の運営
11,中野区,文園町会,まち歩きとスタンプラリーを通じて地域愛を育てる事業
12,板橋区,東新町二丁目町会,桜川エデュテイメント・パーク
13,練馬区,公団住宅むつみ台団地自治会,自治会加入促進と健康体操を通しての地域交流
14,足立区,ボナハイツ中川,ボナハイツ中川防災訓練
15,八王子市,川口南町会,感染症対策を取った防災訓練と太陽光発電を利用したスマホの充電
16,八王子市,南大沢４丁目１５番地自治会,ＩＴ化でつなぐ高齢者の新たな絆
17,立川市,日の出自治会,自治会活動の活性化に向けて、オンライン教育を進める会の開催
18,立川市,中砂自治会,オンラインツールの講習会
19,調布市,西部飛田給自治会,災害時の情報収集、伝達訓練事業
20,調布市,緑ヶ丘一丁目自治会,防災訓練（防災のみなさんに防災に対するより一層の理解・認識を高める）
21,調布市,緑ヶ丘西部自治会,災害時の情報通信・伝達訓練
22,調布市,サレジオ団地自治会,災害時の安否確認訓練と情報収集、伝達訓練
23,調布市,西山谷東部自治会,災害時の伝達訓練と三角巾による応急救護訓練
24,町田市,町田市町内会・自治会連合会,令和2年度町田市町内会・自治会連合会研修会
