番号,区市町村,申請団体名,事業名,,,
1,中央区,浜町３丁目西部町会,デジタルを活用した広報活動講習会,,,
2,,晴海テラス自治会,応急救護講習とＡＥＤ訓練,,,
3,港区,高輪北町親和会,もちつき大会,,,
4,文京区,武島町会,安心安全な地域社会作りを目指す武島町会の活動,,,
5,台東区,阿部川町会,地域子供祭りを通じたコミュニケーション強化活動,,,
6,,今三町会,地域子どもまつりを通じたコミュニケーション強化事業,,,
7,,谷中初四町会,消火訓練・救命救急訓練を通じた地域防災力の向上事業,,,
8,,北上野町会,防災訓練を通じた地域防災力の向上,,,
9,,花川戸２丁目町会,子供祭りを通じたコミュニケーション強化事業,,,
10,,浅草東清町会,地域子供祭りを通じたコミュニケーション強化事業,,,
11,,浅草芝崎町東町会,防災力向上を目指した充電訓練の実施,,,
12,,浅草芝崎町中町会,伝統の餅つきを通じたコミュニケーション強化事業,,,
13,,松葉町会,町会内での総合防災訓練の実施,,,
14,,松が谷三丁目町会,伝統の餅つきを通じたコミュニケーション強化事業,,,
15,,松が谷１丁目町会,地域子供祭り(イベント)を通じたコミュニケーション強化事業,,,
16,,北上野二丁目町会,コミュニティ形成を目指したまつり,,,
17,,雷門東部町会,広報紙作成による町会加入促進及び防災イベント,,,
18,墨田区,菊川一丁目町会,令和５年度　菊川一丁目町会　餅つき大会を通じた世帯間交流・多文化共生社会づくり事業,,,
19,,菊川三丁目町会,餅つき大会を通じた地域力向上事業,,,
20,,東駒形二丁目町会,イベントを通じた町会加入促進及び地域交流事業,,,
21,,横川一丁目町会,イベントを通じた町会加入促進及び地域交流事業,,,
22,江東区,大島七丁目町会,ウォーキングと芋煮会,,,
23,,大島三丁目団地自治会,多文化共生社会づくりとしての防災訓練,,,
24,品川区,八潮４号棟自治会,防災訓練を通じた地域のつながりと継続的な防災力の向上,,,
25,,八潮40号棟自治会,夜間を想定した防災訓練,,,
26,,４２号棟自治会,緊急時に安全な防災対策　避難時におちついて自分の身を守る方法を身に付ける,,,
27,目黒区,柿の木坂西町会,柿の木坂西町会　スマホ教室,,,
28,,目黒本町東町会,歳末警戒パトロール,,,
29,,下目黒五丁目自治会,防災と交通安全と地域交流の3つの活動でつくる安心・安全なまち,,,
30,,目黒区目黒本町五丁目南町会,歳末警戒パトロール,,,
31,,月光町会,防災訓練＆歳末警戒パトロール,,,
32,大田区,蒲田二丁目自治会,防災訓練、炊出し訓練,,,
33,,大田区大森東地区自治会連合会,第１０回いつつのわふれあい祭り,,,
34,,大田区田園調布地区自治会連合会,田園調布グリーンフェスタを通じた異世代交流の推進,,,
35,,嶺町北町会,仮装大会を通して町会加入促進と地域交流に繋げる事業,,,
36,,認可地縁団体「池上徳持南町会」,オンライン中継による防災拠点訓練,,,
37,,大田区谷中町会,【谷中町会】防災に関する啓発事業について,,,
38,世田谷区,梅丘１丁目町会,絆を確かめる防災訓練,,,
39,,桜上水５丁目自治会,プライバシー保護、感染症対策などを意識した避難所訓練,,,
40,渋谷区,渋谷区代々木２丁目南町会,「防災さんぽ」 ～散策しながら地域を知ろう～,,,
41,中野区,野方地区町会連合会,防犯講習会を通じた地域力向上事業,,,
42,,沼袋親和会,みんなのぬまぼり,,,
43,,野方東町会,サッカーを通じた青少年健全育成と国際交流,,,
44,,本三西町会,イベントを通じた地域内の交流促進,,,
45,,中野区東中野地区町会連合会,にじいろ　ひがしなかの,,,
46,,桜山町会,夜警活動に伴う高齢者の見守り活動,,,
47,,塔ノ山町会,若者から高齢者まで顔の見える町会をめざして,,,
48,杉並区,上荻窪地区町会連合会,寒中もちつき大会,,,
49,,泉南町会,総合防災訓練,,,
50,,下井草東部自治会,自治会加入促進ともちつきフェスタ2023,,,
51,,大宮二丁目自治会,令和5年度合同防災訓練と多文化共生社会づくり,,,
52,豊島区,上池袋昭和町会,餅つき大会,,,
