番号,区市町村名,申請団体名,事業名
1,港区,三光第八町会,第6回「白金台どんぐり児童遊園納涼盆踊り大会」
2,,汐留町会,第4回東京防災in汐留（街の総合防災訓練）
3,,松ヶ丘会,高松桜まつり
4,,高輪共和会,高輪共和会第９回防災フェスタ
5,台東区,入谷地区町会連合会,入谷朝顔音頭踊り大会を通した地域活性化事業
6,,松が谷三丁目町会,地域子供祭りを通じたコミュニケーション強化事業
7,墨田区,横川２丁目町会,横二交流会
8,品川区,小山四丁目町会,子供まつりを通じた地域交流「コヤヨンまつり」
9,,西品川三ツ木会,町会会館を利用した高齢者サロン
10,,出石町会,出石町会総合防災訓練
11,,五反田睦町会,目黒川さくらまつり
12,,荏原二丁目町会,地域ふれあいの為のお花見会
13,目黒区,東山三丁目自治会,防災訓練（応急救命を体験しよう！）を通じた地域防災力の向上
14,大田区,大田区自治会連合会,「地域の魅力再発見ガイドブック」の作成
15,世田谷区,成城地区自治会連合会,「災害に負けないまち成城」 地区住民による防災事業
16,,上町地区町会連合会,上町地区住民の防災意識向上事業
17,渋谷区,渋谷区神泉町会,地域住民相互の絆の育成「大向いきいきクラブ」の推進
18,,ときわ松町会,ときわ松町会＆渋谷二丁目町会　七夕パレードと合同防災企画（障がい者と健常者が共に寄り添う）
19,中野区,新井町会連合会,中野通り桜まつりを通じた地域の交流促進の取り組み
20,杉並区,今川町親和会,「灯りde絆」　地域内の交流促進及び人材育成事業
21,豊島区,豊島区雑司が谷三丁目町会,災害時の情報取得と町会内の現状把握訓練の実施
22,,長崎六丁目町会,スタンドパイプを活用した防災訓練
23,北区,北区町会自治会連合会,町会・自治会等での加入促進キャンペーン事業
24,,豊島連合町会,第２７回　カッパまつり
25,,豊島一丁目町会,納涼盆踊り大会
26,板橋区,坂下一丁目南町会,「トレインまつり」を通じた地域交流事業
27,,志村親和町会,春の町会イベントを通じた地域交流促進事業
28,,板橋区町会連合会清水支部,第33回清水ファミリーデー
29,,富士見町自治会,わくわく盆踊り
30,,板橋区東山町会,東山フェスティバル（世代間交流事業）
31,練馬区,栄町町会,文化祭を通じた会員加入促進キャンペーン
32,,光が丘地区連合協議会,国際色豊かなまち光が丘から「スポーツ・文化を通し世界へ羽ばたこう！」～２０１９～
33,,南大泉１丁目町会,「じゃがいも掘りと試食会」を通じた地域のつながりを深める事業。
34,,小竹町会,「小竹の森音楽祭」・「こたけあそび」を通じた小竹町ふるさとづくり
35,足立区,渕江町会自治会連合会,「にしほ桜まつり」による地域活性化事業
36,,西綾瀬三丁目第２自治会,安否確認訓練に重点を置いた地域防災訓練による自治会の共助力向上事業
37,葛飾区,東水元２丁目仲町町会,納涼盆踊り大会
38,江戸川区,小松川平井地区連合町会,第３７回小松川平井地区総合防災訓練
39,八王子市,八王子市加住地区町会・自治会連合会,地域の文化を継承し町会員の結束を高める運動
40,,八王子市町会自治会連合会東部地区連合会,防災訓練を通して地域・学校・病院との連携及び交流事業
41,,三田町会,三田町会　夏祭り
42,,高留町会,上恩方夏祭り
43,立川市,東栄会自治会,愛宕盆踊り大会
44,,立川市自治会連合会栄町支部,子供も参加する防災訓練と子供向け科学あそびの広場
45,,立川一番町東団地自治会,夏祭りを通じた地域連帯力の向上
46,青梅市,青梅市自治会連合会第５支会,「桜」　をテーマにした地域交流事業　
47,,今寺西自治会,今寺夏祭り
48,,青梅市自治会連合会第７支会,ゆめおどる夏のフェスティバル　成木地区大盆踊り２０１９
49,,青梅市自治会連合会第1支会,青梅大祭
50,府中市,府中市自治会連合会,自治連ハンドブックの更新を通じて2020に向けた取り組みの導入
51,,北山町１丁目自治会,町内防災力向上事業
52,,紅葉丘第一町会,おいでよ　モミフェス　１丁目～ふるさとプロジェクト2019～
53,昭島市,昭島市自治会連合会,自治会の活性化と加入促進に対する応援事業
54,,昭島市自治会連合会第１７ブロック,高齢化、孤立化がすすむつつじが丘地域の住民の夏祭り
55,調布市,下石原第一自治会,下石原第一自治会美化運動及び炊き出し訓練
56,,杉森地区連合会,第31回　杉森地域納涼盆踊り大会
57,小平市,上水南町自治会連合会,上水南祭り
58,日野市,実践南自治会,自治会区域における地域力の活性化と地域住民の交流促進を目的とした夏祭り事業
59,東村山市,廻田町上自治会,桜まつりを通じて廻田町上自治会の連携と地域交流の推進
60,,西武園住宅自治会,桜祭りを通じた多摩湖町地域の親睦と交流の推進事業
61,国分寺市,よっこら処自治会,高齢者中心の防災訓練
62,東久留米市,東部第二分団自治会連合会,防災訓練・地域交流を通じた地域防災力の向上事業
63,あきる野市,小川町内会,避難所体験共同防災訓練
64,,瀬戸岡町内会,自主防災訓練を通じた地域防災力の向上
