番号,区市町村名,申請団体名,事業名
1,中央区,日本橋五の部連合町会,日本橋五の部　防災体験・平和の集い
2,港区,港区麻布町会・自治会連合会,初心者のためのスマホ・タブレット講座
3,港区,北四国町会,芝のはらっぱを防災拠点としてどのように活かせるかを考える取り組み
4,新宿区,新宿区下落合東町会,防犯パトロールと地域交流
5,文京区,原町町会,スマートフォン、タブレット講習会
6,台東区,浅草橋一丁目協和町会,JR浅草橋駅周辺清掃の機会に多文化共生への理解を深める
7,台東区,菊屋橋町会,町会のデジタルデバイド対策
8,台東区,芝崎町西町会,防災力向上を目指した充電訓練の実施
9,台東区,浅草三丁目東町会,伝統の餅つきを通じたコミュニケーション強化事業
10,品川区,八潮４号棟自治会,防災訓練を通じた防災力の向上
11,大田区,山王三・四丁目自治会,自治会のしおり作成事業
12,大田区,新井宿自治会連合会,新井宿自治会連合会　デジタル化推進事業
13,大田区,大田区池上地区自治会連合会,池上マップ作成
14,大田区,大田区嶺町地区自治会連合会,「ぐるっと５町会！みねまちクイズラリー」を通して地域交流する市民事業活動
15,大田区,新井宿七丁目町会,新井宿七丁目町会　餅つき大会
16,大田区,東雪谷東中自治会,安否確認訓練
17,世田谷区,八幡山町会,八幡山地域交流もちつき大会
18,世田谷区,赤堤二丁目町会,防災訓練・安否確認訓練及び無線通信訓練を通じた地域防災力の向上
19,渋谷区,ときわ松町会,『餅つき大会と地域防災』
20,豊島区,駒込第一町会,倉庫を活用した防災本部訓練(地域防災力向上事業)
21,豊島区,駒込七丁目町会,夜間発災を想定した防災訓練
22,北区,豊島連合町会,歳末防火防犯パトロール
23,北区,豊島５・６丁目町会,防災訓練を通じて地域防災力の向上
24,荒川区,リバーパーク汐入町会,歳末警戒パトロールのYouTube配信
25,板橋区,高島平三丁目自治会,地域のデジタルデバイド（情報格差）解消に向けた事業
26,板橋区,板橋区町会連合会富士見支部,スマートフォン操作講習会
27,板橋区,蓮沼西町会,七草粥と餅つきを通じた地域活性化事業
28,板橋区,舟渡町会,舟渡町会スマホ教室
29,板橋区,高島平一丁目町会,餅つき大会
30,板橋区,板橋区町会連合会熊野支部,「タブレット端末を活用した町会活動の参加についての講習会」
31,板橋区,蓮根三丁目自治会,デジタル活用支援活動
32,練馬区,栄町町会,文化祭を通じた会員加入促進キャンペーン
33,葛飾区,新小岩第六自治会,デジタル活用講習会を通じた地域防災力の向上
34,江戸川区,南篠崎町会,南篠崎町会スマホ・タブレット使い方講座
35,八王子市,馬場谷戸町会,餅つき・どんど焼き
36,立川市,立川市自治会連合会,デジタルツール活用講習会
37,立川市,立川一番町東団地自治会,団地居住者を対象とした「災害を想定した防災訓練」
38,青梅市,河辺町二丁目自治会,多摩川清掃を通しての地域交流と防災意識向上事業
39,町田市,根岸町内会,デジタル活用支援　講習会
40,町田市,小山田桜台自治会,スマホ教室
41,町田市,町田市鶴川地区町内会自治会連合会,鶴連オンライン講座
42,町田市,町田市南地区町内会・自治会連合会,南地区町内会・自治会連合会　オンライン会議講習会
43,小金井市,弁天通り自治会,WEB会議の参加・開催　講習会
44,小平市,たかの台自治会,たかの台自治会近隣地区の自主防災コミュニティ推進計画
45,日野市,実践南自治会,地域の美化と住民のふれ合い・交流促進を目的とした地域一斉清掃事業
46,日野市,宮自治会,宮散歩
47,日野市,南新井自治会,住民の交流促進を目的とした防災イベントの実施
48,国分寺市,内藤自治会,防災訓練を通じた地域防災力の向上事業
49,東大和市,親和自治会,自主防災活動の発信力向上と地域への定着
50,稲城市,若葉台ワーズワースの丘自治会,2021年度　若葉台ワーズワースの丘「焼き芋大会」を通じた地域交流事業
51,稲城市,ファインヒル向陽台自治会,オンラインツール（Zoom）を使った自治会交流会の開催方法・使い方の講習会
52,羽村市,羽村市町内会連合会,町内会・自治会活動写真展
53,あきる野市,あきる野市油平自治会,地域文化の継承と多文化共生社会づくりの構築と心身の活性化を図る
54,瑞穂町,瑞穂町町内会連合会,広報強化による町内会・自治会加入促進事業
