番号,区市町村名,申請団体名,事業名,,,
1,中央区,浜二親合町会,金座・親合町会　合同　餅つき大会,,,
2,,浜町３丁目西部町会,町内スタンプラリー交流イベント,,,
3,港区,港区麻布町会・自治会連合会,港区麻布町会・自治会連合会「ボッチャを体験して交流を深めよう～」,,,
4,新宿区,戸山三丁目南町会,戸山三丁目南町会　地域防災訓練,,,
5,文京区,水道端町会,安心安全な地域社会作りを目指す水道端町会の活動,,,
6,,天一町会,町会交流の加入促進事業と青少年と高齢者の融合と安全,,,
7,,大塚上辻町会,地域活性化のためのお餅つき・防犯防災・ボランティア活動,,,
8,,武島町会,安心安全な地域社会作りを目指す武島町会の活動,,,
9,,赤門前町会,赤門前町会と隣接3町会との合同による留学生等との協働による多文化共生社会の推進に向けた取り組み,,,
10,台東区,谷中初四町会,消火訓練を通じた地域防災力の向上事業,,,
11,,柳橋町会,スポーツを通じた地域交流により、町会活動への理解を深め加入促進をはかる。,,,
12,,芝崎町西町会,伝統の餅つきを通じたコミュニケーション強化事業,,,
13,,浅草芝崎町中町会,伝統の餅つきを通じたコミュニケーション強化事業,,,
14,,佐竹町会,令和元年度　秋祭り,,,
15,,入谷北栄町会,伝統の餅つきを通じたコミュニケーション強化事業,,,
16,,松葉町会,伝統行事の餅つきと芋煮会を通じたコミュニケーション強化事業,,,
17,,東浅草二丁目中町会,東浅草二丁目中町会初期消火強化事業,,,
18,,金杉二丁目町会,第６６回　金杉二丁目町会運動会,,,
19,墨田区,立川・菊川連合町会,立菊フェスティバル,,,
20,,菊川一丁目町会,令和元年度　菊川一丁目町会もちつき大会を通じた世代間交流事業,,,
21,江東区,エダージオ町会自治会連合会,地域連合運動会を通じた交流促進事業,,,
22,,常盤一丁目町会,２町会が協力関係を築く夜間防災訓練,,,
23,,亀戸九丁目町会,亀戸七丁目南部町会と亀戸九丁目町会の継続する合同防災訓練,,,
24,,大島七丁目町会,ウォーキングと芋煮会,,,
25,,江東区南砂３丁目西町会,南砂３丁目西町会地域防災力の向上,,,
26,,清澄３丁目北部町会,経験と知識を高める合同防災訓練,,,
27,,三好二丁目町会,三好二丁目町会の防災訓練,,,
28,品川区,潮路南第二ハイツ自治会,第31回　防災フェア,,,
29,,品川区旗の台三丁目町会,防災の集い,,,
30,,八潮４号棟自治会,防災訓練と美化運動を通じた地域減災力の向上とホッケー選手による講演会,,,
31,目黒区,目黒区町会連合会,町会・自治会活動啓発及び加入促進事業,,,
32,,緑が丘自治会,夜間照明及びスタンドパイプの給水訓練,,,
33,,目黒区鷹番１・２丁目町会,広報強化による町会加入促進及び町会活性化事業,,,
34,,碑文谷一丁目町会,防災訓練,,,
35,大田区,オーベルグランディオ萩中自治会,オーベルグランディオ萩中自治会　もちつき大会,,,
36,,蒲田西地区自治会連合会,コンサートを通じた地域交流・地域力向上事業,,,
37,,大田区雪谷地区自治会連合会,雪谷地域情報地図「いきいき雪谷ふれあいマップ」作成事業,,,
38,,大田区大森東地区自治会連合会,第９回いつつのわふれあい祭り,,,
39,,大田区田園調布地区自治会連合会,田園調布グリーンフェスタを通じた異世代交流の推進,,,
40,,東六郷一丁目町会,東六郷一丁目町会　防災訓練,,,
41,,南六郷一丁目町会,防災訓練を通じた地域防災力の向上,,,
42,,南六郷二丁目町会,南六郷二丁目町会　防災訓練,,,
43,,萩中町会,“１９オータム　フェスティバル　イン萩中”,,,
44,,大田区嶺町地区自治会連合会,嶺町地区学校防災活動拠点訓練,,,
45,,嶺町北町会,仮装大会を通して町会加入促進と地域交流に繋げる事業,,,
46,,下丸子三丁目町会,被災時に飲料水確保のための浄水器使用訓練,,,
47,,北千束中自治会,北千束中自治会主催　地域交流音楽会,,,
48,,西糀谷一丁目町会,西糀谷一丁目町会もちつき大会,,,
49,,西糀谷三丁目町会,西糀谷三丁目町会防災訓練,,,
50,,今泉自治会,防災訓練（発災型）,,,
51,,北馬込一丁目町会,安心・安全北一町会,,,
52,世田谷区,上馬・駒沢明和会,防災訓練を通して町会内組織強化と地域防災力の向上,,,
53,,梅丘１丁目町会,防災訓練を通じ地域の絆を強める事業,,,
54,,船橋会,船橋会防災訓練（船橋会防災フェスタ）　,,,
55,,希望ヶ丘団地自治会,階段避難救助訓練を通して防災力を向上,,,
56,渋谷区,新橋町会,健康を意識した高齢者サロン活動「元気アップ教室事業」,,,
57,,本町中町会,本町中町会・南町会の避難所防災訓練,,,
58,,伊達町会,地域参加を呼びかけて行う避難所運営訓練,,,
59,中野区,中野区町会連合会,町会・自治会地域活性化推進事業(町会・自治会の魅力ＰＲイベント),,,
