No.,区市町村名,申請団体名,事業名
1,中央区,ザ・パークハウス晴海タワーズクロノレジデンス自治会,小さなアンバサダー育成プロジェクト2017
2,中央区,浜二親合町会,金座・親合町会　合同　餅つき大会
3,港区,港区麻布町会・自治会連合会,港区麻布町会・自治会連合会　「地域防災力向上プロジェクト」　
4,新宿区,いぶき町会,新宿区いぶき町会による発災時情報伝達強化訓練
5,文京区,本郷弓一町会,餅つき大会を通じた地域交流事業
6,文京区,武島町会,安心安全な地域社会づくりを目指す武島町会の活動
7,文京区,神明上町会,第9回　もちつき会　
8,台東区,元浅草三丁目町会,共に協力しあい楽しみながら学ぶ防災訓練
9,台東区,谷中初四町会,消火訓練/通信訓練を通じた地域防災力の向上事業
10,台東区,浅草馬二町会,浅草馬二町会　餅つき大会
11,台東区,寿三丁目東町会,寿三丁目東町会・駒形南町会災害対応力を深める防災訓練
12,台東区,日本堤本町会,日本堤本町会の避難訓練
13,台東区,池之端4丁目町会,防災訓練を通した安全・安心のまちづくり事業
14,台東区,浅草寿町四丁目町会,浅草寿町四丁目町会・駒形町会共助合同防災訓練
15,台東区,入谷北栄町会,入谷北栄町会の初期消火活動体験訓練
16,台東区,浅草一丁目三栄町会,大規模災害の意識を高める合同防災訓練
17,台東区,浅草町二町会,防災訓練を通じた地域防災力の向上事業
18,台東区,松が谷四丁目東栄会,町会主催の餅つき大会事業
19,台東区,浅草寿町一丁目町会,地域の災害対応力向上事業
20,墨田区,玉の井町会,無線機器を使用しての防災避難訓練
21,墨田区,菊川一丁目町会,平成29年　菊川一丁目もちつき大会を通じた世代間交流事業
22,江東区,北砂4・7丁目町会,安否確認方法の検証を含む防災訓練
23,江東区,エダージオ町会自治会連合会,地域連合運動会を通じた交流促進事業
24,江東区,江東区小松橋地区連合町会,小松橋地区連合町会　防災訓練
25,江東区,八名川地区連合町会,八名川地区連合町会の合同防災訓練
26,品川区,潮路南第二ハイツ自治会,家族で参加我が団地の防災フェアH29年
27,品川区,品川区旗の台三丁目町会,防災の集い
28,品川区,50号棟自治会,48.49.50号棟合同餅つき会
29,目黒区,柿の木坂町会,柿の木坂三町会合同によるジョギング大会開催を通じた地域交流並びに健康作り事業
30,目黒区,氷川台町会,餅つき大会を通じた町会員加入促進事業
31,目黒区,上八北自治会,携帯用防災無線を使用した防災訓練による地域防災力向上事業
32,大田区,オーベルグランディオ萩中自治会,オーベルグランディオ萩中自治会　もちつき大会
33,大田区,希望ヶ丘自治会,異文化国際交流「希望のフェス」Vol.2
34,大田区,大田区大森東地区自治会連合会,第7回いつつのわふれあい祭り
35,大田区,田園調布地区自治会連合会,田園調布グリーンフェスタを通じた異世代交流の推進
36,大田区,東六郷一丁目町会,東六郷一丁目町会　防災訓練
37,大田区,嶺町北町会,仮装大会を通して町会加入促進と地域交流に繋げる事業
38,大田区,北馬込二丁目寺郷町会,「馬込の月見まつり」を通じた地域活性化事業
39,世田谷区,世田谷区町会総連合会,世田谷2020おもてなし気運醸成のつどい
40,世田谷区,都営船橋四丁目住宅自治会,スタンドパイプを使用した地域防災力の向上事業
41,中野区,野方地区町会連合会,防犯講習会を通じた地域力向上事業
42,中野区,多田町会,かっぱまつりによる地域の防災力の向上
43,杉並区,上荻窪地区町会連合会,子供とつくる伝統行事「寒中もちつき大会」
44,杉並区,方南二丁目町会,「町民の集い」を通じて住民・世代間の交流を図る事業
45,杉並区,和田地区町会連合会,和田地区の“絆”発展イベント事業　～ノベンバーフェスタ2017～
46,杉並区,下井草東部自治会,自治会加入ともちつきフェスタ2017
47,杉並区,高円寺南１丁目東町会,昔あそびと餅つきを通じた文化継承・地域交流事業
48,豊島区,上池袋昭和町会,上池袋昭和町会　もちつき大会
49,豊島区,豊島区北大塚伸和町会,駅前での防災本部設営訓練を通じた防災力向上事業
50,豊島区,目白山紫町会,町会防災自主訓練と餅つき大会
51,豊島区,西巣鴨共和会,防災訓練、防犯パトロールを通じた地域の防災力・防犯力向上事業
52,豊島区,東池袋五丁目東町会,町会別のストラップを用いた防災訓練への参加呼びかけ活動及び防災訓練による防災力向上事業
53,豊島区,東池袋中部町会,初期消火器具を活用した訓練実施で防災力を向上させる事業
54,北区,上田端親和町会法人,餅つき大会を通じた地域交流事業
55,荒川区,アクロシティ自治会,緑と花の憩いの場を楽しむ活動を通じた地域力向上
56,荒川区,荒川区大門町会,地域防災力の強化合同事業
57,荒川区,西日暮里五丁目町会,地域防災力の向上強化事業
58,板橋区,小豆沢緑町会,町会イベント（サンマ大会・餅つき大会）を通した地域交流促進事業
59,板橋区,板橋区町会連合会,「板橋区民まつり」における町会・自治会への加入促進活動
60,板橋区,若木華実町会,地域住民の一体化を目指し交流を促進するもちつき大会
61,板橋区,小豆沢二丁目町会,餅つき大会を通じた地域の交流促進事業
62,板橋区,桜川二丁目町会,餅つき大会を通じた世代間交流事業
63,板橋区,中板橋町会,地域包括ケアシステム実現に向けた地域交流祭り
64,練馬区,桜台自治会,卓球教室・大会を通じたスポーツの普及啓発と顔の見える関係づくり
65,練馬区,桜台親和町会,きずな祭りを通じた地域猫（さくらねこ）活動の啓発事業
66,練馬区,早宮３･４丁目町会,早宮まつり（わくわくどうぶつむら）
67,練馬区,田柄町会,スポーツ大会を通じた地域活動の普及啓発と健康づくり
68,練馬区,都営東大泉団地自治会,災害時に集会所を避難場所として開設し地域の防災力を向上する事業
69,練馬区,関町南北町会,町会・自治会の地域力を結集した「防災まちづくり」
70,足立区,第十四中学校近隣自治会連合会,安心安全な街作り
71,葛飾区,細田三丁目町会,細田４町会合同ふれあい祭りを通じた地域防災・防犯力向上事業　第７回細田ふれあい祭り　－絆－
72,葛飾区,四つ木五丁目町会,第19回子供もちつき大会
73,葛飾区,上小松町会,首都直下地震と水害を想定した上小松町会総合防災訓練
74,葛飾区,渋江東町会,仕事体験を通じた地域の青少年育成事業
75,葛飾区,   飾区東金町中央自治会, 　飾区東金町中央自治会の初期消火活動を通じた地域防災力向上事業
76,葛飾区,葛飾区東堀切町会,災害時に備える葛飾区東堀切町会
77,八王子市,馬場谷戸町会,餅つきと出前寄席を通じた文化継承と地域交流イベント
78,八王子市,長房西２自治会,高齢者と子供達の世代間交流イベントを通じて絆を深める
79,八王子市,川口南町会,地域の歴史及び文化学習、作品展、そば作りを通じた地域交流事業
80,八王子市,美山町会,第１４回　美山町健康フェスティバル
81,八王子市,長房西団地連合自治会,地域の健康と親睦・交流を図る餅つき大会
82,八王子市,打越町会,防災訓練を通じた地域防災力の向上事業
83,八王子市,都営長房西アパート連合自治会,防災訓練と後継者の育成
84,八王子市,石川町会,防災訓練を通じた地域防災力の向上事業
85,八王子市,緑ヶ丘町会,防災訓練及び炊き出し訓練を通じた地域防災力の向上
86,八王子市,松子舞自治会,防災訓練を通じた地域防災行動力の向上事業
87,八王子市,みなみ野６丁目会,隣接町会共同での防災訓練を通じた地域防災力の向上事業
88,八王子市,絹ヶ丘一丁目自治会,地域住民が協力して進める安否確認訓練
89,八王子市,NEC平山団地自治会,平成29年度地域避難訓練
90,八王子市,さつき野自治会,餅つきを通じた地域交流事業
91,三鷹市,下連雀二丁目会,「むらさき公園の集い」－大規模災害に備えて　Part 3－
92,青梅市,青梅市自治会連合会第10支会,防災訓練（見回り安否確認）を通して、自治会員相互の意識向上事業
93,青梅市,東青梅三丁目自治会,スポーツを通じた地域の活性化
94,青梅市,下長渕第四自治会,凧作りや凧あげを通じた地域での青少年健全育成2017
95,青梅市,今寺第四自治会,今四・五合同フェスティバルによるコミュニティ醸成事業
96,青梅市,柚木町1丁目自治会,防災訓練を通じた地域防災力向上事業
97,府中市,美好町二丁目自治会,巨大地震を想定した緊急避難訓練他の自助・共助の取り組み
98,府中市,台友自治会,安否の確認と怪我人搬送訓練に依る防災力向上事業
99,府中市,府中市泉会自治会,震災発生時の初期消火対策訓練・被災者救出訓練事業
100,府中市,寿町３丁目自治会,最新手法を活用した防災訓練による地域防災力の向上事業
101,府中市,分梅町自治会連合会,防災訓練を通じた分梅町地域防災力の向上事業
102,府中市,府中市栄町三丁目親栄会,初期消火を中心とした防災訓練による防災力向上事業
103,昭島市,昭文自治会,地域防災力の向上と地域住民の交流促進
104,昭島市,東町第五自治会,地域防災力の強化と住民交流活動の活性化事業
105,昭島市,昭島市自治会連合会第四ブロック,防災マニュアルを活用した避難訓練、避難所開設前の避難者受入訓練
106,昭島市,昭島住宅自治会,日中及び夜間の防災訓練を通じた地域防災力の向上事業
107,昭島市,昭島市自治会連合会第8ブロック,地域内のネットワーク強化を狙いとする防災訓練の実施
108,調布市,国領町第四新生自治会,もちつき大会
109,調布市,緑ヶ丘一丁目自治会,秋の集い（地域の皆さんで、助け合い支え合うための交流の場）
110,町田市,鞍掛台自治会,地域行事と防災訓練を通じた地域交流の促進並びに地域防災力の向上
111,町田市,下馬場町内会,火災発生時、初期消火器具を使用した消火活動の訓練実施
112,町田市,鹿島自治会,地域と家庭の防災力強化事業
113,町田市,成瀬が丘自治会,商店街と連携した地域交流イベント
114,町田市,中村町内会,火災発生時初期消火器具を使用した消火活動の訓練実施
115,町田市,金森中央町内会,金森広域地区けんこう増進事業
116,町田市,上馬場町内会,初期消火器具を使用した消火活動などの訓練実施
117,町田市,下山崎町内会,防災訓練を通じた地域防災力の向上事業
118,町田市,高ヶ坂あかね自治会,世代間交流事業
119,町田市,成瀬台四丁目自治会,高齢化地域における投てき型消火用具の消火訓練による初期消火力向上
120,町田市,木曽南自治会,万が一の災害に備えるために地域の人々の繋がり向上事業
121,町田市,地縁法人　相原町大戸町会,にこにこ　いきいき　スマイル大戸プロジェクト　～健康スポーツで地域の絆を高める～
122,小金井市,桜友会町会,地域の防犯力向上のための夜間パトロール事業
123,小金井市,自治会つつじ会,防犯知識習得を通じ地域防犯力の向上と交流
124,小平市,鷹の台団地小平自治会,地域在住外国人も、地域密着型介護施設も参加する防災訓練
125,小平市,富士見住宅自治会,スポーツと文化を通した地域交流事業
126,小平市,回田町会,第三回「回田秋まつり」の実施
127,日野市,第二日野万自治会,夜間防災訓練を通じた地域防災力の向上事業
128,日野市,南百草園自治会,南百草園自治会ミニ交流会
129,東村山市,都営東村山恩多町二丁目アパート自治会,緊急時に向けた避難訓練実施事業
130,国分寺市,泉山自治会,防災訓練・「秋の自治会まつり」で防災力・地域の連帯力向上事業
131,国分寺市,よっこら処自治会,高齢者の防災訓練
132,福生市,福生加美平住宅自治会,餅つき大会を通じて世代間交流と自治会の加入促進
133,狛江市,駒井町会,駒井町会国際異文化体験交流会
134,狛江市,元和泉二・三丁目町会,子供たちと考える防災イベントと火を使わない個別でできる炊き出し訓練
135,狛江市,狛江市町会・自治会連合会,花のまち2020
136,東大和市,湖南自治会,異世代間　地域活性化・見守り活動事業
137,東大和市,梅の原住宅自治会,梅の原住宅自治会の防災訓練による地域防災力の向上
138,清瀬市,竹丘自治会連合,音楽を通じた、住民交流会及び防災意識向上事業
139,東久留米市,下山親睦会,防災訓練を通じた地域防災力の向上事業
140,東久留米市,野火止親和会,平成29年度野火止親和会・防災避難訓練事業
141,武蔵村山市,武蔵村山市馬場自治会,武蔵村山市馬場自治会グランドゴルフ大会事業
142,武蔵村山市,後ヶ谷戸自治会,地域住民の世代間交流及び健康増進をはかる事業
143,多摩市,都営聖ヶ丘1丁目アパート自治会,地域の絆づくり、見守りと防災力の強化
