番号,区市町村名,申請団体名,事業名
1,中央区,小伝馬町一の部町会,小伝馬町一の部町会活性化プロジェクト
2,港区,高輪共和会,高輪共和会　第10回　防災フェスタ
3,文京区,丸山町会,防災活動を通じて、地域の「共生」「防災」の意識を醸成する
4,文京区,本郷弓一町会,新型コロナウイルス感染症対策も含めた防災講習を通じた地域防災力の向上事業
5,文京区,武島町会,安心安全な地域社会作りを目指す武島町会の活動
6,台東区,上野桜木町会,地域子供祭りを通じたコミュニケーション強化事業
7,台東区,谷中初四町会,通信・消火訓練を通じた地域防災力の向上事業
8,台東区,堤町会,防災訓練を通じた地域防災力の向上
9,墨田区,菊川一丁目町会,令和2年度　菊川一丁目町会　餅つき大会を通じた世代間交流事業
10,目黒区,柿の木坂町会,目黒キャンパスにおける防災訓練・避難所運営訓練
11,大田区,大森東地区自治会連合会,「いつつのわふれあい祭り」パネル展
12,大田区,嶺町北町会,仮装大会を通して町会加入促進と地域交流に繋げる事業
13,世田谷区,梅丘１丁目町会,防災訓練を通じ地域の絆を強める事業
14,世田谷区,法人格　砧町自治会,防災訓練を通じた地域防災力の向上
15,世田谷区,下馬地区町会自治会連合会,下馬地区住民の防災意識向上事業
16,世田谷区,赤堤１丁目町会,第4回町会防災訓練（スタンドパイプによる初期消火訓練/安否確認訓練）
17,渋谷区,本町東町会,つばめの里本町東避難所運営に関する地域参加プロジェクト（コロナ禍における防災訓練）
18,中野区,中野区町会連合会,町会・自治会地域活性化推進事業（町会・自治会の魅力PRイベント）
19,中野区,野方地区町会連合会,防犯講習会を通じた地域力向上事業
20,中野区,沼袋親和会,みんなのぬまぼり
21,中野区,本三西町会,イベントを通じた地域内の交流促進
22,杉並区,大宮二丁目自治会,ＡＥＤ訓練とオリンピック・パラリンピック気運醸成講演会
23,豊島区,上池袋昭和町会,上池袋昭和町会　もちつき大会
24,豊島区,上池袋三丁目町会,スタンドパイプ使用による「消防訓練」
25,板橋区,大原東町会,大原東町会　令和2年度防災訓練
26,板橋区,茂呂町会,茂呂町会　安心・安全なまちつくり強化事業
27,板橋区,若木華実町会,町内居住者の顔と名前が一致する世代間交流の促進を図る親睦もちつき大会
28,練馬区,栄町町会,文化祭を通じた会員加入促進キャンペーン
29,練馬区,豊玉第一町会,令和２年度　炊き出し訓練＆餅つき大会（１２月）
30,八王子市,高尾台自治会,住民同士顔の見える防災街作り推進事業
31,八王子市,大和田町会,公園の「清掃活動」と「防災訓練」
32,八王子市,絹ヶ丘一丁目自治会,令和２年絹ヶ丘一丁目安否確認訓練
33,八王子市,さつき野自治会,餅つき大会
34,八王子市,川口町中部町会,ハザードマップを通して地域の防災意識と防災力を高める事業
35,八王子市,八王子市中野西三町会,町内会のあいさつ運動（あいさつからはじまる地域づくり）
36,立川市,東栄会自治会,世代間交流を図りつつ、非常災害時に対応した「炊き出し」と「餅つき」を体験
37,立川市,栄町南部自治会,立川市栄町地区の２自治会合同防災訓練
38,府中市,府中マンション自治会,震災発生時の情報収集の構築
39,府中市,ライオンズマンション府中自治会,防災訓練と高齢者の安全避難向上
40,府中市,南府中自治会,災害時における自助、共助、公助で命を守り・生活を守る防災訓練
41,昭島市,郷地東町連合自治会,自治会活動活性化と防災・防犯意識向上事業
42,昭島市,昭島団地自治会,防災器材（無線機）を使用した震災対策訓練
43,町田市,相原元橋町会,町内自主防災訓練の一環として実施する防災用発電機を利用した避難所の立ち上げ訓練
44,小平市,回田町会,ＡＥＤ（バイスタンダーＣＰＲ）訓練とＷｅｂ公開による講習の実施
45,東大和市,親和自治会,自主防災活動立上げによる自治会活動の付加価値向上と活性化
46,多摩市,多摩市自治連合会,自治会・町会・管理組合のエリアマップ等の作成・配布による加入促進事業
47,多摩市,都営聖ヶ丘１丁目アパート自治会,環境整備（草刈り）と高齢者、子供たちの見守りと健全育成
48,稲城市,向陽台地区連合会,向陽台地区災害対策本部設営訓練（コロナ禍での本部設営と地域住民との連携訓練）
49,あきる野市,あきる野市町内会・自治会連合会,コロナ禍における令和２年度避難所開設訓練・運営訓練
50,日の出町,第7自治会,防災訓練・ＡＥＤ講習・避難所の設置
