番号,区市町村名,申請団体名,事業名
1,文京区,根津弥生七ヶ町連合会,無線機を活用した防災訓練事業
2,文京区,赤門前町会,高層マンションと地元町会との災害時協働マニュアルの作成事業
3,文京区,千駄木三丁目南部町会,七夕フェスティバル
4,文京区,千駄木二丁目西町会,どじょうつかみ・消防ポンプ体験
5,台東区,柳橋町会,第6回隅田川こいのぼりフェスティバル
6,台東区,聖天町会,地域のお祭り写真展を通じた地域交流の活性化
7,台東区,入谷地区町会連合会,入谷朝顔音頭踊り大会を通した地域活性化事業
8,目黒区,下目黒五丁目自治会,まちまるごと下五キャンパスプロジェクト～子どもも大人も一緒に学ぼう社会課題とSDGｓ～
9,大田区,大田区久が原地区自治会連合会,デジタル媒体を活用した「特殊詐欺」に関する講演会
10,大田区,北千束北自治会,地域の青少年による和太鼓交流会
11,世田谷区,成城地区自治会連合会,「災害に負けないまち成城」
12,渋谷区,渋谷区神泉町会,大向いきいきクラブ
13,渋谷区,本町東町会,つばめの里本町東避難所運営に関する地域参加プロジェクト(コロナ禍における防災訓練パート３)
14,中野区,東部地区町会連合協議会,避難所開設訓練・防災訓練
15,中野区,鍋横地区町会連合会,大きなこいのぼりと子ども防災ラリー
16,杉並区,下井草地区町会連合会,まちを花で彩り、魅力ある地域コミュニティの推進
17,杉並区,今川町親和会,「灯りde絆」　地域内の世代間交流促進事業
18,豊島区,千早二丁目町会,防火防災訓練を通じた地域防災力の向上
19,北区,志茂四丁目町会,デジタルデバイス活用事業
20,北区,桐ケ丘地区自治会連合会,広報による町会・自治会活性化と加入促進及び多文化共生理解促進事業
21,北区,西が丘三丁目自治会,大学と連携した多文化・多世代の交流事業
22,板橋区,板橋区町会連合会富士見支部,わくわく盆踊り
23,板橋区,富士見町自治会,富士見スマホ教室
24,練馬区,南大泉１丁目町会,「じゃがいも掘りと練馬の都市農業の学習体験」を通じた地域のつながりを深める事業
25,練馬区,小竹町会,「小竹の森音楽祭」・「こたけあそび」を通じた小竹町ふるさとづくり
26,練馬区,谷原町会,給水訓練・清掃活動を通じた谷原地域の連携強化
27,八王子市,横山南地区町会自治会連合会,第1回八王子よこやま南マーチングフェスティバル
28,八王子市,元八王子町二丁目町会,盆踊りを通じた子供の育成と地域住民との交流を促進
29,立川市,東栄会自治会,高齢者向き運動とスマホ・コミュニケーション・ツールで見守り活動
30,府中市,西府町一丁目自治会,西府町一丁目防災訓練
31,府中市,府中市自治会連合会,タブレットを活用した講習会の実施
32,昭島市,昭島市自治会連合会第１９ブロック,高齢化が急速に進む地域を祭りで元気にし絆を深める事業
33,調布市,桜丘睦会,R4年度　サロン・ド・ムツミいきいきサロン「寄ってたかってなんでも専科」事業
34,町田市,もみじ台町内会,「もみじ台ファミリー祭り」による地域の一体感醸成事業
35,町田市,忠生四丁目町内会,2022年度忠生四丁目盆踊り大会
