No.,区市町村名,申請団体名,事業名
1,新宿区,北新宿二丁目町会,ＳＮＳを活用した防災活動参加促進（防災教室の開催）
2,新宿区,歌舞伎町二丁目町会,歌舞伎町二丁目町会による災害時情報伝達強化訓練
3,文京区,関口町会,地域活性・青少年育成を目的としたイベント「もちつき大会」
4,文京区,地縁法人　茗荷谷町会,茗荷谷町会　・　「餅つき大会」　を通した相互扶助機能の活性化
5,文京区,曙町会,曙町会「もちつき」大会
6,文京区,本郷五丁目町会,本郷五丁目町会　餅つき大会
7,台東区,浅草橋地区町会連合会,イベントを通した地域活性化事業
8,台東区,入谷中央町会,子供達と一緒に行う年末夜警活動
9,台東区,東上野６丁目北町会,町会主催の餅つき大会事業
10,墨田区,東向島二丁目町会,地域交流イベント
11,墨田区,菊川三丁目町会,もちつき大会を通じた地域力の向上事業
12,墨田区,業平五丁目南町会,業平五丁目南町会　防災講習会と防災訓練
13,江東区,塩浜一丁目町会,冬の交流イベントを通じた地域交流活性化促進事業
14,品川区,小山六丁目町会,地域住民の交流促進と防災意識向上を図る事業
15,品川区,大井庚塚町会,庚塚小学生路地マラソン大会
16,目黒区,大原町会,初期消火器具を使用した地域防災力の向上事業
17,目黒区,西柿の木坂町会,初期消火器具使用の消火訓練を通じた地域防災力強化事業
18,大田区,蒲田西地区自治会連合会,地域伝統文化の継承と青少年健全育成
19,大田区,宮本町会,六郷どんど焼き
20,大田区,西蒲田二・三丁目自治会,ふれあいはすぬま防災活動拠点マニュアルを活用した避難所開設訓練
21,大田区,大田区矢口地区自治会連合会,矢口地区災害時通信訓練
22,大田区,田園調布東久自治会,楽しい防災とキッズリンピック
23,大田区,嶺町地区自治会連合会,「ぐるっと５町会！みねまちスタンプラリー」　を通して地域交流する市民事業活動
24,大田区,大田区六郷地区自治会連合会,六郷地区町会 ・ 自治会ガイドマップ　 ～　魅力のあるまち　再発見　～
25,大田区,下丸子三丁目町会,「下丸子三丁目町会　ふれあい餅つき大会」
26,大田区,西糀谷１丁目町会,西糀谷１丁目町会　もちつき大会　
27,世田谷区,祖師谷第五自治会,防災訓練
28,世田谷区,駒繋西自治会,地域の防災力を高める自主防災教室
29,世田谷区,八幡山町会,八幡山地域交流もちつき大会
30,世田谷区,桜上水２丁目町会,桜上水2丁目町会　安否確認訓練と搬送訓練
31,世田谷区,用賀町会,防災キャンペーンを通じた地域防災力の向上と町会加入者促進事業
32,世田谷区,船橋葭根会,防災訓練を通じた地域防災力の向上
33,杉並区,馬橋南自治会,災害時の安否確認訓練
34,杉並区,阿佐谷地区町会連合会,阿佐谷地域総合防火防災訓練
35,豊島区,豊島区池袋御嶽町会,初期消火器具を使用した初期消火訓練及び避難訓練を通じた地域の防災力向上事業
36,豊島区,南長崎五丁目町会,南長崎五丁目町会防犯パトロールと防犯講習会
37,豊島区,池袋通西睦町会,餅つき大会を通じた地域住民交流事業
38,豊島区,要町三丁目町会,第９回　ふるさと千川どんど焼き
39,北区,東十条四丁目町会,もちつき大会を通じた地域力向上事業
