番号,区市町村名,申請団体名,事業名
1,港区,港区麻布町会・自治会連合会,コロナ状況下での感染症対策を踏まえた防災ワークショップ
2,港区,麻布十番網代会,麻布十番防災会「防災訓練」
3,港区,北四国町会,北四国町会「芝のはらっぱ」造成活動を通じた多世代交流、住民間交流促進事業
4,新宿区,北新宿三丁目町会,北三町会子どもまつり
5,台東区,蔵前三・四丁目町会,町会の自主防災訓練と夜警
6,台東区,千草町会,夜間町内警備による防犯力の向上
7,台東区,蔵前三桂町会,地域の防犯活動と災害に備え発電機を使用した防災訓練
8,品川区,品川区旗の台三丁目町会,「楽しく学ぼう！防災力」
9,品川区,八潮４号棟自治会,八潮地域美化活動中における防災訓練
10,目黒区,五本木中町会,携帯型デジタル無線機を活用した防災訓練による地域防災力の向上事業
11,目黒区,目黒本町北町会,令和２年度　コロナ禍で、地域の安全・安心を実現するための事業
12,目黒区,下目黒５丁目自治会,魅力ある活動紹介を主題とした自治会パンフレットの作成及び配布を通じた加入促進
13,大田区,山王三・四丁目自治会,ポールｄｅウォーク
14,大田区,新井宿自治会連合会,地域の魅力発見事業
15,大田区,大田区自治会連合会,「大田区自治会連合会だより」にて大田区自治会連合会の取り組みを広報する事業
16,大田区,大田区田園調布地区自治会連合会,田園調布グリーンフェスタを通じた異世代交流の推進
17,大田区,田園調布東久自治会,防災とウィズコロナ
18,大田区,大田区嶺町地区自治会連合会,「ぐるっと５町会！みねまちクイズラリー」を通して地域交流する市民活動事業活動
19,大田区,新井宿七丁目町会,新井宿七丁目町会　餅つき大会
20,世田谷区,八幡山町会,八幡山地域交流もちつき大会
21,世田谷区,桜上水２丁目町会,木密地域の被災時のスタンドパイプによる初期消火のための消火訓練
22,世田谷区,千歳台南会,大規模災害時の避難・救助訓練
23,世田谷区,千歳台廻沢町会,防災訓練及び防災講習会
24,世田谷区,北沢中央自治会,在宅避難の手引きによる地域防災力の向上
25,渋谷区,ときわ松町会,『地域防災訓練と炊き出し』
26,渋谷区,新橋町会,新橋町会　防災学習会
27,中野区,野方南自治会,子育て支援と多世代との交流
28,豊島区,池袋通西睦町会,池袋通西睦町会　歳末特別警戒町内パトロール
29,豊島区,池袋本町四丁目町会,炊き出し訓練ならびに仮設トイレ設置訓練を主体とした地域交流イベント
30,北区,豊島連合町会,歳末防火防犯パトロール
31,北区,豊島７丁目南町会,歳末防犯パトロール
32,板橋区,板橋区桜川町会,防犯パトロール及び歳末巡回夜警で地域の防犯意識の向上と防犯体制の強化を図る事業
33,板橋区,板橋区町会連合会志村坂上支部,新春凧あげ大会
34,板橋区,蓮沼西町会,七草粥を通じた地域活性化事業
35,練馬区,練馬区町会連合会,コロナ禍における町会・自治会活動の活性化および加入促進
36,足立区,足立区鹿浜地区町会・自治会連絡協議会,地域情報誌による町会・自治会加入促進事業
37,足立区,イニシア千住曙町自治会,イニシア千住曙町ニューイヤーイベント
38,葛飾区,青戸共和会,地域防災訓練
39,八王子市,長沼町会,長沼町会　歳末防犯・防災パトロール
40,立川市,富士見町二丁目自治会,第１回富士見町二丁目自治会防災及び見守り活動
41,立川市,第二団地自治会,自主防災力強化事業
42,青梅市,河辺町二丁目自治会,多摩川清掃を通しての地域交流と防災意識向上事業
43,府中市,分梅町自治会連合会,大容量蓄電池を含めた防災訓練を通じて地域防災の向上
44,府中市,幸町・晴見町地区連合自治会,コロナ下での地域住民の共助による避難所開設訓練
45,府中市,曙自治会,震災時の防災訓練
46,昭島市,中神駅前親交自治会,年末年始の自治会行事を合同実施による地域交流事業
47,昭島市,昭島市自治会連合会　第５ブロック,なかがみ餅つき大会
48,町田市,鞍掛台自治会,地域行事と防災訓練を通じた交流促進並びに防災力の向上
49,町田市,図師町内会,町内会の防災力向上を目指した防災用具操作訓練事業
50,小金井市,自治会つつじ会,防災情報マップ・安否確認カードの作成・配布・掲示をベースにした地域防災意識の向上促進
51,日野市,実践南自治会,地域の美化と住民のふれ合い・交流促進を目的とした地域一斉清掃事業
52,日野市,鹿島台自治会,ＩoＴ機器を利用した高齢者見守り事業
53,日野市,滝合自治会,失われたどんど焼き復活を目指した防災訓練を通した地域のネットワークづくり
54,国分寺市,新町三丁目自治会,国分寺市新町三丁目自治会の防災力の向上事業
55,東久留米市,東久留米市新川町自治会,災害時の初期活動訓練及び地域住民とのコミュニケーション向上
56,武蔵村山市,学園自治会,地域の防犯・防火、学童、高齢者の見守り活動事業（地域の課題解決）
57,稲城市,若葉台ワーズワースの丘自治会,2020年度　若葉台ワーズワースの丘「餅つき・焼き芋大会」を通じた地域交流事業
58,羽村市,羽村市町内会連合会,町内会・自治会活動写真展＆ちびっこクイズ大会
59,あきる野市,あきる野市油平自治会,地域文化の継承と心身の活性化を図る
60,あきる野市,あきる野市　町内会・自治会連合会　東秋留地区,「わが家の防災ジャバラ」（携帯用）の作成配布
