番号,区市町村,申請団体名,事業名
1,中央区,日本橋七の部連合町会,坂本町公園しばふフェス2023
2,港区,赤坂青山町会連合会,デジタルを活用した情報共有・情報発信講座
3,新宿区,高田馬場町会,高田馬場町会こどもまつり（お祭りを通じた地域交流）
4,新宿区,新小川町自治会,盆踊りおよび灯ろう展示を通した地域交流活動
5,新宿区,柏木地区町会連合会,多世代・多文化交流夏祭り
6,新宿区,百人町東町会,「百人町東町会　百人組鉄砲隊演武と町会神輿の巡回・披露」
7,新宿区,落合第一地区町会連合会,第２２回落一町連大運動会
8,新宿区,知久会,清水川橋公園での盆踊りを通じた交流事業
9,新宿区,新宿区下落合東町会,盆踊り大会
10,新宿区,西富久町会,西富久　ふれあい夏祭り
11,新宿区,上落合東部町会,防災訓練を通じた地域防災力の向上
12,文京区,根津弥生七ヶ町連合会,盆踊り大会を通じた地域交流・多文化共生事業
13,文京区,駒込地区町会連合会,駒込地区町連　居場所「こまじいのうち」での地域交流事業
14,台東区,金杉仲通町会,かなすぎ納涼祭（盆踊り）
15,台東区,上野桜木町会,根岸こどもまつり
16,台東区,浅草三丁目象一町会,地域祭りを通じた盆踊りの開催
17,台東区,浅草千和町会,町会の子供祭りを通じたコミュニケーション強化事業
18,台東区,千束一丁目南町会,地域祭りを通じた盆踊りの開催
19,台東区,台東区町会連合会,町会広報活動支援事業（広報担当者ワークショップ開催、町会広報ガイドブック作成）
20,台東区,清川町会,地域祭りを通じた盆踊りの開催
21,台東区,坂本町会,納涼大会(盆踊り)を通じた在住・来日外国人との共生を促進する活動
22,台東区,石浜２丁目町会,石浜２丁目町会納涼大会
23,台東区,西浅草２丁目東町会,地域子供まつりを通じたコミュニケーション強化事業
24,台東区,浅草三丁目東町会,地域祭りを通じた盆踊りの開催
25,台東区,浅草西町会,地域子供祭りを通じたコミュニケーション強化事業
26,台東区,小島二丁目東町会,小島公園盆踊り大会を通した地域活性化事業
27,台東区,千草町会,地域子供祭りを通じたコミュニケーション強化事業
28,台東区,西浅草一丁目町会,地域祭りを通じた盆踊りの開催
29,台東区,東浅草2丁目中町会,地域親睦夏祭り（盆踊り・子供会）
30,台東区,浅草町一町会,地域子供祭りを通じたコミュニケーション強化事業
31,墨田区,石原三丁目町会,「異文化体験」「防災訓練」「イベント」を通じての地域交流及び子供たちの育成活動
32,墨田区,立花南町会,いきいきライフ立花
33,墨田区,本所二丁目町会,住民の顔が見える「ふれあい祭り」で地域交流事業
34,墨田区,立川一丁目町会,鯉のぼり・工作物の作成と展示　世代間交流と多文化共生社会づくり
35,墨田区,横川２丁目町会,横二交流会
36,墨田区,東駒形一丁目町会,おまつりを通じた町会加入促進及び地域交流事業
37,江東区,八名川地区連合町会,八名川地区盆踊り大会
38,品川区,戸越三丁目町会,「おもてなし戸越の会」英会話教室
39,目黒区,祐天寺町会,「上目黒つながりフェスティバル(夕涼みの会)、(たき火の会)」
40,大田区,蒲田東地区自治会連合会,まもりんピック蒲田東～防災運動会～
41,大田区,山王三・四丁目自治会,防災こどもまつり
42,大田区,新井宿六丁目町会,夏休みウォーターランド大作戦
43,大田区,大田区自治会連合会,広域マップによる災害時行動支援研修事業
44,大田区,大田区池上地区自治会連合会,第18回池上まつり
45,大田区,田園調布本町会,田園調布本町会　子どもまつり
46,大田区,鵜の木東町会,盆踊り大会
47,大田区,中央四丁目町会,西瓜割り大会
48,世田谷区,東深沢町会,町会夏祭りのホームページでの情報発信による地域活性化
49,世田谷区,松原三・四丁目自治会,ラジオ体操を通じた地域交流事業(多文化共生への理解を深めるチラシを配布)
50,世田谷区,若林町会,若林夏祭り盆踊り大会
51,世田谷区,世田谷区下代田東町会,下代田東　子供祭り・納涼祭り
52,世田谷区,赤堤二丁目町会,赤堤二丁目町会　防災訓練、防犯パトロールなどで多文化共生の地域コミュニティの向上
53,世田谷区,桜町会,親子で楽しむ《BOSAI》
54,世田谷区,赤堤５丁目町会,シニアさわやか体操教室
55,世田谷区,世田谷区池尻地区町会連絡会,池尻・三宿地区防災マップの作成・配布
56,渋谷区,本町東町会,つばめの里・本町東避難所運営委員会に関する地域参加プロジェクト（コロナ禍における防災訓練パート４）
57,渋谷区,ときわ松町会,『夏休みラジオ体操会で高齢者と子供達の為の地域防災』
58,中野区,中野区町会連合会,町会・自治会地域活性化推進事業（町会・自治会の魅力PRイベント）
59,中野区,松が丘片山町会,盆踊り大会
60,中野区,中野区弥生町一丁目東町会,弥生町一丁目納涼盆踊り
61,豊島区,上池袋町会,「上池袋さくら公園納涼盆踊り大会」を通じた地域活性化
62,北区,西ヶ原上町自治会,西ヶ原上町自治会　お祭り
63,北区,中里協和会,震災訓練を通じた地域の防災力の向上
64,北区,上中里貝塚町会,"首都圏直下型地震を想定した町会内防災訓練"
65,北区,滝野川上町親和会,令和5年9月　おまつりを通じた地域交流事業
66,荒川区,公益法人　東日暮里1・2丁目町会,第50回　五町会合同夏期行事
67,板橋区,高島平三丁目自治会,住民との交流・協働行動を通じた地域力の向上
68,板橋区,坂下一丁目南町会,「盆踊り」を通じた地域交流促進事業
69,板橋区,志村城山町会,「盆踊り」を通じた地域交流促進事業
70,板橋区,志村親和町会,「盆踊り」を通じた地域交流促進事業
71,板橋区,小豆沢北町会,「夏まつり」を通じた地域交流促進事業
72,板橋区,大原東町会,「親子ふれあいまつり」を通じた地域交流事業
73,板橋区,板橋区町会連合会富士見支部,わくわく盆踊り
74,板橋区,蓮沼東町会,蓮沼東町会　盆踊り大会
75,板橋区,前野町四丁目町会,親子納涼大会を通じた地域の世代間交流事業
76,板橋区,清水北町会,清水北町会　盆踊り大会
77,板橋区,桜川二丁目町会,盆踊りを通して世代間交流及び多文化交流事業
78,板橋区,清水朝日町会,清水朝日町会　提灯行列
79,板橋区,小豆沢一丁目町会,「子どもまつり」を通じた地域交流促進事業
