番号,区市町村名,申請団体名,事業名
1,千代田区,四番町町会,タブレットの使い方講習会
2,中央区,晴海テラス自治会,スマートフォン・タブレット等を使用した災害アプリの使い方講習会
3,港区,シーリアお台場５番街６号棟自治会,都営台場１丁目アパート６号棟防災訓練
4,港区,麻布本村町会,ブラックアウト対策を想定した防災訓練
5,港区,東京都港区赤坂東一・二丁目町会,オンライン会議のやり方講習会
6,文京区,本郷弓一町会,防災講習を通じた地域防災力の向上事業
7,文京区,武島町会,安心安全な地域社会作りを目指す武島町会の活動
8,台東区,谷中初四町会,消火訓練・簡易トイレ設営訓練を通じた地域防災力の向上事業
9,台東区,東上野六丁目南町会,東上野六丁目南町会　デジタル活用講習会
10,台東区,入谷北栄町会,伝統の餅つきを通じたコミュニケーション強化事業
11,台東区,大鳥町会,防災力向上を目指した防災訓練の実施
12,台東区,浅草町一町会,地域子供祭りを通じたコミュニケーション強化事業
13,墨田区,菊川一丁目町会,令和３年度菊川一丁目町会餅つき大会を通じた世代間交流・多文化共生社会づくり事業
14,目黒区,柿の木坂町会,目黒キャンパスにおける防災訓練・避難所運営訓練
15,大田区,希望ヶ丘自治会,希望ヶ丘自治会への加入者促進プロジェクト
16,大田区,大田区自治会連合会,大田区自治会連合会ホームページ作成及びホームページ作成支援
17,大田区,大田区矢口地区自治会連合会,令和３年度　矢口地区クイズラリー
18,大田区,大田区田園調布地区自治会連合会,田園調布グリーンフェスタを通じた異世代交流の推進
19,大田区,田園調布東久自治会,デジタルの会
20,大田区,田園調布南町会,デジタル機器を活用した防災講習会
21,大田区,嶺町北町会,かぼちゃ創作コンテストを通して町会加入促進と地域交流・多文化共生社会づくりに繋げる事業
22,大田区,田園調布二丁目自治会,地域の魅力発信ビデオ制作及び完成記念コンサート開催
23,世田谷区,梅丘１丁目町会,梅丘１丁目町会高齢者見守り活動に関する講習会
24,中野区,野方地区町会連合会,防犯講習会を通じた地域力向上事業
25,中野区,弥生六南台町会,地域防災力の向上と連携の強化
26,中野区,中野区東中野地区町会連合会,おかのうえフェスタの配信とタブレットを使ってコミュニケーション　デジタル講習会
27,杉並区,下井草東部自治会,自治会加入促進ともちつきフェスタ２０２１
28,杉並区,和泉第二町会,和泉防災コミュニティー　～顔の見える街づくり～　樹木と花の散策マップ
29,杉並区,大宮二丁目自治会,合同防災訓練とデジタル活用
30,豊島区,上池袋昭和町会,上池袋昭和町会　もちつき大会
31,豊島区,東池袋南大塚仲町会,町会加入促進に向けたHP活用講習会の開催
32,北区,志茂四丁目町会,デジタルデバイスの活用講習会
33,北区,桐ケ丘地区自治会連合会,広報強化による町会・自治会加入促進及び活性化事業
34,練馬区,光が丘パークタウン公園南住宅自治会,タブレットの使い方教室
35,練馬区,西大泉連合町会,プレーパーク　～地域全体が一緒になって子どもを見守る場づくり～
36,練馬区,谷原町会,地域の見守り活動　～特殊詐欺から谷原を守ろう～
37,足立区,足立区鹿浜地区町会・自治会連絡協議会,地域情報誌による町会・自治会加入促進事業
38,葛飾区,葛飾区自治町会連合会,デジタルを活用した地域コミュニティの活性化事業
39,葛飾区,四つ木一丁目中町会,合同避難訓練
40,葛飾区,奥戸一丁目町会,防災マップを活用した安否確認訓練・防災訓練
41,葛飾区,お花茶屋中央町会,HPの作成、SNSの利用の説明、講習会をとおし若手の参加、加入促進
42,江戸川区,清新町一丁目アパート自治会,「町内美化活動」および「花植えと管理」を通して住民同士の交流を図る事業
43,八王子市,川口町中部町会,避難所運営と防災訓練
44,八王子市,高尾台自治会,住民同士顔の見える防災街作り推進事業
45,八王子市,大和田町会,大和田町会「防災訓練」
46,八王子市,諏訪下町会,「餅つき大会」を通じて町内会の交流と町会未加入世帯の加入促進
47,八王子市,緑ヶ丘町会,防災およびＡＥＤ使用訓練
48,八王子市,絹ヶ丘一丁目自治会,防災講演会・安否確認訓練手順説明会及び安否確認訓練
49,八王子市,さつき野自治会,さつき野防災訓練
50,八王子市,松枝住宅自治会,松枝住宅大掃除
51,立川市,富士見町住宅自治会,安否確認訓練と防災マニュアル作成事業
52,立川市,曙町一丁目西町会,ヨガ教室と収穫祭
53,立川市,富一東協和会,デジタル活用講習会
54,三鷹市,大沢四丁目住宅自治会,フレイル予防体操を通じて身体機能の向上
55,青梅市,東青梅五丁目自治会,東五防災フェスタ
56,府中市,栄町３丁目富士見会,デジタルデバイド対策としての活動
57,府中市,緑町睦月会,夜間を想定した防災訓練
58,府中市,小柳町南町会,災害発生時の会館を利用した訓練
59,昭島市,中神駅前親交自治会,コロナ禍の安否確認、避難訓練による地域コミュニティーの充実（自治会加入促進活動）
60,町田市,図師町内会,図師町内会防災体制充実発展事業
61,町田市,下山崎町内会,防災訓練を通じた地域防災力の向上事業
62,町田市,相原元橋町会,町内自主防災訓練の一環として行うスタンドパイプによる初期消火訓練
63,町田市,高ヶ坂あかね自治会,スマホやタブレットの安全な使い方講習会
64,町田市,忠生四丁目町内会,２０２１年度年末年始行事を通した地域交流事業
65,町田市,東玉川学園睦会,さくら祭り
66,町田市,リーフィア町田小山ヶ丘自治会,自治会のDX（デジタルトランスフォーメーション）のための講習会
67,小金井市,東町二丁目町会,東町二丁目町会防災訓練
68,小平市,上水南町自治会連合会,テント泊防災訓練
69,日野市,平山住宅自治会,平山住宅デジタル活用を体験する事業
70,福生市,福生市町会長協議会,町会・自治会加入促進事業
71,東久留米市,東久留米市新川町自治会,高齢者や子育て世帯の見守りや地域と繋がる居場所作り事業
72,武蔵村山市,後ヶ谷戸自治会,地域住民の世代間交流・健康増進及び多文化共生の理解促進を図る事業
73,瑞穂町,富士見町町内会,外国の方も住んで安心、多言語対応の富士見町防災訓練
74,瑞穂町,仲町町内会,仲町町内会　デジタルデバイド対策(パソコン・スマホ・タブレット使い方教室)
