年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female
0,総数,Total,109194,58203,50991
2,0～9,0-9,352,194,158
3,0,0,236,129,107
3,1,1,28,14,14
3,2,2,13,9,4
3,3,3,17,11,6
3,4,4,9,6,3
3,5,5,23,12,11
3,6,6,6,4,2
3,7,7,8,4,4
3,8,8,6,3,3
3,9,9,6,2,4
2,10～19,10--19,133,82,51
3,10,10,3,2,1
3,11,11,5,1,4
3,12,12,11,8,3
3,13,13,11,5,6
3,14,14,11,7,4
3,15,15,7,6,1
3,16,16,16,9,7
3,17,17,14,11,3
3,18,18,29,17,12
3,19,19,26,16,10
2,20～29,20-29,574,376,198
3,20,20,32,22,10
3,21,21,38,26,12
3,22,22,47,28,19
3,23,23,56,41,15
3,24,24,52,37,15
3,25,25,55,33,22
3,26,26,81,47,34
3,27,27,72,43,29
3,28,28,66,44,22
3,29,29,75,55,20
2,30～39,30-39,1123,720,403
3,30,30,92,75,17
3,31,31,72,43,29
3,32,32,88,51,37
3,33,33,85,54,31
3,34,34,108,75,33
3,35,35,93,62,31
3,36,36,131,84,47
3,37,37,133,84,49
3,38,38,165,99,66
3,39,39,156,93,63
2,40～49,40-49,2756,1776,980
3,40,40,204,142,62
3,41,41,247,160,87
3,42,42,220,135,85
3,43,43,261,150,111
3,44,44,273,166,107
3,45,45,265,173,92
3,46,46,230,152,78
3,47,47,345,227,118
3,48,48,356,237,119
3,49,49,355,234,121
2,50～59,50-59,5033,3362,1671
3,50,50,362,234,128
3,51,51,397,252,145
3,52,52,423,274,149
3,53,53,447,295,152
3,54,54,481,309,172
3,55,55,443,304,139
3,56,56,502,324,178
3,57,57,576,405,171
3,58,58,647,451,196
3,59,59,755,514,241
2,60～69,60-69,13852,9739,4113
3,60,60,829,561,268
3,61,61,1050,740,310
3,62,62,1262,911,351
3,63,63,1388,963,425
3,64,64,1627,1159,468
3,65,65,1538,1058,480
3,66,66,1145,808,337
3,67,67,1387,983,404
3,68,68,1825,1322,503
3,69,69,1801,1234,567
2,70～79,70-79,25501,16410,9091
3,70,70,2012,1398,614
3,71,71,2065,1360,705
3,72,72,1936,1288,648
3,73,73,2037,1337,700
3,74,74,2397,1551,846
3,75,75,2554,1661,893
3,76,76,2992,1880,1112
3,77,77,3037,1896,1141
3,78,78,3097,1967,1130
3,79,79,3374,2072,1302
2,80～89,80-89,37317,18893,18424
3,80,80,3510,2089,1421
3,81,81,3654,2059,1595
3,82,82,3603,2065,1538
3,83,83,3738,2036,1702
3,84,84,3864,2059,1805
3,85,85,3936,2014,1922
3,86,86,3993,1930,2063
3,87,87,3977,1799,2178
3,88,88,3643,1523,2120
3,89,89,3399,1319,2080
2,90～99,90-99,20740,6342,14398
3,90,90,3394,1235,2159
3,91,91,3139,1083,2056
3,92,92,2899,943,1956
3,93,93,2380,747,1633
3,94,94,2103,593,1510
3,95,95,1935,541,1394
3,96,96,1572,422,1150
3,97,97,1356,321,1035
3,98,98,1171,285,886
3,99,99,791,172,619
2,100～109,100-109,1808,309,1499
3,100,100,584,110,474
3,101,101,447,98,349
3,102,102,305,47,258
3,103,103,191,24,167
3,104,104,120,17,103
3,105,105,84,6,78
3,106,106,37,4,33
3,107,107,24,1,23
3,108,108,10,1,9
3,109,109,6,1,5
2,110～113,110-113,5,-,5
3,110,110,2,-,2
3,111,111,2,-,2
3,112,112,1,-,1
3,113,113,-,-,-
3,114～,114- and over,-,-,-
3,不詳,Unknown age,-,-,-
1,（再掲) 0～14,(relisted) 0-14,393,217,176
1,（再掲) 15～64,(relisted) 15-64,15734,10627,5107
1,（再掲) 65～ 1),(relisted) 65 and over 1),93067,47359,45708
,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（平成24年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2012 ),,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,
