年度,Fiscal year,地域階層,地域コード,地域,District,住民税負担額 (百万円) Inhabitant tax (millions yen)／計 Total,住民税負担額 (百万円) Inhabitant tax (millions yen)／道府県民税分 Prefectural,住民税負担額 (百万円) Inhabitant tax (millions yen)／市町村民税分 Municipal,1人当たり負担額 (円) Tax levied per capita (yen)／計 Total,1人当たり負担額 (円) Tax levied per capita (yen)／道府県民税分 Prefectural,1人当たり負担額 (円) Tax levied per capita (yen)／市町村民税分 Municipal,1世帯当たり負担額 (円) Tax levied per household (yen)／計 Total,1世帯当たり負担額 (円) Tax levied per household (yen)／道府県民税分 Prefectural,1世帯当たり負担額 (円) Tax levied per household (yen)／市町村民税分 Municipal
平成19,2007,0,13000,東京都,Tokyo-to,1920918,739500,1181418,150187,57818,92369,315548,121477,194071
平成20,2008,0,13000,東京都,Tokyo-to,2019899,801401,1218498,156594,62129,94465,327022,129747,197275
平成21,2009,0,13000,東京都,Tokyo-to,2002283,795794,1206489,154155,61268,92887,320540,127396,193143
平成22,2010,0,13000,東京都,Tokyo-to,1860923,739420,1121503,141414,56190,85225,291053,115647,175406
平成23,2011,0,13000,東京都,Tokyo-to,1839868,731045,1108823,139526,55439,84087,285806,113561,172245
平成23,2011,1,13100,区部,All ku,1362839,541523,821317,151989,60363,91597,298043,118427,179616
平成23,2011,2,13101,千代田区,Chiyoda-ku,18530,7249,11281,388045,151808,236236,709210,277452,431757
平成23,2011,2,13102,中央区,Chuo-ku,29112,11588,17524,230898,91911,138986,416142,165650,250492
平成23,2011,2,13103,港区,Minato-ku,86612,34516,52096,419455,167159,252296,773483,308245,465238
平成23,2011,2,13104,新宿区,Shinjuku-ku,56476,22438,34038,173807,69055,104753,286965,114012,172952
平成23,2011,2,13105,文京区,Bunkyo-ku,43785,17442,26343,209865,83600,126265,387575,154391,233184
平成23,2011,2,13106,台東区,Taito-ku,24554,9752,14802,138277,54917,83360,252903,100441,152462
平成23,2011,2,13107,墨田区,Sumida-ku,29612,11760,17853,119478,47447,72031,243119,96547,146572
平成23,2011,2,13108,江東区,Koto-ku,62741,24969,37771,134774,53637,81137,287898,114577,173321
平成23,2011,2,13109,品川区,Shinagawa-ku,60772,24176,36596,165395,65797,99598,306837,122065,184772
平成23,2011,2,13110,目黒区,Meguro-ku,58808,23409,35399,218668,87041,131627,424217,168860,255357
平成23,2011,2,13111,大田区,Ota-ku,100178,39821,60357,144220,57328,86892,288185,114554,173631
平成23,2011,2,13112,世田谷区,Setagaya-ku,166501,65992,100509,188999,74909,114090,368922,146221,222701
平成23,2011,2,13113,渋谷区,Shibuya-ku,59338,23634,35704,287701,114591,173110,473465,188581,284884
平成23,2011,2,13114,中野区,Nakano-ku,44973,17868,27105,143534,57027,86507,243081,96578,146502
平成23,2011,2,13115,杉並区,Suginami-ku,91512,36403,55109,166626,66283,100343,302223,120223,182000
平成23,2011,2,13116,豊島区,Toshima-ku,39546,15720,23826,138112,54901,83211,236117,93859,142258
平成23,2011,2,13117,北区,Kita-ku,37709,14956,22753,112978,44809,68169,217980,86455,131525
平成23,2011,2,13118,荒川区,Arakawa-ku,21795,8670,13126,106838,42497,64341,225247,89597,135650
平成23,2011,2,13119,板橋区,Itabashi-ku,61749,24539,37210,115377,45850,69527,225571,89640,135931
平成23,2011,2,13120,練馬区,Nerima-ku,92408,36733,55675,128956,51261,77696,273363,108663,164700
平成23,2011,2,13121,足立区,Adachi-ku,60889,24159,36730,88937,35288,53650,192176,76250,115926
平成23,2011,2,13122,葛飾区,Katsushika-ku,44424,17624,26800,100382,39823,60559,223905,88826,135079
平成23,2011,2,13123,江戸川区,Edogawa-ku,70817,28106,42711,104441,41451,62990,232230,92169,140061
平成23,2011,1,13200,市部,All shi,469918,186718,283200,113680,45170,68511,256780,102029,154751
平成23,2011,2,13201,八王子市,Hachioji-shi,56958,22613,34345,97903,38868,59035,225593,89561,136031
平成23,2011,2,13202,立川市,Tachikawa-shi,19556,7762,11794,108689,43139,65549,239884,95212,144673
平成23,2011,2,13203,武蔵野市,Musashino-shi,25302,10073,15228,182396,72617,109778,355170,141404,213766
平成23,2011,2,13204,三鷹市,Mitaka-shi,26302,10451,15851,141317,56153,85164,291376,115780,175596
平成23,2011,2,13205,青梅市,Ome-shi,12605,4999,7606,90507,35894,54613,237533,94203,143331
平成23,2011,2,13206,府中市,Fuchu-shi,30326,12048,18279,118554,47098,71456,263098,104521,158577
平成23,2011,2,13207,昭島市,Akishima-shi,11048,4381,6667,98404,39017,59386,232369,92135,140234
平成23,2011,2,13208,調布市,Chofu-shi,29848,11892,17957,133051,53007,80043,275091,109596,165495
平成23,2011,2,13209,町田市,Machida-shi,48048,19089,28959,112396,44655,67741,264471,105074,159398
平成23,2011,2,13210,小金井市,Koganei-shi,16351,6501,9850,136659,54331,82328,280617,111564,169053
平成23,2011,2,13211,小平市,Kodaira-shi,20703,8232,12471,110692,44013,66679,251784,100114,151670
平成23,2011,2,13212,日野市,Hino-shi,19794,7862,11932,109434,43465,65970,244352,97051,147301
平成23,2011,2,13213,東村山市,Higashimurayama-shi,15039,6020,9019,97837,39165,58671,233716,93559,140156
平成23,2011,2,13214,国分寺市,Kokubunji-shi,16894,6693,10201,140836,55796,85040,293854,116419,177435
平成23,2011,2,13215,国立市,Kunitachi-shi,10763,4283,6481,142576,56728,85847,300554,119585,180969
平成23,2011,2,13218,福生市,Fussa-shi,5421,2150,3271,91352,36231,55121,200727,79609,121118
