会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
特別区財政調整,Financial adjustments for ku,0,歳入,Revenue,874349,905048,905047
特別区財政調整,Financial adjustments for ku,1,繰入金,Funds transferred,874349,905048,905047
特別区財政調整,Financial adjustments for ku,1,諸収入,Miscellaneous,0,0,-
特別区財政調整,Financial adjustments for ku,1,繰越金,Balance brought forward,0,0,-
特別区財政調整,Financial adjustments for ku,0,歳出,Expenditure,874349,905048,905047
特別区財政調整,Financial adjustments for ku,1,特別区交付金,Grants for ku,874349,905048,905047
地方消費税清算,Local consumption tax adjustment,0,歳入,Revenue,1144462,1144462,1099475
地方消費税清算,Local consumption tax adjustment,1,地方消費税,Local consumption tax,786922,786922,750621
地方消費税清算,Local consumption tax adjustment,1,諸収入,Miscellaneous,252029,252029,248940
地方消費税清算,Local consumption tax adjustment,1,繰越金,Balance brought forward,105511,105511,99913
地方消費税清算,Local consumption tax adjustment,0,歳出,Expenditure,1043947,1043947,992423
地方消費税清算,Local consumption tax adjustment,1,地方消費税清算費,Local consumption tax adjustment,1043947,1043947,992423
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳入,Revenue,268,268,704
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,事業収入,Operations,16,16,19
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,諸収入,Miscellaneous,0,0,2
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,繰越金,Balance brought forward,251,251,682
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,0,歳出,Expenditure,268,268,10
小笠原諸島生活再建資金,Ogasawara Islands livelihood rehabilitation funds,1,貸付費,Loans,268,268,10
母子福祉貸付資金,Funds for families without father,0,歳入,Revenue,4929,4929,5904
母子福祉貸付資金,Funds for families without father,1,事業収入,Operations,2426,2426,2697
母子福祉貸付資金,Funds for families without father,1,繰入金,Funds transferred,870,870,526
母子福祉貸付資金,Funds for families without father,1,諸収入,Miscellaneous,0,0,2
母子福祉貸付資金,Funds for families without father,1,都債,Metropolitan debt,1453,1453,772
母子福祉貸付資金,Funds for families without father,1,繰越金,Balance brought forward,180,180,1907
母子福祉貸付資金,Funds for families without father,0,歳出,Expenditure,4929,4929,4035
母子福祉貸付資金,Funds for families without father,1,貸付費,Loans,4929,4929,4035
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳入,Revenue,6812,6812,6313
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,事業収入,Enterprises,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,財産収入,Revenue from property,357,357,217
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰入金,Funds transferred,6455,6455,6094
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,諸収入,Miscellaneous,0,0,3
心身障害者扶養年金,Annuity for the mentally or physically impaired,1,繰越金,Balance brought forward,0,0,-
心身障害者扶養年金,Annuity for the mentally or physically impaired,0,歳出,Expenditure,6812,6812,6313
