年次,Year,区分,Classification,項番 Item number,品種,Item,総数 Total,元町港 (大島町) Motomachi Harbor (Oshima machi) ,岡田港 (大島町) Okada Harbor (Oshima machi),波浮港 (大島町) Habu Harbor   (Oshima machi),利島港 (利島村) Toshima Harbor (Toshima mura),新島港 (新島村) Niijima Harbor (Niijima mura),式根島港 (新島村) Shikinejima Harbor (Niijima mura),神津島港(神津島村) Kozushima Harbor (Kozushima mura),三池港 (三宅村) Miike Harbor (Miyake mura),御蔵島港(御蔵島村) Mikurajima Harbor (Mikurajima mura),神湊港 (八丈町) Kaminato Harbor (Hachijo machi),八重根港 (八丈町) Yaene Harbor (Hachijo machi),青ヶ島港(青ヶ島村) Aogashima Harbor (Aogashima mura) ,二見港(小笠原村)Futami Harbor(Ogasawara mura),沖港(小笠原村) Oki Harbor (Ogasawara mura) 
平成20,2008,移出 ,Leaving,,総数,Total,114695,13933,10493,3253,2186,12003,-,8434,1377,624,21110,9920,1574,20174,9614
平成21,2009,移出 ,Leaving,,総数,Total,162928,15403,5473,2491,2244,8512,-,8059,4511,3325,89600,709,1435,15816,5350
平成22,2010,移出 ,Leaving,,総数,Total,125545,18061,10805,5782,2402,14822,2804,3717,5802,3467,27919,1911,1416,17697,8940
平成23,2011,移出 ,Leaving,,総数,Total,135824,15675,11654,6129,2132,12828,11048,8037,5148,3179,28706,1001,1665,15842,12780
平成24,2012,移出 ,Leaving,,総数,Total,157205,16864,37560,11023,1958,16813,900,5387,5500,1414,30457,528,2616,17264,8921
平成24,2012,移出 ,Leaving,1,農水産品,Agricultural and aquatic products,18652,1531,4720,121,329,861,-,1502,462,53,7154,239,57,1216,407
平成24,2012,移出 ,Leaving,2,林産品,Forestry products,1050,-,-,85,5,112,-,-,-,10,182,6,5,554,91
平成24,2012,移出 ,Leaving,3,鉱産品,Mineral products,3204,20,-,212,-,2046,900,-,-,-,-,-,-,26,-
平成24,2012,移出 ,Leaving,4,金属機械工業品,Metal and machinery products,18594,3531,768,425,396,3208,-,1141,1304,625,1867,12,480,3782,1055
平成24,2012,移出 ,Leaving,5,化学工業品,Chemical industrial products,38480,221,27198,7200,64,2450,-,7,4,29,873,-,64,283,87
平成24,2012,移出 ,Leaving,6,軽工業品,Light industrial products,2799,512,1,607,-,707,-,71,-,206,449,17,10,188,31
平成24,2012,移出 ,Leaving,7,雑工業品,Miscellaneous industrial products,10491,2878,2537,-,-,3619,-,2,768,88,2,-,1,533,63
平成24,2012,移出 ,Leaving,8,特殊品,Special goods,49458,4251,1065,2365,1164,2987,-,2498,2242,403,12434,181,1999,10682,7187
平成24,2012,移出 ,Leaving,9,分類不能のもの,Unclassifiable goods,14477,3920,1271,8,-,823,-,166,720,-,7496,73,-,-,-
平成20,2008,移入,Entering,,総数,Total,832821,119375,72811,75223,34880,90198,-,42219,64735,25558,174720,45671,19242,50891,17298
平成21,2009,移入,Entering,,総数,Total,837432,148303,54976,58553,48865,110467,1531,39567,60727,59208,160874,15829,24568,43801,10163
平成22,2010,移入,Entering,,総数,Total,818387,115340,39470,100751,11509,117050,-,21753,89446,63778,182636,10829,1656,49683,14486
平成23,2011,移入,Entering,,総数,Total,935320,102009,35707,94807,31303,105386,-,22587,82911,79259,272244,12948,26607,55671,13881
平成24,2012,移入,Entering,,総数,Total,812402,95962,37955,68315,35319,86670,-,22498,83987,87839,187293,14243,24964,53781,13576
平成24,2012,移入,Entering,1,農水産品,Agricultural and aquatic products,23404,2885,3880,135,759,2014,-,905,867,161,8739,253,22,2412,372
平成24,2012,移入,Entering,2,林産品,Forestry products,4250,-,-,920,235,-,-,562,100,428,1095,32,20,784,74
平成24,2012,移入,Entering,3,鉱産品,Mineral products,469846,33872,22086,51584,27284,59355,-,96,50973,72566,105571,11860,18002,12874,3723
平成24,2012,移入,Entering,4,金属機械工業品,Metal and machinery products,71377,10346,1729,2818,1053,3844,-,4163,17055,2131,14606,423,1588,9028,2593
平成24,2012,移入,Entering,5,化学工業品,Chemical industrial products,144990,30110,1777,11379,2747,11970,-,11527,10069,7388,39676,618,4446,10316,2967
平成24,2012,移入,Entering,6,軽工業品,Light industrial products,19267,4387,2546,414,737,3861,-,492,1020,260,2632,76,192,2307,343
平成24,2012,移入,Entering,7,雑工業品,Miscellaneous industrial products,32532,9663,3672,986,326,2378,-,910,3065,1754,5995,173,3,3009,598
平成24,2012,移入,Entering,8,特殊品,Special goods,39266,1394,813,76,2178,1964,-,3563,646,2201,8979,808,687,13051,2906
平成24,2012,移入,Entering,9,分類不能のもの,Unclassifiable goods,7470,3305,1452,3,-,1284,-,280,192,950,-,-,4,-,-
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,,,
12-8  品種別出入貨物量 (島しょ港湾) (平成20～24年) 12-8  VOLUME OF ENTERING AND LEAVING CARGOES BY KIND OF GOODS ( HARBORS OF ISLANDS ) ( 2008-2012 ),,,,,,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課  「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,
（単位　トン）(In tons) ,,,,,,,,,,,,,,,,,,,,,
