学校,School,総数 Total,教員数 Teachers／本務者 Full-time／計 Total,教員数 Teachers／本務者 Full-time／男 Male,教員数 Teachers／本務者 Full-time／女 Female,教員数 Teachers／兼務者 Part-time／計 Total,教員数 Teachers／兼務者 Part-time／男 Male,教員数 Teachers／兼務者 Part-time／女 Female,職員 General Personnel／計 Total,職員 General Personnel／男 Male,職員 General Personnel／女 Female,,
総数,Total,…,62718,28870,33848,…,…,…,9213,…,…,,
小学校,Elementary schools,39506,30662,10998,19664,4177,1093,3084,4667,2061,2606,,
中学校,Junior high schools,20741,14891,8463,6428,4111,1684,2427,1739,844,895,,
高等学校,Senior high schools,13840,9418,6175,3243,2815,1535,1280,1607,892,715,,
中等教育学校,Secondary education schools,533,358,239,119,145,72,73,30,15,15,,
大学,Colleges and universities,1877,722,609,113,847,…,…,308,153,155,,
高等専門学校,Colleges of technology,…,133,122,11,…,…,…,35,…,…,,
特別支援学校,Special needs schools,6592,5476,2214,3262,441,151,290,675,284,391,,
幼稚園,Kindergartens,1162,848,19,829,265,71,194,49,15,34,,
高等学校（通信制）,Senior high schools (Correspondence course),92,46,28,18,42,25,17,4,3,1,,
専修学校,Specialized training schools,932,164,3,161,669,346,323,99,18,81,,
,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　22  選挙・職員 22  ELECTION AND GOVERNMENT EMPLOYEES,,,,,,,,,,,,,
22-5  職員数 (5) 教職員 (平成24年5月1日) 22-5  GOVERNMENT EMPLOYEES (5) EDUCATIONAL PERSONNEL ( May. 1， 2012 ),,,,,,,,,,,,,
資料：文部科学省 「学校基本調査報告書」 Source: Ministry of Education， Culture， Sports， Science and Technology,,,,,,,,,,,,,
