年度,Fiscal year,区分,Classification,都電 Toei Streetcar／使用車両数 Vehicles used(両 vehicles),都電 Toei Streetcar／走行キロ数 Distance traveled(1000km),都電 Toei Streetcar／乗車人員 Boarding passengers／総数 Total(千人 in thousands),都電 Toei Streetcar／乗車人員 Boarding passengers／定期 Commuter Pass(千人 in thousands),都電 Toei Streetcar／乗車人員 Boarding passengers／普通 Tickets(千人 in thousands),都電 Toei Streetcar／乗車料収入 Passenger fare／総数 Total(千円 in 1000yen),都電 Toei Streetcar／乗車料収入 Passenger fare／定期 Commuter Pass(千円 in 1000yen),都電 Toei Streetcar／乗車料収入 Passenger fare／普通 Tickets(千円  in 1000yen),都電 Toei Streetcar／使用電力量 Electric power used(1000kWh),都電 Toei Streetcar／1日1車平均 Average per vehicle per day／走行キロ数 Distance traveled(km),都電 Toei Streetcar／1日1車平均 Average per vehicle per day／乗車人員 Boarding passengers(人 passengers),都電 Toei Streetcar／1日1車平均  Average per vehicle per day／乗車料収入 Passenger fare revenue(円 yen)
平成20,2008,,,13251,1582,19035,8645,10390,2466020,953136,1512884,4742,119.4,1437,186101
平成20,2008,消費税差引後,Exclude consumption tax,,,,,,2378781,937939,1440842,,,,181034
平成21,2009,,,13151,1589,18610,8508,10102,2413276,938868,1474408,4685,121,1415,183505
平成21,2009,消費税差引後,Exclude consumption tax,,,,,,2328549,924351,1404198,,,,177211
平成22,2010,,,13304,1582,18074,8675,9399,2330118,956850,1373268,4607,119,1359,175144
平成22,2010,消費税差引後,Exclude consumption tax,,,,,,2249351,941476,1307875,,,,169073
平成23,2011,,,12602,1524,17981,8638,9343,2316716,953300,1363416,4104,121,1427,183837
平成23,2011,消費税差引後,Exclude consumption tax,,,,,,2236587,938096,1298491,,,,177479
平成24,2012,,,12480,1582,16445,7177,9268,2136872,784612,1352260,4295,126.8,1318,171224
平成24,2012,消費税差引後,Exclude consumption tax,,,,,,2056879,769012,1287867,,,,164814.0056
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,
4-9  都営交通の営業設備及び運輸成績 (2)　都電の運輸成績 (平成20～24年度) 4-9  OPERATIONS OF TOEI TRANSPORTATION (2)  OPERATIONS OF TOEI STREETCAR ( Fiscal Years 2008-2012),,,,,,,,,,,,,,,
資料：都交通局総務部企画調整課 Source: Bureau of Transportation， TMG,,,,,,,,,,,,,,,
