年次,Year,港または空港,Seaport or airport ,総数 Total,入国者 Entry／計 Total,入国者 Entry／日本人 Japanese,入国者 Entry／外国人 Foreigner,入国者 Entry／協定該当者 Under the status of forces agreement 1),出国者 Departure／計 Total,出国者 Departure／日本人 Japanese,出国者 Departure／外国人 Foreigner,出国者 Departure／協定該当者 Under the status of forces agreement 1)
平成22,2010,総数,Total,29992096,14972067,9902665,4947685,121717,15020029,9908472,4992725,118832
平成23,2011,総数,Total,28066978,13990360,10140563,3728570,121227,14076618,10196224,3763993,116401
平成24,2012,総数,Total,31816332,15883357,11109339,4660688,113330,15932975,11157729,4664876,110370
平成24,2012,東京,Tokyo,1767,1457,524,933,-,310,271,39,-
平成24,2012,羽田（空港）,Haneda(Airport),7904122,3929990,2825938,1097511,6541,3974132,2837845,1129411,6876
平成24,2012,成田（空港）,Narita(Airport),23910443,11951910,8282877,3562244,106789,11958533,8319613,3535426,103494
,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-25  港別出入国者数 （平成22～24年） 4-25 NUMBER OF PERSONS ENTERING OR DEPARTING JAPAN BY SEAPORT OR AIRPORT ( 2010-2012 ),,,,,,,,,,,,
注 １) 日米間の地位協定及び日本国における国際連合の軍隊の地位に関する協定による軍人，軍属及びその家族で，軍艦又は軍用機によらないで，本邦へ入国又は本邦から出国した者をいう。,,,,,,,,,,,,
Note： 1) Members of foreign military forces， civilian component， and their families falling under the US-Japan Status of Forces Agreements and UN Status of Forces Agreement， who entered or departed Japan by means other than military ships or aircraft.,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,
