年度末,End of fiscal year,地域階層,地域コード,地域,District,浄水場数 Purification plants,給水所数 Distribution stations,営業所数 Service stations,配水管 Water pipes／総延長 Total length (m),配水管 Water pipes／配水本管 Water mains (m),配水管 Water pipes／配水小管 Service pipes (m),消火栓数 Fire hydrants,制水弁数 Hydraulic control valves,空気弁数 Air relief valves,排水弁数 Drainage valves
平成20,2008,0,13000,総数,Tokyo-to,11,55,23,25823465,2316251,23507214,129690,357856,15328,10617
平成21,2009,0,13000,総数,Tokyo-to,11,56,34,25968717,2333307,23635410,130203,361839,15431,10669
平成22,2010,0,13000,総数,Tokyo-to,11,57,34,26218946,2350992,23867954,131110,366702,15677,10705
平成23,2011,0,13000,総数,Tokyo-to,11,58,33,26347935,2365186,23982749,131510,370716,15699,10723
平成24,2012,0,13000,総数,Tokyo-to,11,58,33,26490398,2384790,24105608,131949,375880,15760,10753
平成24,2012,1,13100,区部,All ku,5,23,21,16320469,1675853,14644616,89943,241447,9340,7515
平成24,2012,2,13101,千代田区,Chiyoda-ku,-,-,1,288133,46109,242024,1550,4011,312,210
平成24,2012,2,13102,中央区,Chuo-ku,-,1,-,313763,38532,275231,1833,5668,328,383
平成24,2012,2,13103,港区,Minato-ku,-,1,1,430221,66346,363875,2579,6276,386,334
平成24,2012,2,13104,新宿区,Shinjuku-ku,-,1,1,548929,65536,483393,3675,7771,330,270
平成24,2012,2,13105,文京区,Bunkyo-ku,-,1,1,314130,40686,273444,1926,4685,257,206
平成24,2012,2,13106,台東区,Taito-ku,-,-,-,410136,34032,376104,2403,7042,235,212
平成24,2012,2,13107,墨田区,Sumida-ku,-,-,1,499543,56245,443298,2839,7873,374,316
平成24,2012,2,13108,江東区,Koto-ku,-,4,1,740056,105586,634470,3755,9880,680,550
平成24,2012,2,13109,品川区,Shinagawa-ku,-,-,1,574753,58264,516489,2849,8209,326,347
平成24,2012,2,13110,目黒区,Meguro-ku,-,1,1,447171,38124,409047,2430,7257,185,216
平成24,2012,2,13111,大田区,Ota-ku,-,2,1,1162310,115423,1046887,6183,18113,676,676
平成24,2012,2,13112,世田谷区,Setagaya-ku,2,3,1,1614377,166225,1448152,9044,23033,820,701
平成24,2012,2,13113,渋谷区,Shibuya-ku,-,-,1,394448,37708,356740,2289,6482,208,144
平成24,2012,2,13114,中野区,Nakano-ku,-,-,1,544856,47536,497320,2779,8216,299,185
平成24,2012,2,13115,杉並区,Suginami-ku,1,1,1,1064833,109988,954845,5461,14269,573,360
平成24,2012,2,13116,豊島区,Toshima-ku,-,-,1,470369,45589,424780,2496,7464,243,242
平成24,2012,2,13117,北区,Kita-ku,-,-,1,549585,51829,497756,2982,8053,303,240
平成24,2012,2,13118,荒川区,Arakawa-ku,-,1,1,325728,29231,296497,2076,5716,199,102
平成24,2012,2,13119,板橋区,Itabashi-ku,1,2,1,842581,96379,746202,4944,12173,456,318
平成24,2012,2,13120,練馬区,Nerima-ku,-,1,1,1270855,105175,1165680,7232,17730,479,346
