種類,Type,項番 Item number,区分,Classification,マーク Mark,総額 Total value,土地 Land／面積 Area(m2),土地 Land／価格 Value,建物 Buildings／延面積 Total floor space(m2),建物 Buildings／価格 Value,工作物 Structures,立木 Timber,船舶 Ships,航空機 Aircraft,浮標，浮さん橋，浮ドック Buoys， floating piers and docks,地上権等 Surface rights， etc.,特許権等 Patent rights， etc.,株式等 Securities， etc.,出資による権利 Rights based on investments,信託の受益権  Rights based in trusts
一般財産 ,General assets,1,総額,Total,,10987698,88513751,5447898,38614451,3601904,939981,1041,10895,2549,2227,6323,7947,251791,542575,172568
一般財産 ,General assets,2,行政財産,Administrative assets,,9047115,80517496,4980114,37479348,3209169,836316,937,10487,2549,1593,5950,-,-,-,-
一般財産 ,General assets,3,普通財産,Non-administrative assets,,1940582,7996254,467784,1135103,392734,103665,105,407,-,633,373,7947,251791,542575,172568
準公営企業用財産 ,Quasi-autonomous public enterprise assets,4,総額,Total,,2612589,13961299,1646899,1958525,323080,479490,1,92,-,-,250,135,112417,6,50218
準公営企業用財産 ,Quasi-autonomous public enterprise assets,5,行政財産,Administrative assets,,1493166,6166504,746529,1938393,322272,424021,1,92,-,-,250,-,-,-,-
準公営企業用財産 ,Quasi-autonomous public enterprise assets,6,普通財産,Non-administrative assets,,1119423,7794795,900370,20132,807,55469,-,-,-,-,-,135,112417,6,50218
公営企業用財産,Public enterprise assets,,,,1),12838186,237937456,928687,2899775,1071848,10804417,1738,167,-,-,2963,-,27289,1078,-
,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (1) 都有 (平成24年度末) 21-9  PUBLIC ASSETS  (1) ASSETS OWNED BY THE TOKYO METROPOLITAN GOVERNMENT ( End of Fiscal Year 2012 ),,,,,,,,,,,,,,,,,,,,
注1) 行政財産及び普通財産の合計額である。　,,,,,,,,,,,,,,,,,,,,
Note:1) Figures are the total amounts of “administrative assets” and “non-administrative assets.”,,,,,,,,,,,,,,,,,,,,
資料：都財務局財産運用部総合調整課 Source: Bureau of Finance， TMG,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,
