年次,Year,港,Harbor,総数 Total／隻数 Number,総数 Total／総トン数 GT,内航商船 Coasters／隻数 Number,内航商船 Coasters／総トン数 GT,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／隻数 Number,漁船，避難船，その他 Fishing boats， ships taking shelter， etc.／総トン数 GT
平成20,2008,総数,Total,30519,16339759,10065,14954902,20395,1384857
平成21,2009,総数,Total,29625,17046338,11749,16289355,17876,756983
平成22,2010,総数,Total,27722,15298643,12182,15038891,15540,259752
平成23,2011,総数,Total,28029,15164990,11909,14834246,16120,330744
平成24,2012,総数,Total,27715,15789640,11719,15407520,15996,382120
平成24,2012,元町港,Motomachi Harbor,1813,838057,1813,838057,-,-
平成24,2012,岡田港,Okada Harbor,3360,2729735,3360,2729735,-,-
平成24,2012,波浮港,Habu Harbor,3446,174333,397,135902,3049,38431
平成24,2012,利島港,Toshima Harbor,1276,2150050,1276,2150050,-,-
平成24,2012,新島港,Niijima Harbor,1466,2653160,1466,2653160,-,-
平成24,2012,式根島港,Shikinejima Harbor,6,526,1,499,5,27
平成24,2012,神津島港,Kozushima Harbor,4203,989103,709,842924,3494,146179
平成24,2012,三池港,Miike Harbor,395,1233266,395,1233266,-,-
平成24,2012,御蔵島港,Mikurajima Harbor,521,1931333,521,1931333,-,-
平成24,2012,神湊港,Kaminato Harbor,727,1596811,727,1596811,-,-
平成24,2012,八重根港,Yaene Harbor,30,53619,30,53619,-,-
平成24,2012,青ヶ島港,Aogashima Harbor,247,70066,247,70066,-,-
平成24,2012,二見港,Futami Harbor,6748,1183207,471,1008017,6277,175190
平成24,2012,沖港,Oki Harbor,3477,186374,306,164081,3171,22293
,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-21  入港船舶隻数及び総トン数 （平成20～24年）（島しょ港湾） 4-21 NUMBER AND GROSS TONNAGE OF ARRIVING VESSELS ( 2008-2012 )( Harbors of Islands ),,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,
