地域階層,地域コード,項番 Item number,地域,District,総床面積 Total floor space,新設 Newly constructed／総数 Total／戸数 Number,新設 Newly constructed／総数 Total／総床面積 Total floor space,新設 Newly constructed／持家 Owner's dwelling ／戸数 Number,新設 Newly constructed／持家 Owner's dwelling ／総床面積 Total floor space,新設 Newly constructed／貸家 For rent／戸数 Number,新設 Newly constructed／貸家 For rent／総床面積 Total floor space,新設 Newly constructed／給与住宅 Issued dwelling／戸数 Number,新設 Newly constructed／給与住宅 Issued dwelling／総床面積 Total floor space,新設 Newly constructed／分譲住宅 For sale／戸数 Number,新設 Newly constructed／分譲住宅 For sale／総床面積 Total floor space,その他 Others／総数 Total／戸数 Number,その他 Others／総数 Total／総床面積 Total floor space,その他 Others／持家 Owner's dwelling ／戸数 Number,その他 Others／持家 Owner's dwelling ／総床面積 Total floor space,その他 Others／貸家 For rent／戸数 Number,その他 Others／貸家 For rent／総床面積 Total floor space,その他 Others／給与住宅 Issued dwelling／戸数 Number,その他 Others／給与住宅 Issued dwelling／総床面積 Total floor space,その他 Others／分譲住宅 For sale／戸数 Number,その他 Others／分譲住宅 For sale／総床面積 Total floor space
0,13000,,総数,Tokyo-to,10122672,140862,10042978,19512,2267360,54718,2431883,1022,74024,65610,5269711,1908,79694,320,15281,459,10132,1123,53993,6,288
1,13100,,区部,All ku,7470558,108668,7426508,12342,1447985,43744,1911901,903,65367,51679,4001255,1120,44050,117,5610,217,5333,781,32835,5,272
5,13101,1,千代田区,Chiyoda-ku,107340,1427,105590,27,4084,193,8518,13,569,1194,92419,11,1750,-,-,-,-,11,1750,-,-
5,13102,2,中央区,Chuo-ku,234777,3013,234729,68,7813,478,21137,30,2503,2437,203276,2,48,-,-,-,-,2,48,-,-
5,13103,3,港区,Minato-ku,389930,4478,387896,124,16475,772,47006,112,8081,3470,316334,27,2034,2,212,-,-,25,1822,-,-
5,13104,4,新宿区,Shinjuku-ku,395453,6035,394577,318,37261,1976,80566,57,2622,3684,274128,31,876,3,113,1,12,27,751,-,-
5,13105,5,文京区,Bunkyo-ku,184067,2493,183703,363,45467,905,42126,68,5222,1157,90888,13,364,4,150,2,62,7,152,-,-
5,13106,6,台東区,Taito-ku,158889,2532,158768,191,23129,934,40764,6,733,1401,94142,8,121,-,-,-,-,8,121,-,-
5,13107,7,墨田区,Sumida-ku,214991,3736,214503,295,33255,1390,61102,32,1961,2019,118185,21,488,2,51,-,-,18,406,1,31
5,13108,8,江東区,Koto-ku,523162,7296,519070,275,30517,2335,90514,52,2672,4634,395367,88,4092,2,52,6,126,80,3914,-,-
