年次,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
平成24,2012,,,降船者, Deboarding passengers,855979,-,10957,-,1288,248394,124462,35332,9796,33458,561879,3
平成24,2012,1,Jan.,降船者, Deboarding passengers,33778,-,619,-,35,12773,9552,2130,305,2193,18158,-
平成24,2012,2,Feb.,降船者, Deboarding passengers,31698,-,343,-,5,11043,8492,1904,219,2210,18097,-
平成24,2012,3,Mar.,降船者, Deboarding passengers,67313,-,763,-,519,28328,11980,2555,472,4258,33445,-
平成24,2012,4,Apr.,降船者, Deboarding passengers,50492,-,571,-,463,12881,7782,2266,303,3215,33362,-
平成24,2012,5,May,降船者, Deboarding passengers,68535,-,1080,-,28,19547,9306,3317,831,2000,45880,-
平成24,2012,6,June,降船者, Deboarding passengers,53337,-,270,-,17,13449,7012,2700,754,2380,37221,-
平成24,2012,7,July,降船者, Deboarding passengers,108037,-,530,-,33,26487,11068,3626,794,3694,77293,-
平成24,2012,8,Aug.,降船者, Deboarding passengers,159289,-,2418,-,39,58639,22147,5878,4024,4791,93399,3
平成24,2012,9,Sept.,降船者, Deboarding passengers,106334,-,1293,-,37,25426,10799,3140,1038,2576,77002,-
平成24,2012,10,Oct.,降船者, Deboarding passengers,61154,-,1118,-,27,14385,9031,2822,501,2125,43499,-
平成24,2012,11,Nov.,降船者, Deboarding passengers,59910,-,1056,-,71,14662,9685,2697,375,1692,42429,-
平成24,2012,12,Dec.,降船者, Deboarding passengers,56102,-,896,-,14,10774,7608,2297,180,2324,42094,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,
4-20　航路別乗降船人員 (平成20～24年)（東京港） 4-20 NUMBER OF PASSENGERS BY VESSEL ROUTE ( 2008-2012 )( Port of Tokyo ),,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,
