年次,Year,月次,Month,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／鉄鋼業 Iron and steel,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／金属製品工業 Fabricated metals,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／はん用機械工業 General-purpose machinery,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／はん用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／電気機械工業 Electrical machinery,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／輸送機械工業 Transport equipment,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／化学工業 Chemicals,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／プラスチック製品工業 Plastic products,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／繊維工業 Textiles,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／食料品工業 Foods,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／印刷業 Printing,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／その他工業 Other manufacturing,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products,産業総合（製造工業、電気・ガス事業） Industries （Manufacturing， Electricity and Gas）／電気・ガス事業 Electricity and Gas,産業総合（製造工業、電気・ガス事業） Industries（Manufacturing，Electricity and Gas）
品目数,Items,,,176,13,8,7,25,7,12,6,8,22,16,11,11,12,4,3,5,9,3,19,3,3,2,4,7,2,178
ウェイト,Weight,,,10000,135,109.2,319,1376.9,279,620.7,477.2,483,1314.4,692.9,1383.2,166,882.2,182.6,77.4,115.3,713.8,1380.9,668.2,236.9,79.2,128.2,28.1,195.8,157.8,10157.8
平成20,2008,,,115.6,124.5,122.7,284,120.8,111,95.7,159.2,114.9,106.2,109.6,103.7,110.4,110.4,112.2,114.4,97.5,100.5,100.1,132.5,164.5,146.3,91.5,133.6,115,119.8,115.7
平成21,2009,,,87.4,80.6,103.7,107.6,70.1,88.8,43.9,93.3,77.7,88.9,89.5,68.8,100.3,102.2,83.9,100,101.5,100,96,96.2,96.7,117.4,109.4,106.9,76.7,93.8,87.5
平成22,2010,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成23,2011,,,96.6,95.5,86,99,104.2,107.7,109.8,95.1,86.9,95.2,82.1,99.8,105.6,99.3,88.1,102.1,105.1,97.7,97.8,90.2,74.9,88.6,87.1,103.2,109.5,110,96.8
平成24,2012,,,99.9,93.3,76.6,97.4,92.1,109.9,87.6,87.5,86.4,88.6,98.5,126.4,104.1,107,103.2,95.2,106.9,107.1,100.2,80.6,57.9,75.2,81.3,107.9,105.8,135.4,100.4
平成24,2012,1,Jan.,101.2,97.7,77.7,100.1,90.9,111.2,88.1,81.4,74.9,94.9,101.3,133.5,108.3,106.3,103.3,100.4,96.9,100.6,102,81.6,76.8,72.1,60.5,105.5,114,139.3,101.9
平成24,2012,2,Feb.,98.6,98.6,77.8,95.4,90.5,121.2,81.9,87,76,89.2,98.7,127.1,105.6,98,110.8,98.8,113.7,101.3,98.7,80.6,73.7,73.3,45.2,105.8,115.1,139.5,99.4
平成24,2012,3,Mar.,100.1,100.3,82.6,95.3,91.2,117.7,79.5,99.8,108.9,87.5,92.1,133.7,104.5,103.6,131.2,94.9,115.4,106.4,98.7,82.9,70.6,74.3,62.8,106.2,118.1,139.2,100.6
平成24,2012,4,Apr.,102.3,101.5,75.5,94.2,95,120.7,88.3,88,78,89.5,93.6,134.7,103.4,109,117,95.9,102.8,106.6,99.7,84.8,62.9,76.1,83.6,110.6,113,129.1,102.6
平成24,2012,5,May,99.6,97.9,72,102.1,98.8,110.1,97.9,91,74.8,89.8,92.6,128.6,107.1,104.8,109.2,93.2,110,103.5,99,82.6,55.4,80.2,101,107,110.9,112.3,99.8
平成24,2012,6,June,99.1,97.4,72,101.3,97.4,114.1,97.5,81.1,81.7,84.8,98.4,126.4,106.9,102.2,99,89.8,131,108.8,93.3,79.8,55.5,78.7,84.7,103.5,103.8,106.9,99.2
平成24,2012,7,July,97.6,93,70.7,95.5,89.1,102.1,85.4,84.2,87.7,85.3,89.7,119.9,100.9,105.4,96.7,91.7,102.2,107,104.5,77.4,54.6,73.1,89.1,107.3,93.3,118.7,97.9
平成24,2012,8,Aug.,97.6,89.8,76.4,96.8,89.2,106.2,83.3,85.1,77.4,86.2,97,126.5,102.8,94.4,98.5,89.8,103.2,106.2,103.6,79.7,50.5,75.6,93.9,104.7,104.3,135.8,98.3
平成24,2012,9,Sept.,96.9,91.5,81.8,93.8,87.6,104.6,80.4,90.5,87.3,82.7,90.7,118.9,102.5,107.1,96.3,99.1,99.4,106.3,102.3,82,51.2,75.2,104.4,109.8,102.6,133.1,97.5
平成24,2012,10,Oct.,99.2,88.5,76.5,99.1,92.4,99.6,88.6,90,89,85.1,102.4,119.1,102.9,115.5,97,94.8,105.5,107,101,76.4,49,75.3,93.4,114.1,97.4,148,99.9
