項番 Item number,観測地,Observatory,平成20年 2008 平均 Average,平成21年 2009 平均 Average,平成22年 2010 平均 Average,平成23年 2011 平均 Average,平成24年 2012 平均 Average,平成24年 2012 平均 Average／1月 Jan.,平成24年 2012 平均 Average／2月 Feb.,平成24年 2012 平均 Average／3月 Mar.,平成24年 2012 平均 Average／4月 Apr.,平成24年 2012 平均 Average／5月 May,平成24年 2012 平均 Average／6月 June,平成24年 2012 平均 Average／7月 July,平成24年 2012 平均 Average／8月 Aug.,平成24年 2012 平均 Average／9月 Sept.,平成24年 2012 平均 Average／10月 Oct.,平成24年 2012 平均 Average／11月 Nov.,平成24年 2012 平均 Average／12月 Dec.
1,東京,Tokyo,16.4,16.7,16.9,16.5,16.3,4.8,5.4,8.8,14.5,19.6,21.4,26.4,29.1,26.2,19.4,12.7,7.3
2,江戸川臨海,Edogawarinkai,15.9,10.7,16.2,15.9,15.6,4.3,5,8.4,13.8,18.7,20.6,24.8,28.2,25.7,18.9,12.4,6.9
3,練馬,Nerima,15.7,16.1,16.3,15.9,-,3.4,4.4,7.9,14,19.2,21.2,26.5,29,25.5,18.5,11.1,4.8
4,府中,Fuchu,15.4,15.6,15.8,15.3,14.9,3,4,7.5,13.4,18.4,20.7,25.8,27.9,24.6,18,10.5,5.4
5,八王子,Hachioji,14.7,14.9,15.2,14.6,14.4,2,3.3,6.9,12.8,17.8,20.4,25.7,27.6,24.2,17.4,9.7,4.4
6,青梅,Ome,14.3,14.6,14.8,14.3,14,1.8,3,6.7,12.5,17.5,20,25.3,27.2,23.8,17,9.5,4.2
7,小河内,Ogochi,11.9,12.5,12.6,12.1,11.8,0,0.9,4.6,10.1,15.1,17.8,22.7,24.6,21.1,14.4,7.6,2.8
8,羽田,Haneda,16.2,16.4,16.7,16.4,16,5,5.4,8.6,13.8,18.9,20.7,25.4,28.5,25.8,19.1,12.8,7.5
9,大島,Oshima,16.3,16.3,16.6,16.3,16.2,6.5,6.9,10.2,14.2,18.4,20.3,24.6,26.4,24.5,19.3,14,8.6
10,新島,Niijima,17.4,17.3,17.7,17.4,17.2,8,8.5,11.4,15.2,18.9,20.9,25.2,26.9,25.3,20.4,15.5,9.9
11,三宅島,Miyakejima,17.8,17.8,18.2,17.8,17.6,9.2,9.4,12.1,15.3,19.1,21.1,25.3,26.6,25.1,20.7,16,10.9
12,八丈島,Hachijojima,17.7,17.7,18.3,17.7,17.5,9.5,9.9,12,15.4,18.7,20.7,25.1,26.3,24.8,20.6,15.6,11
13,父島,Chichijima,23.3,23.4,23.5,23.2,22.8,18.1,18.3,19.1,20.1,22.6,26,27.3,27.5,27.4,25.7,22,19.3
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑 （平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,,,,
1-6  観測地別平均気温 （平成20～24年） 1-6  AVERAGE TEMPERATURE BY OBSERVATORY ( 2008-2012 ),,,,,,,,,,,,,,,,,,,
この表の観測地のうち，東京とは東京管区気象台をいい，その他は地域気象観測所又は測候所をいう。,,,,,,,,,,,,,,,,,,,
"""Tokyo"" in this table refers to the Tokyo District Meteorological Observatory， and the others are local observation stations and weather stations.    ",,,,,,,,,,,,,,,,,,,
注1) 記号］：資料不足値 欠測等により統計を行う対象資料が許容範囲を越えて欠けている。,,,,,,,,,,,,,,,,,,,
2）新島地域気象観測所廃止のため、平成20年以降は新島空港の観測データを掲載。,,,,,,,,,,,,,,,,,,,
Note: 1) A square bracket following a figure indicates that an unacceptably large portion of data needed for the calculation was missing due to measurement failure or other reasons. ,,,,,,,,,,,,,,,,,,,
2） Due to the closure of  the Niijima observation station， data for 2008 and later years were collected at Niijima Airport.,,,,,,,,,,,,,,,,,,,
資料：東京管区気象台 Source: Tokyo District Meteorological Observatory,,,,,,,,,,,,,,,,,,,
（単位　℃）(In ℃),,,,,,,,,,,,,,,,,,,
