年次,Year,月次 ,Month,件数 Total,件数 Total／うち法人 (業種別)  of which corporation (by industry)／計 Total,件数 Total／うち法人 (業種別) of which corporation (by industry)／製造 Manufacturing／繊維品 Textile products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／出版・印刷 Publishing and printing,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／金属製品 Metal products,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／機械 Machinary,件数 Total／うち法人 (業種別)  of which corporation (by industry)／製造 Manufacturing／その他 Others,件数 Total／うち法人(業種別)  of which corporation (by industry)／卸売 Wholesale,件数 Total／うち法人(業種別)  of which corporation (by industry)／小売 Retail,件数 Total／うち法人(業種別)  of which corporation (by industry)／建設 Construction,件数 Total／うち法人(業種別)  of which corporation (by industry)／サービス Services,件数 Total／うち法人(業種別)  of which corporation (by industry)／不動産 Real estate,件数 Total／うち法人(業種別)  of which corporation (by industry)／運輸・通信 Transportation & communications,件数 Total／うち法人(業種別)  of which corporation (by industry)／その他 Others,枚数 Number,金額 Value
平成20,2008,総数,Total,1371,1291,27,85,41,21,155,164,208,307,167,49,52,15,3619,8126607
平成21,2009,総数,Total,1233,1127,19,82,46,37,174,113,161,254,125,49,50,17,3505,9674286
平成22,2010,総数,Total,882,818,15,61,32,8,108,99,133,214,77,13,48,10,2136,11430934
平成23,2011,総数,Total,665,626,15,59,28,19,89,69,72,164,69,7,27,8,1821,6260431
平成24,2012,総数,Total,569,544,9,48,25,7,84,62,86,126,50,8,33,6,1493,3686400
平成24,2012,1,Jan.,47,41,-,3,2,2,9,3,9,9,2,-,2,-,129,135538
平成24,2012,2,Feb.,61,57,1,6,3,-,5,4,11,18,4,1,3,1,130,147077
平成24,2012,3,Mar.,43,42,1,6,1,-,5,9,7,6,4,-,3,-,157,387422
平成24,2012,4,Apr.,48,47,-,3,3,1,10,5,8,10,3,1,2,1,118,301080
平成24,2012,5,May,45,45,2,3,3,-,7,7,2,14,6,1,-,-,205,117080
平成24,2012,6,June,52,51,-,6,2,1,8,2,10,13,6,1,2,-,87,105915
平成24,2012,7,July,42,41,1,3,1,-,7,6,5,10,2,-,5,1,69,67215
平成24,2012,8,Aug.,35,33,-,2,2,1,4,2,4,10,2,-,5,1,57,1572504
平成24,2012,9,Sept.,59,58,1,3,3,1,7,11,10,12,7,-,2,1,179,352250
平成24,2012,10,Oct.,55,51,2,8,1,-,6,7,9,9,4,2,2,1,196,283697
平成24,2012,11,Nov.,40,39,-,2,3,1,8,3,7,7,4,1,3,-,77,107881
平成24,2012,12,Dec.,42,39,1,3,1,-,8,3,4,8,6,1,4,-,89,108741
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012)　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,
15-9  東京手形交換所扱い銀行取引停止処分数 (平成20～24年) 15-9  SUSPENSION OF TRANSACTIONS WITH THE TOKYO CLEARING HOUSE MEMBER BANKS ( 2008-2012 )  ,,,,,,,,,,,,,,,,,,,
資料：全国銀行協会 「決済統計年報」，「全国手形交換高・不渡手形実数・取引停止処分数調」 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,
（単位  金額  千円）(Value in thousands of yen),,,,,,,,,,,,,,,,,,,
