海区,Sea region,区分,Classification,区分,Classification,生産量 Quantity
総数,Total,総数,Total,,,3567484
総数,Total,魚類,Fish,総数,Total,2962484
総数,Total,魚類,Fish,きんめだい,Alfonsino,827908
総数,Total,魚類,Fish,とびうお,Flying fish,340881
総数,Total,魚類,Fish,むろあじ,Mackerel scad,233270
総数,Total,その他の水産動物,Other marine animals,総数,Total,140763
総数,Total,その他の水産動物,Other marine animals,いか類,Squid,73170
総数,Total,その他の水産動物,Other marine animals,いせえび,Spiny lobster,48522
総数,Total,その他の水産動物,Other marine animals,かめ ,Sea turtle　,12506
総数,Total,貝類,Shellfish,総数,Total,109725
総数,Total,貝類,Shellfish,あさり類,Shortnecked clams,60429
総数,Total,貝類,Shellfish,さざえ,Top shell,24432
総数,Total,貝類,Shellfish,とこぶし,Japanese abalone,7964
総数,Total,藻類,Seaweed,総数,Total,354514
総数,Total,藻類,Seaweed,てんぐさ,Tengusa,187213
総数,Total,藻類,Seaweed,とさかのり,Comb paste,166252
東京湾海区,Tokyo bay area,総数,Total,,,267943
東京湾海区,Tokyo bay area,魚類,Fish,総数,Total,201363
東京湾海区,Tokyo bay area,魚類,Fish,すずき,Sea bass,95167
東京湾海区,Tokyo bay area,魚類,Fish,かれい類,Flounder,33828
東京湾海区,Tokyo bay area,魚類,Fish,あなご,Conger,18420
東京湾海区,Tokyo bay area,その他の水産動物,Other marine animals,総数,Total,1313
東京湾海区,Tokyo bay area,貝類,Shellfish,総数,Total,65267
東京湾海区,Tokyo bay area,貝類,Shellfish,あさり類,Shortnecked clams,60429
東京湾海区,Tokyo bay area,藻類,Seaweed,総数,Total,-
大島海区,Oshima sea area,総数,Total,,,1298445
大島海区,Oshima sea area,魚類,Fish,総数,Total,836450
大島海区,Oshima sea area,魚類,Fish,きんめだい,Alfonsino,476328
大島海区,Oshima sea area,魚類,Fish,いさき,Grunt,45279
大島海区,Oshima sea area,魚類,Fish,めだい,Doderlein,77639
大島海区,Oshima sea area,その他の水産動物,Other marine animals,総数,Total,90690
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いか類,Squid,43909
大島海区,Oshima sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,42140
大島海区,Oshima sea area,貝類,Shellfish,総数,Total,43547
大島海区,Oshima sea area,貝類,Shellfish,さざえ,Top shell,24381
大島海区,Oshima sea area,貝類,Shellfish,とこぶし,Japanese abalone,7447
大島海区,Oshima sea area,貝類,Shellfish,くぼがい,Chlorostoma lischkei ,6505
大島海区,Oshima sea area,藻類,Seaweed,総数,Total,327758
大島海区,Oshima sea area,藻類,Seaweed,てんぐさ,Tengusa,172415
大島海区,Oshima sea area,藻類,Seaweed,とさかのり,Comb paste,154588
三宅海区,Miyake sea area,総数,Total,,,213644
三宅海区,Miyake sea area,魚類,Fish,総数,Total,181527
三宅海区,Miyake sea area,魚類,Fish,きんめだい,Alfonsino,15934
三宅海区,Miyake sea area,魚類,Fish,まぐろ類,Tuna,73439
三宅海区,Miyake sea area,魚類,Fish,かつお類,Skipjack,31964
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,総数,Total,5180
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,2651
三宅海区,Miyake sea area,その他の水産動物,Other marine animals,いか類,Squid,2430
三宅海区,Miyake sea area,貝類,Shellfish,総数,Total,841
三宅海区,Miyake sea area,貝類,Shellfish,さざえ,Top shell,51
三宅海区,Miyake sea area,貝類,Shellfish,とこぶし,Japanese abalone,447
三宅海区,Miyake sea area,藻類,Seaweed,総数,Total,26096
三宅海区,Miyake sea area,藻類,Seaweed,てんぐさ,Tengusa,14798
三宅海区,Miyake sea area,藻類,Seaweed,いわのり,Spontaneous purple,139
八丈海区,Hachijo sea area,総数,Total,,,1354034
八丈海区,Hachijo sea area,魚類,Fish,総数,Total,1352906
八丈海区,Hachijo sea area,魚類,Fish,きんめだい,Alfonsino,335646
八丈海区,Hachijo sea area,魚類,Fish,とびうお,Flying fish,332459
八丈海区,Hachijo sea area,魚類,Fish,むろあじ,Mackerel scad,196846
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,総数,Total,398
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いか類,Squid,-
八丈海区,Hachijo sea area,その他の水産動物,Other marine animals,いせえび,Spiny lobster,368
八丈海区,Hachijo sea area,貝類,Shellfish,総数,Total,70
八丈海区,Hachijo sea area,貝類,Shellfish,とこぶし,Japanese abalone,70
八丈海区,Hachijo sea area,藻類,Seaweed,総数,Total,660
八丈海区,Hachijo sea area,藻類,Seaweed,とさかのり,Comb paste,652
小笠原海区,Ogasawara sea area,総数,Total,,,433418
小笠原海区,Ogasawara sea area,魚類,Fish,総数,Total,390236
小笠原海区,Ogasawara sea area,魚類,Fish,かじき類,Swordfish,171849
小笠原海区,Ogasawara sea area,魚類,Fish,はまだい,Ruby snapper,58836
小笠原海区,Ogasawara sea area,魚類,Fish,まぐろ類,Tuna,68613
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,総数,Total,43182
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,かめ ,Sea turtle　,12506
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いか類,Squid,26831
小笠原海区,Ogasawara sea area,その他の水産動物,Other marine animals,いせえび,Spinylobster,3363
小笠原海区,Ogasawara sea area,貝類,Shellfish,総数,Total,-
小笠原海区,Ogasawara sea area,藻類,Seaweed,総数,Total,-
,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 9　農林水産業 9 AGRICULTURE， FORESTRY， AND FISHERIES,,,,,,
"9-7  海区別生産量（平成23年）9-7 CATCHES ( QUANTITY ) BY SEA REGION ( 2011 )						",,,,,,
"大手水産会社による遠洋・沖合漁業を除く。						",,,,,,
"Excluding deep sea and offshore activities by large fishery companies.						",,,,,,
"注) 数値は，主要生産量のみを掲げてあるので，内訳の合計は総数に一致しない。						",,,,,,
"Note: The total is not the sum of the details as detailed figures are given for key quantities only.						",,,,,,
"資料：都産業労働局農林水産部水産課 「東京都の水産」 Source: Bureau of Industrial and Labor Affairs， TMG						",,,,,,
"（単位　キログラム） (Quantity in kg)						",,,,,,
