地域階層,地域コード,地域,District,平成18年 2006,平成19年 2007,平成20年 2008,平成21年 2009,平成22年 2010,平成23年 2011,平成24年 2012,平成25年 2013
0,13000,東京都,Tokyo-to,1482,1798,2197,2036,1765,1718,1676,1650
1,13100,区部,All ku,1728,2111,2595,2409,2075,2024,1973,1949
2,13101,千代田区,Chiyoda-ku ,4271,5085,6175,6034,5224,4867,4726,4700
2,13102,中央区,Chuo-ku,4094,5239,6526,6519,5251,5492,5351,5504
2,13103,港区,Minato-ku ,2902,3762,4689,4163,3535,3326,3195,3101
2,13104,新宿区,Shinjuku-ku,2596,3106,3998,3845,3306,3280,3220,3191
2,13105,文京区,Bunkyo-ku ,848,1016,1268,1201,1072,1032,1009,1013
2,13106,台東区,Taito-ku ,956,1138,1400,1283,1167,1055,1022,1020
2,13107,墨田区,Sumida-ku,482,558,666,621,577,570,564,571
2,13108,江東区,Koto-ku,482,588,675,643,600,596,588,586
2,13109,品川区,Shinagawa-ku,985,1193,1440,1263,1184,1125,1104,1123
2,13110,目黒区,Meguro-ku,1097,1344,1622,1592,1456,1320,1286,1232
2,13111,大田区,Ota-ku,590,666,761,718,678,663,654,659
2,13112,世田谷区,Setagaya-ku,660,759,884,824,764,739,726,725
2,13113,渋谷区,Shibuya-ku,3164,4169,5129,4908,4182,3976,3814,3785
2,13114,中野区,Nakano-ku ,809,892,1071,970,877,862,843,836
2,13115,杉並区,Suginami-ku,643,711,798,710,664,667,662,661
2,13116,豊島区,Toshima-ku,1145,1394,1746,1506,1406,1415,1412,1408
2,13117,北区,Kita-ku,584,669,769,725,682,671,666,664
2,13118,荒川区,Arakawa-ku,544,619,720,677,634,619,613,612
2,13119,板橋区,Itabashi-ku,526,579,656,600,559,553,544,541
2,13120,練馬区,Nerima-ku,552,607,708,638,603,598,593,592
2,13121,足立区,Adachi-ku,365,425,462,453,435,439,441,426
2,13122,葛飾区,Katsushika-ku,379,421,476,456,444,451,447,413
2,13123,江戸川区,Edogawa-ku,510,579,655,620,571,559,549,492
1,,市，郡部,All shi and gun,474,517,581,556,527,525,523,510
2,13201,八王子市,Hachioji-shi,384,418,488,476,438,427,416,409
2,13202,立川市,Tachikawa-shi,620,841,993,958,979,957,950,954
2,13203,武蔵野市,Musashino-shi,1079,1151,1272,1313,1301,1285,1278,1278
2,13204,三鷹市,Mitaka-shi,643,688,757,727,707,695,689,689
2,13205,青梅市,Ome-shi,211,215,240,226,208,202,198,188
2,13206,府中市,Fuchu-shi,404,428,536,506,476,465,462,460
2,13207,昭島市,Akishima-shi,246,260,284,271,252,254,250,247
2,13208,調布市,Chofu-shi,495,534,596,559,529,520,585,585
2,13209,町田市,Machida-shi,608,667,744,721,688,700,692,623
2,13210,小金井市,Koganei-shi,540,576,642,624,594,582,580,579
2,13211,小平市,Kodaira-shi,332,352,375,354,332,322,315,304
2,13212,日野市,Hino-shi,340,393,429,408,376,366,364,363
2,13213,東村山市,Higashimurayama-shi,312,329,363,345,326,320,317,292
2,13214,国分寺市,Kokubunji-shi,509,533,583,567,544,530,528,526
2,13215,国立市,Kunitachi-shi,510,549,594,611,576,566,563,562
2,13218,福生市,Fussa-shi　,304,307,333,320,293,283,277,273
2,13219,狛江市,Komae-shi,448,476,522,492,463,456,452,449
2,13220,東大和市,Higashiyamato-shi,198,216,228,215,202,196,191,190
2,13221,清瀬市,Kiyose-shi,339,358,385,364,342,332,329,329
2,13222,東久留米市,Higashikurume-shi,294,308,337,318,304,296,294,294
2,13223,武蔵村山市,Musashimurayama-shi,157,164,173,163,154,150,147,145
2,13224,多摩市,Tama-shi,368,386,413,396,396,388,387,386
2,13225,稲城市,Inagi-shi,225,231,247,235,227,223,222,222
2,13227,羽村市,Hamura-shi,232,238,264,251,233,177,174,171
2,13228,あきる野市,Akiruno-shi,152,156,172,166,152,175,171,168
2,13229,西東京市,Nishitokyo-shi,347,369,414,391,372,364,362,362
2,13303,瑞穂町,Mizuho-machi,130,132,137,132,123,121,117,115
2,13305,日の出町,Hinode-machi,-,-,-,-,-,-,-,-
2,13307,檜原村,Hinohara-mura,-,-,-,-,-,-,-,-
2,13308,奥多摩町,Okutama-machi,-,-,-,-,-,-,-,-
1,13350,島部,All islands,38,37,36,36,35,34,32,32
2,13361,大島町,Oshima-machi,87,84,80,75,70,65,61,57
2,13363,新島村,Niijima-mura,10,10,10,10,10,10,10,10
2,13364,神津島村,Kozushima-mura,10,10,10,10,10,10,10,10
2,13381,三宅村,Miyake-mura,12,12,12,12,12,12,12,11
2,13401,八丈町,Hachijo-machi,38,38,38,43,40,37,34,32
2,13421,小笠原村,Ogasawara-mura,69,69,69,69,69,69,69,73
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 13 　物価・地価 13   PRICES,,,,,,,,,,,
13-5  地価公示の平均価格の推移（商業地）（平成18～25年） 13-5 CHANGES IN AVERAGE POSTED LAND PRICES ( COMMERCIAL LAND ) ( 2006-2013 ),,,,,,,,,,,
各年１月1日現在,,,,,,,,,,,
Figures are as of Jan. 1 of the year stated.,,,,,,,,,,,
資料：都財務局財産運用部管理課「平成25年地価公示価格」（ホームページ） Source: Bureau of inance， TMG,,,,,,,,,,,
地域階層(0:東京都　1:区部・市，郡部・島部　2:区市町村),,,,,,,,,,,
（単位 ：千円／m2） (Thousands of yen／m2),,,,,,,,,,,
