年次,Year,地域,District,港,Harbor,総数 Total,乗船人員 Boarding passengers,降船人員 Deboarding passengers
平成20,2008,,,総数,Total,658659,335685,322974
平成21,2009,,,総数,Total,689366,343771,345595
平成22,2010,,,総数,Total,701515,346724,354791
平成23,2011,,,総数,Total,655387,323050,332337
平成24,2012,,,総数,Total,749634,366209,383425
平成24,2012,大島町,Oshima-machi,元町港,Motomachi Harbor,76344,42113,34231
平成24,2012,大島町,Oshima-machi,岡田港,Okada Harbor,292446,139784,152662
平成24,2012,大島町,Oshima-machi,波浮港,Habu Harbor,-,-,-
平成24,2012,利島村,Toshima-mura,利島港,Toshima Harbor,12926,6361,6565
平成24,2012,新島村,Niijima-mura,新島港,Niijima Harbor,51098,24508,26590
平成24,2012,新島村,Niijima-mura,式根島港,Shikinejima Harbor,-,-,-
平成24,2012,神津島村,Kozushima-mura,神津島港,Kozushima Harbor,43910,20914,22996
平成24,2012,三宅村,Miyake-mura,三池港,Miike Harbor,30858,14407,16451
平成24,2012,御蔵島村,Mikurajima-mura,御蔵島港,Mikurajima Harbor,13984,7145,6839
平成24,2012,八丈町,Hachijo-machi,神湊港,Kaminato Harbor,24984,9487,15497
平成24,2012,八丈町,Hachijo-machi,八重根港,Yaene Harbor,475,182,293
平成24,2012,青ヶ島村,Aogashima-mura,青ヶ島港,Aogashima Harbor,1138,583,555
平成24,2012,小笠原村,Ogasawara-mura,二見港,Futami Harbor,169137,84535,84602
平成24,2012,小笠原村,Ogasawara-mura,沖港,Oki Harbor,32334,16190,16144
,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-22　港別乗降船人員 (平成20～24年）（島しょ港湾） 4-22 NUMBER OF PASSENGERS BY HARBOR ( 2008-2012 )( Harbors of Islands ),,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,
