年次,Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
平成20,2008,総数,Total,,,1135,2846,983,2,4,2,1133,2842,981,
平成21,2009,総数,Total,,,950,2472,871,1,3,2,949,2469,869,
平成22,2010,総数,Total,,,965,2290,778,1,3,-,964,2287,778,
平成23,2011,総数,Total,,,850,2272,821, -,1, -,850,2271,821,
平成24,2012,総数,Total,,,997,2041,711,1,6, -,996,2035,711,
平成24,2012,歩行者の場合,Pedestrians,,,258,727,126,1,4, -,257,723,126,
平成24,2012,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,6,21,5, -, -, -,6,21,5,
平成24,2012,歩行者の場合,Pedestrians,通行区分違反,Lane violation , -,2,1, -, -, -, -,2,1,
平成24,2012,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,5,41,16, -, -, -,5,41,16,
平成24,2012,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,4,3,1, -, -, -,4,3,1,
平成24,2012,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,3,15,3, -, -, -,3,15,3,
平成24,2012,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,2,19,2, -, -, -,2,19,2,
平成24,2012,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places, -,8,2, -,1, -, -,7,2,
平成24,2012,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,29, -, -, -, -, -,29, -, -,
平成24,2012,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings, -, -, -, -, -, -, -, -, -,
平成24,2012,歩行者の場合,Pedestrians,路上遊戯,Playing on road,3,15, -, -,1, -,3,14, -,
平成24,2012,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,45,181,12, -,1, -,45,180,12,
平成24,2012,歩行者の場合,Pedestrians,その他の違反,Other violations,4,7,3, -, -, -,4,7,3,
平成24,2012,歩行者の場合,Pedestrians,調査不能,Cause undetermined, -,3, -, -, -, -, -,3, -,
平成24,2012,歩行者の場合,Pedestrians,違反なし,No violation,129,397,76,1,1, -,128,396,76,
平成24,2012,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,28,15,5, -, -, -,28,15,5,
平成24,2012,自転車乗車の場合,Riding on bicycles,,,398,1041,478, -,2, -,398,1039,478,
平成24,2012,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals, -,20,20, -, -, -, -,20,20,
平成24,2012,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation , -,3,4, -, -, -, -,3,4,
平成24,2012,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns, -, -, -, -, -, -, -, -, -,
平成24,2012,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation, -, -, -, -, -, -, -, -, -,
平成24,2012,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,5,119,56, -, -, -,5,119,56,
平成24,2012,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation, -, -, -, -, -, -, -, -, -,
平成24,2012,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,2,117,45, -,1, -,2,116,45,
平成24,2012,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,16,240,131, -, -, -,16,240,131,
平成24,2012,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations, -,6,6, -, -, -, -,6,6,
平成24,2012,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined, -,1,1, -, -, -, -,1,1,
平成24,2012,自転車乗車の場合,Riding on bicycles,違反なし,No violation,20,504,204, -,1, -,20,503,204,
平成24,2012,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,355,31,11, -, -, -,355,31,11,
平成24,2012,その他,Others,,,341,273,107, -, -, -,341,273,107,
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,　
20-15  子供の交通事故死傷者数 （平成20～24年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2008-2012 ),,,,,,,,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,
