年次,Year,地域階層,地域コード,地域,District,メーター個数 Number of gas meterｓ,販売量　Gas sold （1000MJ）／総数 Total,販売量　Gas sold （1000MJ）／家庭用 Residential,販売量　Gas sold （1000MJ）／商業用 Commercial,販売量　Gas sold （1000MJ）／ 工業用 Industrial,販売量　Gas sold （1000MJ）／その他 Others
平成22,2010,0,,総数,Total,6559583,254465306,89644392,58307257,80822331,25691326
平成23,2011,0,,総数,Total,6609852,243389832,88529064,53860839,77939867,23060062
平成24,2012,0,,総数,Total,6679312,256254988,92452420,55696055,84093457,24013057
平成24,2012,1,13100,区部,All ku,5152321,210030302,67218592,49610747,75569300,17631663
平成24,2012,2,13101,千代田区,Chiyoda-ku,51581,7006948,395045,5316860,7477,1287565
平成24,2012,2,13102,中央区,Chuo-ku,97645,4754140,927853,3399929,42369,383989
平成24,2012,2,13103,港区,Minato-ku,172132,14315915,1994134,11107371,74057,1140353
平成24,2012,2,13104,新宿区,Shinjuku-ku,243504,9557391,2557123,5321700,143930,1534639
平成24,2012,2,13105,文京区,Bunkyo-ku,135441,3720394,1707313,913885,37552,1061644
平成24,2012,2,13106,台東区,Taito-ku,129191,3121649,1315737,1381685,45958,378269
平成24,2012,2,13107,墨田区,Sumida-ku,151048,4097989,1796990,1223469,732300,345229
平成24,2012,2,13108,江東区,Koto-ku,250799,7708041,3419011,2225212,1272261,791557
平成24,2012,2,13109,品川区,Shinagawa-ku,230564,71461000,2811639,1914568,65839602,895190
平成24,2012,2,13110,目黒区,Meguro-ku,169187,3587327,2289384,786452,32331,479161
平成24,2012,2,13111,大田区,Ota-ku,397829,9986388,5335624,2538510,947004,1165249
平成24,2012,2,13112,世田谷区,Setagaya-ku,503021,10244869,7405610,1490287,59810,1289161
平成24,2012,2,13113,渋谷区,Shibuya-ku,170622,5938894,1879752,3377834,22826,658482
平成24,2012,2,13114,中野区,Nakano-ku,213663,3565658,2578496,588331,13575,385256
平成24,2012,2,13115,杉並区,Suginami-ku,337601,6054316,4641623,904380,29379,478934
平成24,2012,2,13116,豊島区,Toshima-ku,193120,4472562,2171875,1918100,22440,360147
平成24,2012,2,13117,北区,Kita-ku,200481,4174994,2447931,647476,559041,520546
平成24,2012,2,13118,荒川区,Arakawa-ku,113357,2156325,1448052,422644,110460,175169
平成24,2012,2,13119,板橋区,Itabashi-ku,299698,8047236,3910904,934680,1852307,1349345
平成24,2012,2,13120,練馬区,Nerima-ku,353939,7011959,5401883,724837,154977,730262
平成24,2012,2,13121,足立区,Adachi-ku,277855,6280853,3947756,976772,738942,617383
平成24,2012,2,13122,葛飾区,Katsushika-ku,195908,5157004,2855808,654144,704985,942066
平成24,2012,2,13123,江戸川区,Edogawa-ku,264135,7608448,3979046,841620,2125714,662068
平成24,2012,1,,市郡部,shi and gun,1526991,46224686,25233828,6085308,8524157,6381394
平成24,2012,2,13201,八王子市,Hachioji-shi,181488,5669109,3244566,809997,683828,930718
平成24,2012,2,13202,立川市,Tachikawa-shi,70383,2156889,1068101,646638,10700,335450
平成24,2012,2,13203,武蔵野市,Musashino-shi,83409,1952665,1178761,523898,40743,209262
平成24,2012,2,13204,三鷹市,Mitaka-shi,88982,2027196,1437763,186603,55252,347578
平成24,2012,2,13205,青梅市,Ome-shi,21088,974614,312106,61510,465368,135630
平成24,2012,2,13206,府中市,Fuchu-shi,106722,3626792,1706602,557734,681235,681220
平成24,2012,2,13207,昭島市,Akishima-shi,30127,1257958,456435,220181,396625,184717
平成24,2012,2,13208,調布市,Chofu-shi,113681,2350929,1657244,332754,70546,290385
平成24,2012,2,13209,町田市,Machida-shi,129324,3614717,2370114,578331,179466,486806
平成24,2012,2,13210,小金井市,Koganei-shi,61931,1241245,967677,113682,1624,158262
平成24,2012,2,13211,小平市,Kodaira-shi,75945,2855411,1292181,182438,946110,434683
平成24,2012,2,13212,日野市,Hino-shi,64580,2671549,1116526,91272,1265791,197959
平成24,2012,2,13213,東村山市,Higashimurayama-shi,52855,1708624,942752,103772,231803,430298
平成24,2012,2,13214,国分寺市,Kokubunji-shi,58691,1282932,950809,160047,50410,121666
平成24,2012,2,13215,国立市,Kunitachi-shi,34203,787232,518899,125505,42645,100183
平成24,2012,2,13218,福生市,Fussa-shi,12604,324338,166561,45744,18586,93447
平成24,2012,2,13219,狛江市,Komae-shi,42254,786443,627751,69848,5238,83605
