年次,Year,産業（大分類） Industry (Division),男女及び産業 (大分類),Gender and industry (Division),項番 Item number,産業（中分類） ,Industry (Major groups),総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees 1),1～4人 1-4 Persons／事業所数 Number of establishments,1～4人 1-4 Persons／従業者数 Number of employees 1),5～9人 5-9 Persons／事業所数 Number of establishments,5～9人 5-9 Persons／従業者数 Number of employees 1),10～19人 10-19 Persons／事業所数 Number of establishments,10～19人 10-19 Persons／従業者数 Number of employees 1),20～29人 20-29 Persons／事業所数 Number of establishments,20～29人 20-29 Persons／従業者数 Number of employees 1),30～49人 30-49 Persons／事業所数 Number of establishments,30～49人 30-49 Persons／従業者数 Number of employees 1),50～99人 50-99 Persons／事業所数 Number of establishments,50～99人 50-99 Persons／従業者数 Number of employees 1),100～199人 100-199 Persons／事業所数 Number of establishments,100～199人 100-199 Persons／従業者数 Number of employees 1),200～299人 200-299 Persons／事業所数 Number of establishments,200～299人 200-299 Persons／従業者数 Number of employees 1) ,300人以上 300 Persons and over／事業所数 Number of establishments,300人以上 300 Persons and over／従業者数 Number of employees 1) ,500人以上 500 Persons and over／事業所数 Number of establishments,500人以上 500 Persons and over／従業者数 Number of employees 1) ,出向・派遣従業者のみの事業所数 Number of establishments where all workers are on loan or dispatched from other places
平成21,2009,,総数,Total,,,,694212,9520835,381505,861657,144039,939555,83317,1123174,31317,745810,24731,931224,15329,1048034,6902,944064,2019,491378,3038,2435939,1530,1862092,2015
平成24,2012,,総数,Total,,,,627357,8655267,344619,775384,129556,846279,77125,1041783,28671,681433,20358,765470,13282,910535,6267,860469,1870,455099,2875,2318815,…,…,2734
平成24,2012,,男,Male,,,,-,5220831,-,421630,-,460131,-,605460,-,398863,-,445143,-,555069,-,546789,-,296734,-,1491012,…,…,-
平成24,2012,,女,Female,,,,-,3396365,-,353661,-,385890,-,433475,-,274602,-,309727,-,353864,-,312091,-,157640,-,815415,…,…,-
平成24,2012,Ａ,農業，林業,Agriculture and forestry,,,,439,3363,202,518,140,917,67,843,13,318,6,212,5,320,2,235,-,-,-,-,…,…,4
平成24,2012,Ａ,農業，林業,Agriculture and forestry,1,農業,Agriculture,409,3148,188,490,131,851,61,761,13,318,5,173,5,320,2,235,-,-,-,-,…,…,4
平成24,2012,Ａ,農業，林業,Agriculture and forestry,2,林業,Forestry,30,215,14,28,9,66,6,82,-,-,1,39,-,-,-,-,-,-,-,-,…,…,-
平成24,2012,Ｂ,漁業,Fisheries,,,,16,158,8,24,2,16,4,48,-,-,-,-,1,70,-,-,-,-,-,-,…,…,1
平成24,2012,Ｂ,漁業,Fisheries,1,漁業 (水産養殖業を除く) ,Fisheries， except aquaculture,11,57,6,19,2,16,2,22,-,-,-,-,-,-,-,-,-,-,-,-,…,…,1
平成24,2012,Ｂ,漁業,Fisheries,2,水産養殖業,Aquaculture,5,101,2,5,-,-,2,26,-,-,-,-,1,70,-,-,-,-,-,-,…,…,-
平成24,2012,＠,農業，林業，漁業間格付不能,Unable to classify within the Agriculture， Forestry and Fisheries,,,,7,64,1,2,4,27,1,11,1,24,-,-,-,-,-,-,-,-,-,-,…,…,-
平成24,2012,＠,農業，林業，漁業間格付不能,Unable to classify within the Agriculture， Forestry and Fisheries,@Z,農業，林業，漁業間格付不能,Unable to classify within the Agriculture， Forestry and Fisheries,7,64,1,2,4,27,1,11,1,24,-,-,-,-,-,-,-,-,-,-,…,…,-
平成24,2012,Ｃ,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,,,,52,465,23,54,8,52,9,122,7,163,2,74,-,-,-,-,-,-,-,-,…,…,3
平成24,2012,Ｃ,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,1,鉱業，採石業，砂利採取業,Mining and quarrying of stone and gravel,52,465,23,54,8,52,9,122,7,163,2,74,-,-,-,-,-,-,-,-,…,…,3
平成24,2012,Ｄ,建設業,Construction,,,,42564,468233,22602,54323,10581,69042,5457,72089,1541,36432,1140,43061,704,48458,282,38494,93,22273,118,84061,…,…,46
平成24,2012,Ｄ,建設業,Construction,1,総合工事業,Construction work， general including public and private construction work,14358,188353,7416,18048,3563,23273,1884,24982,572,13556,417,15886,258,17472,117,15964,47,11257,61,47915,…,…,23
平成24,2012,Ｄ,建設業,Construction,2,職別工事業 (設備工事業を除く),Construction work by specialist contractors， except equipment installation work,15019,105628,8916,20788,3517,22837,1671,21880,444,10454,279,10323,128,8711,41,5510,9,2060,6,3065,…,…,8
平成24,2012,Ｄ,建設業,Construction,3,設備工事業,Equipment installation work,12371,163355,5881,14516,3274,21453,1800,23882,481,11417,418,15866,305,21379,115,15812,36,8712,47,30318,…,…,14
平成24,2012,Ｄ,建設業,Construction,DZ,建設業内格付不能,Unable to classify within the Construction,816,10897,389,971,227,1479,102,1345,44,1005,26,986,13,896,9,1208,1,244,4,2763,…,…,1
平成24,2012,Ｅ,製造業,Manufacturing,,,,50051,706624,28774,66887,10576,68620,5439,73475,2118,50776,1357,51711,904,61935,419,57275,129,31927,239,244018,…,…,96
平成24,2012,Ｅ,製造業,Manufacturing,1,食料品製造業,Food,2361,67339,827,2096,573,3760,380,5140,202,4892,140,5397,113,7850,55,7780,25,6219,42,24205,…,…,4
平成24,2012,Ｅ,製造業,Manufacturing,2,飲料・たばこ・飼料製造業　　　　,Beverage， tobacco and feed,218,9784,82,211,55,352,26,365,13,310,12,458,6,398,9,1050,2,462,6,6178,…,…,7
平成24,2012,Ｅ,製造業,Manufacturing,3,繊維工業　　,Textile mill products,3682,20086,2599,5829,657,4272,273,3504,81,1949,38,1385,14,989,10,1351,3,807,-,-,…,…,7
平成24,2012,Ｅ,製造業,Manufacturing,4,木材・木製品製造業 (家具を除く),Lumber and wood products， except furniture,475,2698,338,729,77,488,43,564,8,188,5,187,2,139,1,126,1,277,-,-,…,…,-
平成24,2012,Ｅ,製造業,Manufacturing,5,家具・装備品製造業,Furniture and fixtures,1470,7927,1053,2405,308,1957,67,885,15,348,18,665,6,418,-,-,-,-,3,1249,…,…,-
平成24,2012,Ｅ,製造業,Manufacturing,6,パルプ・紙・紙加工品製造業,Pulp， paper and paper products,1740,16395,952,2335,416,2702,212,2846,78,1879,33,1246,26,1848,13,1751,4,944,2,844,…,…,4
平成24,2012,Ｅ,製造業,Manufacturing,7,印刷・同関連業,Printing and allied industries,8296,96770,4645,11235,1809,11789,930,12614,371,8823,257,9713,176,12168,65,8720,13,3186,21,18522,…,…,9
平成24,2012,Ｅ,製造業,Manufacturing,8,化学工業,Chemical and allied products,1034,54481,298,695,205,1368,178,2427,93,2210,80,3131,82,5641,37,5148,20,4916,22,28945,…,…,19
平成24,2012,Ｅ,製造業,Manufacturing,9,石油製品・石炭製品製造業　　,Petroleum and coal products,57,3926,12,31,16,113,13,189,6,140,4,148,1,55,2,213,1,260,2,2777,…,…,-
平成24,2012,Ｅ,製造業,Manufacturing,10,プラスチック製品製造業（別掲を除く）,Plastic products， except otherwise classified,2405,22027,1319,3096,575,3707,287,3892,108,2606,61,2381,32,2135,10,1370,3,710,4,2130,…,…,6
平成24,2012,Ｅ,製造業,Manufacturing,11,ゴム製品製造業　　　,Rubber products,798,10220,477,1129,175,1143,81,1123,37,891,12,453,6,397,2,331,3,734,4,4019,…,…,1
平成24,2012,Ｅ,製造業,Manufacturing,12,なめし革・同製品・毛皮製造業,Leather tanning， leather product and fur skins,1977,9643,1459,3134,304,1969,143,1916,38,914,22,889,9,600,2,221,-,-,-,-,…,…,-
平成24,2012,Ｅ,製造業,Manufacturing,13,窯業・土石製品製造業,Ceramic， stone and clay products,804,9048,427,946,151,986,124,1708,42,1013,35,1332,11,716,5,583,1,266,3,1498,…,…,5
平成24,2012,Ｅ,製造業,Manufacturing,14,鉄鋼業　　　　　　　　　　　　,Iron and steel,554,5991,328,716,108,701,52,693,24,572,15,588,14,1064,7,1062,1,269,1,326,…,…,4
