年度末,End of fiscal year,月末 ,End of month,銀行数 Number of banks,店舗数 Number of branches,資産 Assets／貸出金 Loans and bills discounted／総額 Total,資産 Assets／貸出金 Loans and bills discounted／割引手形 Bills discounted,資産 Assets／貸出金 Loans and bills discounted／手形貸付 Loans on bills,資産 Assets／貸出金 Loans and bills discounted／証書貸付 Loans on deeds,資産 Assets／貸出金 Loans and bills discounted／当座貸越 Overdrafts,資産 Assets／貸出金 Loans and bills discounted／(うち) 23区内 (of which) Ku area,資産 Assets／コールローン・買入手形 Call loans and bills bought,資産 Assets／商品有価証券 Trading account securities,資産 Assets／有価証券 Securities,資産 Assets／現金・預け金 Cash and due from banks／現金 Cash,資産 Assets／現金・預け金 Cash and due from banks／(うち) 小切手・手形 (of which) Checks and bills,資産 Assets／現金・預け金 Cash and due from banks／預け金 Due from banks,負債 Liabilities／預金 Deposits／総額 Total,負債 Liabilities／預金 Deposits／要求払預金 Demand deposits,負債 Liabilities／預金 Deposits／定期性預金 Time deposits,負債 Liabilities／預金 Deposits／その他預金 Other deposits,負債 Liabilities／預金 Deposits／(うち) 一般預金 (of which) Private deposits,負債 Liabilities／預金 Deposits／(うち) 23区内 (of which) Ku area,負債 Liabilities／譲渡性預金 Negotiable  certificates of deposit ,負債 Liabilities／コールマネー・売渡手形 Call money and bills sold,負債 Liabilities／借用金 Borrowed money
平成20,2008,総数,Total,104,1108,1771851,6281,68968,1335276,361196,1708471,112537,11537,1504207,24660,12297,79215,1703557,924420,635107,143926,1543766,1546614,252710,193235,201095
平成21,2009,総数,Total,103,1102,1727933,4816,58775,1354651,309546,1664982,119873,11003,1744139,24902,13886,82545,1727624,959709,648302,119531,1557567,1567496,251429,185821,164400
平成22,2010,総数,Total,101,1105,1705080,4456,55819,1339434,305235,1634966,108898,5957,1941683,32952,12976,169383,1806288,1043169,630738,132296,1633125,1633989,255219,180289,295028
平成23,2011,総数,Total,101,1110,1712953,4829,41684,1353866,312457,1651278,108759,8838,2069348,26572,14874,137364,1782726,1028891,634412,119327,1658780,1613456,252243,190180,279202
平成24,2012,総数,Total,99,1109,1768816,4345,36070,1416333,311946,1706557,129396,7555,1998574,26505,11851,218174,1857786,1066976,646351,144372,1712472,1683886,282785,218892,210738
平成24,2012,4,Apr.,100,1110,1701365,4449,42914,1357031,296848,1640058,106576,10465,2004402,21188,8753,141043,1745020,981049,640631,123258,1631892,1574697,254542,181838,266349
平成24,2012,5,May,99,1109,1690433,3799,42095,1353681,290741,1629340,109700,9709,1980510,30850,18407,122371,1769568,963089,636439,169947,1609115,1599804,258991,191354,252347
平成24,2012,6,June,99,1106,1708600,4386,42545,1360314,301237,1647383,120202,11656,2025631,20764,9246,133583,1741079,986674,641828,112500,1623521,1569607,256986,205370,251480
平成24,2012,7,July,99,1107,1698033,3762,42698,1355108,296341,1636990,122566,10563,1971250,23921,11657,120420,1731333,945753,643823,141676,1600225,1561381,279788,209756,247009
平成24,2012,8,Aug.,99,1107,1695570,3590,41449,1360010,290397,1634438,116257,11193,1980697,21678,9927,125305,1714557,931014,643410,140047,1588763,1544322,277491,194758,231264
平成24,2012,9,Sept.,98,1107,1721119,4311,37550,1370483,308662,1659486,118818,8290,1977471,22167,10838,134312,1760724,993435,650476,116733,1641015,1590407,262600,205613,235383
平成24,2012,10,Oct.,98,1106,1709545,3557,38016,1375021,292839,1648351,115278,11338,1932803,23345,11143,169820,1730704,945569,649074,135993,1600578,1560884,282208,198429,233923
平成24,2012,11,Nov.,98,1106,1715504,3563,38425,1378016,295385,1654091,130702,10746,1950520,24101,11829,142245,1757047,942978,651394,162597,1606166,1587059,288897,217416,212256
平成24,2012,12,Dec.,98,1106,1741684,4272,40687,1386183,310423,1679834,124918,13549,1944743,22437,9320,186099,1761053,987234,653890,119856,1641482,1588440,269823,211873,217161
平成25,2013,1,Jan.,98,1106,1738750,3586,39888,1391111,304042,1677296,124279,10340,1956314,24747,11731,151746,1775528,963127,653589,158734,1637376,1603533,283774,207222,192398
平成25,2013,2,Feb.,98,1108,1745719,3592,38543,1396344,307126,1684230,132094,9098,1966769,24609,11804,160903,1790972,967932,654701,168258,1647212,1618690,271837,222193,208154
平成25,2013,3,Mar.,99,1109,1768816,4345,36070,1416333,311946,1706557,129396,7555,1998574,26505,11851,218174,1857786,1066976,646351,144372,1712472,1683886,282785,218892,210738
,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　15  金融 15  FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,
15-1  銀行の主要勘定 (平成20～24年度末) 15-1  MAIN ACCOUNTS OF BANKS ( End of Fiscal Years 2008-2012 ),,,,,,,,,,,,,,,,,,,,,,,,,,
この表の 「銀行」 とは都市銀行， 地方銀行， 第二地方銀行協会加盟の地方銀行， 信託銀行，　新生銀行，あおぞら銀行及び農林中央金庫（平成19年7月より）をいう。,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this table， ""banks"" refer to city banks， regional banks， member banks of the Second Association of Regional Banks (regional banks II)， trust banks， Shinsei Bank， Aozora Bank and Norinchukin Bank.",,,,,,,,,,,,,,,,,,,,,,,,,,
資料：（一社）全国銀行協会金融調査部 Source: Japanese Bankers Association,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位  億円）(In hundred millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,
