年次,Year,月次 ,Month,店舗数 Stores,営業日数 (日) Business Days (days),従業者数 (人) Number of Employees (persons),売場面積 Sales Floor Area (1000m2),販売額 Sales／総額 Total,販売額 Sales／紳士服・洋品 Men's Clothes,販売額 Sales／婦人・子供服・洋品 Women's and Children's Clothes,販売額 Sales／その他の衣料品 Other Clothing,販売額 Sales／身の回り品 Accessories,販売額 Sales／飲食料品 Food and Beverages,販売額 Sales／家具 Furniture,販売額 Sales／家庭用電気機械器具 Household Electric Appliances,販売額 Sales／家庭用品 Household Equipment,販売額 Sales／その他の商品 Others,販売額 Sales／食堂・喫茶 Restaurants and Cafe,商品券 Gift Certificate
平成20,2008,総数,Total,295,363.4,38148,1469,1224354,33624,80992,20526,33044,733314,10840,35599,39056,233024,4336,3415
平成21,2009,総数,Total,307,363.2,38256,1487,1185363,30895,71487,16460,28727,731379,6793,31916,38332,226073,3300,3563
平成22,2010,総数,Total,322,363.1,38878,1509,1202590,24500,68293,22010,21781,746449,6492,36916,39422,233866,2861,3667
平成23,2011,総数,Total,332,362.9,38589,1518,1197752,24921,65218,21375,18369,753074,4945,34345,39322,233790,2394,3020
平成24,2012,総数,Total,334,363.6,37915,1517,1185116,27639,63626,13973,22963,754924,7670,28621,34199,229373,2129,3050
平成24,2012,1,Jan.,332,30.4,37772,1519,99243,2472,5662,1834,1538,62271,383,2748,3062,19079,194,236
平成24,2012,2,Feb.,331,28.6,36580,1517,90399,1524,4132,1212,1204,60112,305,2150,2780,16795,186,180
平成24,2012,3,Mar.,334,30.6,37081,1526,98892,1764,4920,869,2118,63321,688,2560,2872,19580,198,247
平成24,2012,4,Apr.,335,29.8,37003,1526,97313,2278,5525,886,2169,61517,637,2186,2825,19112,178,275
平成24,2012,5,May,334,30.8,37047,1524,97586,2381,5665,973,2099,62094,651,2208,2831,18506,178,209
平成24,2012,6,June,332,30,37285,1510,96507,2617,5465,1053,1982,61759,615,2255,2750,17839,175,299
平成24,2012,7,July,332,30.9,37182,1511,101967,2586,6207,1377,2063,64028,769,2740,2907,19100,189,281
平成24,2012,8,Aug.,332,30.9,36946,1506,95099,1858,4618,881,1839,61181,601,2204,2654,19082,180,206
平成24,2012,9,Sept.,333,29.9,36471,1514,91779,1532,4052,797,1836,60737,539,1999,2588,17545,155,217
平成24,2012,10,Oct.,333,30.9,36394,1514,95298,2440,5407,1161,1946,60646,722,1987,2651,18182,156,225
平成24,2012,11,Nov.,334,29.9,36477,1517,97501,2962,5861,1340,1958,60812,789,2285,2673,18667,154,259
平成24,2012,12,Dec.,334,30.9,37915,1517,123533,3225,6112,1590,2211,76445,971,3299,3608,25887,186,417
平成24,2012,区部(再掲),All ku ( Relisted ),223,363.9,24987,936,799589,18051,41350,9881,15000,497761,4854,18518,23834,168396,1945,2287
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,,,,,,
12-4  大型小売店販売額 (2) スーパー (平成20～24年) 12-4  LARGE-SCALE RETAIL STORE SALES (2) SUPERMARKETS ( 2008-2012 ),,,,,,,,,,,,,,,,,,,
「大型小売店」とは，従業者50人以上の百貨店及びスーパーをいう。 ,,,,,,,,,,,,,,,,,,,
売場面積の50％以上についてセルフサービス方式を採用している事業所であって，売場面積が1，500m2以上の事業所をいう。 ,,,,,,,,,,,,,,,,,,,
Large-scale retail stores refer to department stores and supermarkets with 50 or more employees.,,,,,,,,,,,,,,,,,,,
Supermarkets are establishments adopting a self-service system on 50 percent or more of their floor space and have a floor space of 1，500m2 or more.,,,,,,,,,,,,,,,,,,,
注) 年計の事業所数，  従業者及び売場面積の数値は， 12月末の数である。,,,,,,,,,,,,,,,,,,,
Note: Annual figures for the number of establishments， employees， and sales floor space are year-end numbers.,,,,,,,,,,,,,,,,,,,
資料：経済産業省 「商業販売統計年報」  Source: Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,,,,,,
（単位  金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,
