年次,Year,月次 ,Month,立会日数 Trading days,上場会社数(年・月末) Number of listed companies (End of y.& m.),時価総額(年・月末)(百万円) Market Capitalization (End of y.& m.) (million yen),一日平均売買株数(千株) Daily average trading volume (thousand shares),売買回転率 Turnover ratio (%),東証株価指数平均 (TOPIX) Tokyo stock price index average,単純株価平均 (円) Arithmetic stock price average (yen),単純平均利回り Average yield (%)
平成20,2008,総数,Total,245,1715,278988813,2210515,158.08,1187.82,308.05,1.93
平成21,2009,総数,Total,243,1684,302712168,2272011,154.34,869.33,245.11,2.24
平成22,2010,総数,Total,245,1670,305693030,2088554,135.69,885.43,240.36,1.91
平成23,2011,総数,Total,245,1672,251395748,2141414,139.94,820.8,228.49,2.03
平成24,2012,総数,Total,248,1695,296442945,2095784,140.67,768.64,219.08,2.18
平成24,2012,1,Jan.,19,1674,260147100,2008909,10.31,744.4,215.47,2.18
平成24,2012,2,Feb.,21,1673,287078517,2664570,15.1,799.32,227.72,2.07
平成24,2012,3,Mar.,21,1673,293741343,2503486,14.18,850.37,239.74,1.96
平成24,2012,4,Apr.,20,1676,277626576,1985887,10.7,817.43,231.83,2.03
平成24,2012,5,May,21,1676,248885004,1984231,11.24,745.33,214.01,2.24
平成24,2012,6,June,21,1676,265833000,1894023,10.75,733.19,210.23,2.3
平成24,2012,7,July,21,1674,254881454,1754986,9.94,746,213.45,2.24
平成24,2012,8,Aug.,23,1677,254050931,1680406,10.41,748.73,213.92,2.23
平成24,2012,9,Sept.,19,1673,256059767,1891772,9.78,742.65,211.57,2.26
平成24,2012,10,Oct.,22,1682,257801732,1887431,11.34,736.24,209.83,2.27
平成24,2012,11,Nov.,21,1690,271002872,2075938,11.83,753.21,214.22,2.22
平成24,2012,12,Dec.,19,1695,296442945,2912053,15.01,811.87,228.41,2.08
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　15  金融 15  FINANCE,,,,,,,,,,,
15-6  株式取引状況 (1) 第一部 (平成20～24年) 15-6  TRANSACTIONS OF STOCK (1) THE 1st SECTION ( 2008-2012 ),,,,,,,,,,,
この表については，数値の単位未満を切り捨てているため (ただし，平均値は，四捨五入) ，合計と内訳の計とが一致しない場合もある。,,,,,,,,,,,
Figures less than the unit are omitted， except that in the case of average figures a fraction of 0.5 or more is counted as a whole number and figures less than that is omitted. The total figures， therefore， may not coincide with the aggregate of subdivided figures.,,,,,,,,,,,
注) 単純株価平均及び単純平均利回りは全銘柄による。「東証株価指数」及び「 東証第二部株価指数」は昭和43年1月4日＝100 とする。,,,,,,,,,,,
Note: Arithmetic stock price average and average yield have been on all issues. “Tokyo stock price index” and “TSE second section stock price index” ; base : Jan. 4， 1968=100,,,,,,,,,,,
資料：(株)東京証券取引所 「東証統計月報」 Source: Tokyo Stock Exchange， Inc.,,,,,,,,,,,
