年度末,End of fiscal year,地域階層,地区コード,地域,District,総人口 (A) Total population 1),排水区域 Areas served by sewerage system／人口 (B) Population,排水区域 Areas served by sewerage system／計画面積 Planned area (ha),排水区域 Areas served by sewerage system／面積 Area　(ha),処理区域 Areas served by sewerage system and sewage treatment system／人口 Population,処理区域 Areas served by sewerage system and sewage treatment system／計画面積 Planned area (ha),処理区域Areas served by sewerage system and sewage treatment system／面積 Area (ha),終末処理場数 Number of sewage treatment plants 2),終末処理場数 Number of sewage treatment plants,普及率 (B／A) Sewerage system coverage (%),,,
平成22,2010,0,13000,総数,Tokyo-to,13056036,12984930,109258,105137,12984734,109254,104941,7,27,99,,,
平成23,2011,0,13000,総数,Tokyo-to,13079087,13016681,109260,105207,13016528,109256,105063,7,27,100,,,
平成24,2012,0,13000,総数,Tokyo-to,13118408,13062423,109338,105360,13062204,109334,105217,7,27,100,,,
平成24,2012,1,13100,区部,All ku,8966891,8957817,56375,56223,8957817,56375,56223,,13,100,,,
平成24,2012,2,13101,千代田区,Chiyoda-ku,52748,52748,1102,1102,52748,1102,1102,,-,100,,,
平成24,2012,2,13102,中央区,Chuo-ku,129640,129640,903,903,129640,903,903,,-,100,,,
平成24,2012,2,13103,港区,Minato-ku,232786,232616,1986,1970,232616,1986,1970,,1,100,,,
平成24,2012,2,13104,新宿区,Shinjuku-ku,320996,320996,1798,1798,320996,1798,1798,,1,100,,,
平成24,2012,2,13105,文京区,Bunkyo-ku,202123,202123,1138,1138,202123,1138,1138,,-,100,,,
平成24,2012,2,13106,台東区,Taito-ku,185904,185904,856,856,185904,856,856,,-,100,,,
平成24,2012,2,13107,墨田区,Sumida-ku,253003,253003,1195,1195,253003,1195,1195,,-,100,,,
平成24,2012,2,13108,江東区,Koto-ku,481031,479525,3432,3396,479525,3432,3396,,2,100,,,
平成24,2012,2,13109,品川区,Shinagawa-ku,366852,366504,2051,2045,366504,2051,2045,,-,100,,,
平成24,2012,2,13110,目黒区,Meguro-ku,266070,266070,1440,1440,266070,1440,1440,,-,100,,,
平成24,2012,2,13111,大田区,Ota-ku,698367,698053,4804,4797,698053,4804,4797,,1,100,,,
平成24,2012,2,13112,世田谷区,Setagaya-ku,862840,862363,5726,5708,862363,5726,5708,,-,100,,,
平成24,2012,2,13113,渋谷区,Shibuya-ku,212932,212932,1511,1511,212932,1511,1511,,-,100,,,
平成24,2012,2,13114,中野区,Nakano-ku,312303,312303,1566,1566,312303,1566,1566,,1,100,,,
平成24,2012,2,13115,杉並区,Suginami-ku,541253,540936,3338,3332,540936,3338,3332,,-,100,,,
平成24,2012,2,13116,豊島区,Toshima-ku,269463,269463,1299,1299,269463,1299,1299,,-,100,,,
平成24,2012,2,13117,北区,Kita-ku,333406,333406,1836,1836,333406,1836,1836,,1,100,,,
平成24,2012,2,13118,荒川区,Arakawa-ku,206749,206749,887,887,206749,887,887,,1,100,,,
平成24,2012,2,13119,板橋区,Itabashi-ku,537668,537599,2997,2994,537599,2997,2994,,1,100,,,
平成24,2012,2,13120,練馬区,Nerima-ku,709609,709376,4684,4677,709376,4684,4677,,-,100,,,
平成24,2012,2,13121,足立区,Adachi-ku,669592,666244,4787,4775,666244,4787,4775,,2,100,,,
平成24,2012,2,13122,葛飾区,Katsushika-ku,446612,445426,2996,2961,445426,2996,2961,,1,100,,,
平成24,2012,2,13123,江戸川区,Edogawa-ku,674944,673838,4043,4037,673838,4043,4037,,1,100,,,
平成24,2012,1,13200,市部,All shi,4089528,4048945,51104,47590,4048726,51100,47447,7,12,99,,,
平成24,2012,2,13201,八王子市,Hachioji-shi,562679,558880,8739,8379,558799,8739,8377,1,2,99,,,
平成24,2012,2,13202,立川市,Tachikawa-shi,178127,178127,2278,2172,178127,2278,2172,,1,100,,,
平成24,2012,2,13203,武蔵野市,Musashino-shi,139535,139535,1073,1073,139535,1073,1073,,-,100,,,
平成24,2012,2,13204,三鷹市,Mitaka-shi,179938,179938,1650,1644,179938,1650,1644,,1,100,,,
平成24,2012,2,13205,青梅市,Ome-shi,138431,130461,2367,2049,130461,2367,2049,,-,94,,,
平成24,2012,2,13206,府中市,Fuchu-shi,252004,252004,2725,2725,252004,2725,2725,1,1,100,,,
平成24,2012,2,13207,昭島市,Akishima-shi,112932,112850,1507,1378,112850,1507,1378,1,1,100,,,
平成24,2012,2,13208,調布市,Chofu-shi,223220,223220,2037,1955,223220,2037,1955,,-,100,,,
平成24,2012,2,13209,町田市,Machida-shi,426205,416056,5419,4842,416056,5419,4842,,2,98,,,
平成24,2012,2,13210,小金井市,Koganei-shi,116445,116445,1133,1133,116445,1133,1133,,-,100,,,
平成24,2012,2,13211,小平市,Kodaira-shi,185320,185320,2046,2046,185320,2046,2046,,-,100,,,
平成24,2012,2,13212,日野市,Hino-shi,178543,167405,2397,2212,167405,2397,2212,1,1,94,,,
平成24,2012,2,13213,東村山市,Higashimurayama-shi,152468,152468,1696,1696,152468,1696,1696,,-,100,,,
平成24,2012,2,13214,国分寺市,Kokubunji-shi,118190,117813,1148,1139,117813,1148,1139,,-,100,,,
平成24,2012,2,13215,国立市,Kunitachi-shi,74381,74381,796,783,74381,792,792,1,1,100,,,
平成24,2012,2,13218,福生市,Fussa-shi,59055,59055,1000,653,59055,1000,653,,-,100,,,
平成24,2012,2,13219,狛江市,Komae-shi,77209,77209,582,582,77209,582,582,,-,100,,,
平成24,2012,2,13220,東大和市,Higashiyamato-shi,84671,84624,1009,983,84624,1009,983,,-,100,,,
平成24,2012,2,13221,清瀬市,Kiyose-shi,74010,73979,1019,866,73979,1019,866,1,1,100,,,
平成24,2012,2,13222,東久留米市,Higashikurume-shi,116015,116015,1292,1292,116015,1292,1292,,-,100,,,
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,71975,71970,1290,1159,71970,1290,1159,,-,100,,,
平成24,2012,2,13224,多摩市,Tama-shi,145950,145935,2019,2014,145935,2019,2014,,-,100,,,
平成24,2012,2,13225,稲城市,Inagi-shi,85841,84536,1747,1009,84536,1747,1009,1,1,98,,,
平成24,2012,2,13227,羽村市,Hamura-shi,57133,57133,905,905,57133,905,822,,-,100,,,
平成24,2012,2,13228,あきる野市,Akiruno-shi,81804,76141,1645,1317,76003,1645,1250,,-,93,,,
平成24,2012,2,13229,西東京市,Nishitokyo-shi,197447,197445,1585,1585,197445,1585,1585,,-,100,,,
平成24,2012,1,13300,郡部,All gun,59085,53844,1772,1477,53844,1772,1477,,1,91,,,
平成24,2012,2,13303,瑞穂町,Mizuho-machi,33814,32695,830,741,32695,830,741,,-,97,,,
平成24,2012,2,13305,日の出町,Hinode-machi,16989,16981,700,530,16981,700,530,,-,100,,,
平成24,2012,2,13307,檜原村,Hinohara-mura,2509,1828,95,83,1828,95,83,,-,73,,,
平成24,2012,2,13308,奥多摩町,Okutama-machi,5773,2340,147,123,2340,147,123,,1,41,,,
平成24,2012,1,13350,島部,All islands,2904,1817,87,70,1817,87,70,,1,63,,,
平成24,2012,2,13363,新島村,Niijima-mura,2904,1817,87,70,1817,87,70,,1,63,,,
,,,,,,,,,,,,,,,,,,
6-8  地域別下水道の普及状況 （平成22～24年度末） ,,,,,,,,,,,,,,,,,,
6-8 SEWERAGE SERVICE BY DISTRICT (End of Fiscal Years 2010～2012) ,,,,,,,,,,,,,,,,,,
　注． 1) 総人口は， 住民基本台帳人口である。 ,,,,,,,,,,,,,,,,,,
　 　　 2) 終末処理場の （　） 内の数値は流域下水道にかかるものであり， 内数である。 ,,,,,,,,,,,,,,,,,,
　Note: 1) Total population data from the Basic Resident Register. ,,,,,,,,,,,,,,,,,,
　2) Figures in parentheses show the number of sewage treatment plants for a regional sewerage system within the total number ,,,,,,,,,,,,,,,,,,
　　　　　　 (figures on the right). ,,,,,,,,,,,,,,,,,,
資料：都下水道局総務部広報サービス課，同都市整備局都市基盤部調整課 ,,,,,,,,,,,,,,,,,,
　Source : Bureau of Sewerage， T.M.G.， Bureau of Urban Development， T.M.G.,,,,,,,,,,,,,,,,,, 
