年次,Year,地域階層,地区コード,地域,District,総数 Total,男 Male,女 Female
平成21,2009,0,13000,東京都,Tokyo-to,10628472,5247216,5381256
平成22,2010,0,13000,東京都,Tokyo-to,10669672,5260382,5409290
平成23,2011,0,13000,東京都,Tokyo-to,10708899,5273506,5435393
平成24,2012,0,13000,東京都,Tokyo-to,10743373,5285004,5458369
平成25,2013,0,13000,東京都,Tokyo-to,10796645,5307987,5488658
平成25,2013,1,13100,区部,All ku,7392821,3627055,3765766
平成25,2013,3,13101,千代田区,Chiyoda-ku,43396,21389,22007
平成25,2013,3,13102,中央区,Chuo-ku,108359,50868,57491
平成25,2013,3,13103,港区,Minato-ku,184551,85076,99475
平成25,2013,3,13104,新宿区,Shinjuku-ku,256922,128124,128798
平成25,2013,3,13105,文京区,Bunkyo-ku,167885,79107,88778
平成25,2013,3,13106,台東区,Taito-ku,153120,78854,74266
平成25,2013,3,13107,墨田区,Sumida-ku,210345,105507,104838
平成25,2013,3,13108,江東区,Koto-ku,391228,193991,197237
平成25,2013,3,13109,品川区,Shinagawa-ku,309193,150769,158424
平成25,2013,3,13110,目黒区,Meguro-ku,225777,104661,121116
平成25,2013,3,13111,大田区,Ota-ku ,581341,290444,290897
平成25,2013,3,13112,世田谷区,Setagaya-ku,722671,339347,383324
平成25,2013,3,13113,渋谷区,Shibuya-ku,180735,85312,95423
平成25,2013,3,13114,中野区,Nakano-ku,268579,135015,133564
平成25,2013,3,13115,杉並区,Suginami-ku,462973,220486,242487
平成25,2013,3,13116,豊島区,Toshima-ku,222590,112288,110302
平成25,2013,3,13117,北区,Kita-ku,278565,137972,140593
平成25,2013,3,13118,荒川区,Arakawa-ku,163003,81202,81801
平成25,2013,3,13119,板橋区,Itabashi-ku,445703,220578,225125
平成25,2013,3,13120,練馬区,Nerima-ku,581479,283179,298300
平成25,2013,3,13121,足立区,Adachi-ku,540085,271532,268553
平成25,2013,3,13122,葛飾区,Katsushika-ku,363152,181700,181452
平成25,2013,3,13123,江戸川区,Edogawa-ku,531169,269654,261515
平成25,2013,1,13200,市部,All shi,3332263,1644956,1687307
平成25,2013,3,13201,八王子市,Hachioji-shi,455819,227890,227929
平成25,2013,3,13202,立川市,Tachikawa-shi,145344,72430,72914
平成25,2013,3,13203,武蔵野市,Musashino-shi,117708,55669,62039
平成25,2013,3,13204,三鷹市,Mitaka-shi,148375,72324,76051
平成25,2013,3,13205,青梅市,Ome-shi,113104,56609,56495
平成25,2013,3,13206,府中市,Fuchu-shi,204080,103381,100699
平成25,2013,3,13207,昭島市,Akishima-shi,91949,45984,45965
