年,Year,区分,Classification,数量 Number,金額 Value（千円 in thousands of yen）
平成22,2010,総数,Total,…,89451706
平成23,2011,総数,Total,…,83088535
平成24,2012,総数,Total,…,86447112
平成24,2012,切花（本）,Cut flowers (stems),936932046,57485423
平成24,2012,切葉（枚）,Cut leaves (pieces),81444487,2255043
平成24,2012,切枝（束）,Cut tree branches (bundles),28175036,4794279
平成24,2012,鉢物（鉢）,Potted flowers (pots),35284879,16543746
平成24,2012,苗物（箱）,Bedding plants (boxes),3324334,4782666
平成24,2012,その他花き（箱）,Others (boxes),897269,585954
,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,
10-4  花きの部類別取扱高 （平成22～24年） 10-4 TOTAL TRANSACTIONS IN FLOWERS BY TYPE（ 2010-2014 ）,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,
（単位　金額　千円） （Value in thousands of yen),,,,,
