年次,Year,区分,Classification,港または空港,Seaport or airport ,総数 Total,アジア Asia,ヨーロッパ Europe,アフリカ Africa,北アメリカ North America,南アメリカ South America,オセアニア Oceania,無国籍 No nationality
平成22,2010,出国, Departure,総数,Total,4992725,3283392,685978,17377,754892,56765,193728,593
平成23,2011,出国, Departure,総数,Total,3763993,2512198,461988,16502,580421,54523,137770,591
平成24,2012,出国, Departure,総数,Total,4664876,3062365,621552,20960,730604,63141,165773,481
平成24,2012,出国, Departure,東京,Tokyo,39,25,4,-,10,-,-,-
平成24,2012,出国, Departure,羽田（空港）,Haneda(Airport),1129411,892878,89298,2149,119164,5130,20694,98
平成24,2012,出国, Departure,成田（空港）,Narita(Airport),3535426,2169462,532250,18811,611430,58011,145079,383
平成22,2010,入国, Entry,総数,Total,4947685,3227969,691093,17081,761137,54940,194969,496
平成23,2011,入国, Entry,総数,Total,3728570,2486288,462308,16257,580304,48644,134267,502
平成24,2012,入国, Entry,総数,Total,4660688,3036606,627955,21140,739312,64521,170693,461
平成24,2012,入国, Entry,東京,Tokyo,933,335,37,-,517,-,44,-
平成24,2012,入国, Entry,羽田（空港）,Haneda(Airport),1097511,866100,87464,2375,114369,5190,21927,86
平成24,2012,入国, Entry,成田（空港）,Narita(Airport),3562244,2170171,540454,18765,624426,59331,148722,375
,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,
4-26　国籍別出入国者数 (平成22～24年) 4-26 PERSONS WHO ENTERED OR DEPARTED FROM TOKYO BY NATIONALITY ( 2010-2012 ) ,,,,,,,,,,,,,
資料：法務省 「出入国管理統計年報」 Source: Ministry of Justice,,,,,,,,,,,,,
