年次,Year,地域階層,地域コード,項番 Item number,地域,District,発生件数 Number of fires／総数 Total,発生件数 Number of fires／建物 Buildings,発生件数 Number of fires／車両 Vehicles,発生件数 Number of fires／船舶 Vessels,発生件数 Number of fires／林野 Forests,発生件数 Number of fires／その他 Others,被災世帯数 Households damaged／全損 Total destruction,被災世帯数 Households damaged／半損 Significant partial destruction,被災世帯数 Households damaged／小損 Partial destruction,被災延面積 Total area damaged／建物 Buildings (m2),被災延面積 Total area damaged／林野 Forests (m2),死傷者 Killed or injured／死者 Killed,死傷者 Killed or injured／傷者 Injured,損害見積額 Estimated amount of loss (千円 in thousand yen)
平成23,2011,0,13000,,総数,Tokyo-to,5388,3280,408,2,10,1688,265,255,2268,27231,957,86,956,5019034
平成24,2012,0,13000,,総数,Tokyo-to,5131,3370,305,2,8,1446,227,255,2123,25742,15907,116,838,4916557
平成24,2012,1,13100,,区部,All ku　,3744,2582,206,2,-,954,143,182,1568,15170,-,84,607,2967664
平成24,2012,2,13101,1,千代田区,Chiyoda-ku ,122,97,4,-,-,21,-,-,9,68,-,-,20,83653
平成24,2012,2,13102,2,中央区,Chuo-ku,124,89,6,1,-,28,1,8,20,368,-,2,19,108532
平成24,2012,2,13103,3,港区,Minato-ku,196,149,12,-,-,35,1,3,32,150,-,-,20,56447
平成24,2012,2,13104,4,新宿区,Shinjuku-ku,245,189,15,-,-,41,5,10,66,532,-,3,36,109403
平成24,2012,2,13105,5,文京区,Bunkyo-ku,71,54,4,-,-,13,-,6,21,280,-,2,11,38938
平成24,2012,2,13106,6,台東区,Taito-ku,102,79,5,-,-,18,5,6,56,242,-,1,25,63641
平成24,2012,2,13107,7,墨田区,Sumida-ku,87,64,3,-,-,20,2,4,37,607,-,2,15,205358
平成24,2012,2,13108,8,江東区,Koto-ku,191,128,15,-,-,48,5,2,67,351,-,3,16,66934
平成24,2012,2,13109,9,品川区,Shinagawa-ku ,128,95,11,-,-,22,3,3,63,311,-,4,21,94317
平成24,2012,2,13110,10,目黒区,Meguro-ku,83,60,8,-,-,15,2,-,41,181,-,-,13,46169
平成24,2012,2,13111,11,大田区,Ota-ku,247,164,20,-,-,63,17,19,127,1115,-,6,48,416022
平成24,2012,2,13112,12,世田谷区,Setagaya-ku,227,154,15,-,-,58,8,13,118,827,-,5,46,169878
平成24,2012,2,13113,13,渋谷区,Shibuya-ku,123,90,5,-,-,28,2,2,38,170,-,1,18,93167
平成24,2012,2,13114,14,中野区,Nakano-ku,111,79,5,-,-,27,12,6,77,880,-,4,17,62456
平成24,2012,2,13115,15,杉並区,Suginami-ku,133,101,7,-,-,25,12,20,109,935,-,4,36,137200
平成24,2012,2,13116,16,豊島区,Toshima-ku,141,92,6,-,-,43,4,3,54,175,-,-,19,55453
平成24,2012,2,13117,17,北区,Kita-ku,171,109,3,-,-,59,10,8,46,1240,-,3,22,77086
平成24,2012,2,13118,18,荒川区,Arakawa-ku,86,67,2,-,-,17,4,4,65,544,-,2,28,182971
平成24,2012,2,13119,19,板橋区,Itabashi-ku,181,113,13,-,-,55,13,9,105,1150,-,10,37,91477
平成24,2012,2,13120,20,練馬区,Nerima-ku,191,127,6,-,-,58,8,19,95,1135,-,7,28,144765
平成24,2012,2,13121,21,足立区,Adachi-ku,336,201,17,1,-,117,9,10,125,1717,-,9,51,348436
平成24,2012,2,13122,22,葛飾区,Katsushika-ku,211,136,8,-,-,67,7,12,93,1053,-,7,24,171623
平成24,2012,2,13123,23,江戸川区,Edogawa-ku ,237,145,16,-,-,76,13,15,104,1139,-,9,37,143738
平成24,2012,1,13200,,市部,All shi ,1337,762,95,-,2,478,81,73,551,9698,121,30,224,1657382
平成24,2012,2,13201,1,八王子市,Hachioji-shi,176,100,17,-,2,57,9,5,69,1398,121,3,20,167698
平成24,2012,2,13202,2,立川市,Tachikawa-shi,50,27,5,-,-,18,2,6,18,283,-,1,10,34043
平成24,2012,2,13203,3,武蔵野市,Musashino-shi,42,30,2,-,-,10,1,2,11,137,-,1,9,34181
平成24,2012,2,13204,4,三鷹市,Mitaka-shi,56,25,5,-,-,26,4,2,16,334,-,-,4,63584
平成24,2012,2,13205,5,青梅市,Ome-shi,51,27,4,-,-,20,4,3,20,941,-,2,14,62882
平成24,2012,2,13206,6,府中市,Fuchu-shi,85,36,11,-,-,38,3,4,29,330,-,-,11,106280
