年度,Fiscal year,系統,Line,駅,Station,マーク Mark,総数 Total／発 Departure,総数 Total／着 Arrival,車扱貨物 Carload freight／発 Departure,車扱貨物 Carload freight／着 Arrival,コンテナ貨物 Container freight／発 Departure,コンテナ貨物 Container freight／着 Arrival
平成20,2008,総数,Total,,,,2163017,3182904,53674,561122,2109343,2621782
平成21,2009,総数,Total,,,,2034150,2989010,57342,539511,1976808,2449499
平成22,2010,総数,Total,,,,1969215,2948991,60518,475896,1908697,2473095
平成23,2011,総数,Total,,,,1899436,2765152,59525,447492,1839911,2317660
平成24,2012,総数,Total,,,,1968053,3072475,69839,580634,1898214,2491841
平成24,2012,うち区部,Ku area only,,,,1882189,2433617,11275,2453,1870914,2431164
平成24,2012,東海道本線,Tokaido Line,,,※,1248694,1455685,75,1653,1248619,1454032
平成24,2012,東海道本線,Tokaido Line,品川,Shinagawa,,-,-,-,-,-,-
平成24,2012,東海道本線,Tokaido Line,東京貨物ターミナル,Tokyo freight terminal,,1248694,1455685,75,1653,1248619,1454032
平成24,2012,中央線,Chuo Line,,,,78664,602499,51364,541822,27300,60677
平成24,2012,中央線,Chuo Line,中野,Nakano,※,-,-,-,-,-,-
平成24,2012,中央線,Chuo Line,八王子,Hachioji,,78664,602499,51364,541822,27300,60677
平成24,2012,青梅線,Ome Line,,,,7200,36359,7200,36359,-,-
平成24,2012,青梅線,Ome Line,拝島,Haijima,,7200,36359,7200,36359,-,-
平成24,2012,東北本線,Tohoku Line,,,※,10,134620,-,-,10,134620
平成24,2012,東北本線,Tohoku Line,田端操,Tabataso,,-,-,-,-,-,-
平成24,2012,東北本線,Tohoku Line,北王子,Kitaoji,,10,134620,-,-,10,134620
平成24,2012,常磐線,Joban Line,,,※,622285,843312,-,800,622285,842512
平成24,2012,常磐線,Joban Line,金町,Kanamachi,,-,-,-,-,-,-
平成24,2012,常磐線,Joban Line,綾瀬,Ayase,,-,800,-,800,-,-
平成24,2012,常磐線,Joban Line,隅田川,Sumidagawa,,622285,842512,-,-,622285,842512
平成24,2012,総武線,Sobu Line,,,※,11200,-,11200,-,-,-
平成24,2012,総武線,Sobu Line,新小岩操,Shinkoiwaso,,9882,-,9882,-,-,-
平成24,2012,総武線,Sobu Line,越中島,Etchujima,,1318,-,1318,-,-,-
,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,
4-16  J R 貨物の駅別貨物発着量 (平成20～24年度) 4-16  VOLUME OF FREIGHT TRANSPORTED BY JAPAN FREIGHT RAILWAY COMPANY BY STATION ( Fiscal Years 2008-2012 ),,,,,,,,,,,,
注) ※印は区部にある駅 （線） を示す。,,,,,,,,,,,,
Note: Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,,,,
資料：日本貨物鉄道株式会社関東支社 Source: Japan Freight Railway Company,,,,,,,,,,,,
（単位　トン） (In metric tons),,,,,,,,,,,,
