年度末,End of fiscal year,地域階層,地域コード,地域,District,郵便局 Post offices／総数 Total,郵便局 Post offices／郵便局(直営) Post offices(direct management),郵便局 Post offices／簡易郵便局 Postal agencies,郵便差出箱 Mailboxes,郵便切手類販売所 Stamp and revenue stamp shops
平成23,2011,0,13000,総数,Tokyo-to,1511,1504,7,11401,9692
平成24,2012,0,13000,総数,Tokyo-to,1512,1506,6,11017,10334
平成24,2012,1,13100,区部,All ku,1067,1066,1,7723,7590
平成24,2012,3,13101,千代田区,Chiyoda-ku,53,53,-,419,405
平成24,2012,3,13102,中央区,Chuo-ku,51,51,-,405,311
平成24,2012,3,13103,港区,Minato-ku,55,55,-,508,574
平成24,2012,3,13104,新宿区,Shinjuku-ku,56,56,-,399,474
平成24,2012,3,13105,文京区,Bunkyo-ku,34,34,-,238,200
平成24,2012,3,13106,台東区,Taito-ku,34,34,-,265,229
平成24,2012,3,13107,墨田区,Sumida-ku,26,26,-,213,211
平成24,2012,3,13108,江東区,Koto-ku,43,43,-,361,372
平成24,2012,3,13109,品川区,Shinagawa-ku,43,43,-,311,324
平成24,2012,3,13110,目黒区,Meguro-ku,24,24,-,198,230
平成24,2012,3,13111,大田区,Ota-ku,72,72,-,490,455
平成24,2012,3,13112,世田谷区,Setagaya-ku,80,80,-,574,524
平成24,2012,3,13113,渋谷区,Shibuya-ku,37,37,-,313,386
平成24,2012,3,13114,中野区,Nakano-ku,30,30,-,206,211
平成24,2012,3,13115,杉並区,Suginami-ku,52,52,-,367,317
平成24,2012,3,13116,豊島区,Toshima-ku,36,35,1,223,272
平成24,2012,3,13117,北区,Kita-ku,42,42,-,367,239
平成24,2012,3,13118,荒川区,Arakawa-ku,20,20,-,133,124
平成24,2012,3,13119,板橋区,Itabashi-ku,48,48,-,338,326
平成24,2012,3,13120,練馬区,Nerima-ku,62,62,-,394,352
平成24,2012,3,13121,足立区,Adachi-ku,68,68,-,385,400
平成24,2012,3,13122,葛飾区,Katsushika-ku,45,45,-,270,270
平成24,2012,3,13123,江戸川区,Edogawa-ku,56,56,-,346,384
平成24,2012,1,13200,市部,All shi,408,407,1,3079,2595
平成24,2012,3,13201,八王子市,Hachioji-shi,64,64,-,455,356
平成24,2012,3,13202,立川市,Tachikawa-shi,18,18,-,139,143
平成24,2012,3,13203,武蔵野市,Musashino-shi,16,16,-,111,85
平成24,2012,3,13204,三鷹市,Mitaka-shi,19,19,-,114,119
平成24,2012,3,13205,青梅市,Ome-shi,16,16,-,123,104
平成24,2012,3,13206,府中市,Fuchu-shi,24,24,-,180,199
平成24,2012,3,13207,昭島市,Akishima-shi,12,12,-,88,77
平成24,2012,3,13208,調布市,Chofu-shi,22,22,-,153,138
平成24,2012,3,13209,町田市,Machida-shi,34,34,-,348,244
平成24,2012,3,13210,小金井市,Koganei-shi,10,10,-,83,80
平成24,2012,3,13211,小平市,Kodaira-shi,18,18,-,139,118
平成24,2012,3,13212,日野市,Hino-shi,17,17,-,124,94
平成24,2012,3,13213,東村山市,Higashimurayama-shi,12,11,1,94,77
平成24,2012,3,13214,国分寺市,Kokubunji-shi,11,11,-,85,66
平成24,2012,3,13215,国立市,Kunitachi-shi,10,10,-,63,52
平成24,2012,3,13218,福生市,Fussa-shi,6,6,-,58,48
平成24,2012,3,13219,狛江市,Komae-shi,7,7,-,44,38
平成24,2012,3,13220,東大和市,Higashiyamato-shi,8,8,-,55,45
平成24,2012,3,13221,清瀬市,Kiyose-shi,7,7,-,63,50
平成24,2012,3,13222,東久留米市,Higashikurume-shi,12,12,-,84,70
平成24,2012,3,13223,武蔵村山市,Musashimurayama-shi,7,7,-,54,50
平成24,2012,3,13224,多摩市,Tama-shi,15,15,-,111,80
平成24,2012,3,13225,稲城市,Inagi-shi,7,7,-,54,45
平成24,2012,3,13227,羽村市,Hamura-shi,5,5,-,49,48
平成24,2012,3,13228,あきる野市,Akiruno-shi,12,12,-,94,83
平成24,2012,3,13229,西東京市,Nishitokyo-shi ,19,19,-,114,86
平成24,2012,1,13300,郡部,All gun,10,9,1,109,69
平成24,2012,1,13350,島部,All islands,27,24,3,106,80
平成24,2012,2,13360,大島支庁,Oshima-shicho,12,11,1,51,29
平成24,2012,2,13380,三宅支庁,Miyake-shicho,6,6,-,17,6
平成24,2012,2,13400,八丈支庁,Hachijo-shicho,7,6,1,32,17
平成24,2012,2,13420,小笠原支庁,Ogasawara-shicho,2,1,1,6,28
,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,
5-1　地域別郵便局数等 (平成23，24年度末) 5-1 POST OFFICES BY DISTRICT ( End of Fiscal Years 2011 and 2012 ),,,,,,,,,,
資料：日本郵便株式会社東京支社 Source:  Japan Post Co.， Ltd.,,,,,,,,,,
地域階層(0:東京都　1:区部・市部・郡部・島部　2:支庁　3:区市町村),,,,,,,,,,
