年度末,End of fiscal year,地域階層,地域コード,地域,District,マーク Mark,総数 Total,都営住宅 Metropolitan housing,福祉住宅等 Welfare housing etc. 2),都民住宅 Tokyo Metropolitan Tomin housing／都施行 Built by TMG,都民住宅 Tokyo Metropolitan Tomin housing／その他 Others,区市町村住宅 Municipal housing 4)／公営 Public,区市町村住宅 Municipal housing 4)／その他 Others,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／都施行 Built by TMG,高齢者向け優良賃貸住宅 Good quality rental housing for the elderly／区市施行 Built by municipalities,公社一般賃貸住宅 Tokyo Metropolitan Public Housing Corporation housing,都市機構賃貸住宅 Urban Renaissance Agency housing 1) 
平成21,2009,0,,総数,Total,,561177,258200,699,3832,31317,21077,10193,60,528,62625,172646
平成22,2010,0,,総数,Total,,559276,258026,677,3831,30477,21071,10196,60,584,62397,171957
平成23,2011,0,,総数,Total,,555383,257706,568,3831,29414,21192,10207,60,664,62531,169210
平成24,2012,0,,総数,Total,,553724,257174,526,3891,28528,21177,10123,60,994,62652,168599
平成24,2012,1,13100,区部,All ku,,347518,165782,131,1908,22123,13380,9493,26,919,30076,103680
平成24,2012,2,13101,千代田区,Chiyoda-ku,,1525,292,-,14,203,325,476,-,68,97,50
平成24,2012,2,13102,中央区,Chuo-ku,,8604,1452,-,-,422,130,1153,-,27,425,4995
平成24,2012,2,13103,港区,Minato-ku,,10960,5025,-,175,966,197,757,-,-,162,3678
平成24,2012,2,13104,新宿区,Shinjuku-ku,,10476,7291,-,4,308,989,517,-,-,311,1056
平成24,2012,2,13105,文京区,Bunkyo-ku,,2490,585,-,1,215,225,314,-,-,264,886
平成24,2012,2,13106,台東区,Taito-ku,,2163,1046,-,-,345,169,444,-,-,-,159
平成24,2012,2,13107,墨田区,Sumida-ku,,11969,6609,-,122,1047,355,462,-,61,269,3044
平成24,2012,2,13108,江東区,Koto-ku,,45417,20455,-,352,2275,570,78,-,-,4823,16864
平成24,2012,2,13109,品川区,Shinagawa-ku,,10661,3463,-,27,480,409,1301,-,147,544,4290
平成24,2012,2,13110,目黒区,Meguro-ku,,2946,666,-,119,206,654,375,-,-,-,926
平成24,2012,2,13111,大田区,Ota-ku,,14959,6521,35,94,1381,1655,701,-,-,1295,3277
平成24,2012,2,13112,世田谷区,Setagaya-ku,,20220,6233,-,1,825,1453,1003,-,-,4882,5823
平成24,2012,2,13113,渋谷区,Shibuya-ku,,3974,2251,-,-,208,423,114,-,-,130,848
平成24,2012,2,13114,中野区,Nakano-ku,,5782,2221,-,12,532,546,220,-,20,1989,242
平成24,2012,2,13115,杉並区,Suginami-ku,,6366,3274,12,4,441,1103,68,-,-,604,860
平成24,2012,2,13116,豊島区,Toshima-ku,,3903,1345,-,-,286,380,437,-,85,146,1224
平成24,2012,2,13117,北区,Kita-ku,,28380,13495,20,76,668,872,191,-,5,996,12057
平成24,2012,2,13118,荒川区,Arakawa-ku,,6669,3986,-,131,661,86,296,-,9,6,1494
平成24,2012,2,13119,板橋区,Itabashi-ku,,27542,11330,17,30,1304,664,386,-,-,2587,11224
平成24,2012,2,13120,練馬区,Nerima-ku,,24408,12644,-,98,3105,883,71,26,-,1567,6014
平成24,2012,2,13121,足立区,Adachi-ku,,49189,31145,38,411,2132,733,77,-,73,2240,12340
平成24,2012,2,13122,葛飾区,Katsushika-ku,,20847,11589,9,54,1536,494,52,-,240,94,6779
平成24,2012,2,13123,江戸川区,Edogawa-ku,,28068,12864,-,183,2577,65,-,-,184,6645,5550
平成24,2012,1,13200,市部,All shi,,203382,90414,-,1966,6405,6473,520,34,75,32576,64919
平成24,2012,2,13201,八王子市,Hachioji-shi,,25253,10778,-,608,1089,1318,-,-,-,2927,8533
平成24,2012,2,13202,立川市,Tachikawa-shi,,12726,5196,-,58,652,505,5,-,-,1352,4958
平成24,2012,2,13203,武蔵野市,Musashino-shi,,4606,1967,-,2,269,199,105,-,-,-,2064
平成24,2012,2,13204,三鷹市,Mitaka-shi,,7235,3814,-,85,343,129,37,-,-,-,2827
平成24,2012,2,13205,青梅市,Ome-shi,,2215,405,-,16,36,749,1,-,-,1008,-
平成24,2012,2,13206,府中市,Fuchu-shi,,6896,4526,-,59,276,679,153,-,-,-,1203
平成24,2012,2,13207,昭島市,Akishima-shi,,6864,4163,-,16,161,20,13,-,-,991,1500
平成24,2012,2,13208,調布市,Chofu-shi,,9520,4695,-,82,339,267,28,-,-,1040,3069
平成24,2012,2,13209,町田市,Machida-shi,,27735,8065,-,125,499,548,7,-,-,9830,8661
平成24,2012,2,13210,小金井市,Koganei-shi,,3181,654,-,-,395,179,20,-,-,1179,754
平成24,2012,2,13211,小平市,Kodaira-shi,,8316,5470,-,14,313,27,11,-,-,21,2460
平成24,2012,2,13212,日野市,Hino-shi,,10386,2908,-,8,203,654,75,12,17,906,5603
平成24,2012,2,13213,東村山市,Higashimurayama-shi,,8373,5686,-,35,172,101,-,-,-,622,1757
平成24,2012,2,13214,国分寺市,Kokubunji-shi,,3052,1687,-,3,486,20,13,-,-,-,843
平成24,2012,2,13215,国立市,Kunitachi-shi,,5139,2211,-,470,62,-,-,-,-,-,2396
平成24,2012,2,13218,福生市,Fussa-shi,,3618,757,-,2,24,332,5,-,-,1634,864
平成24,2012,2,13219,狛江市,Komae-shi,,2743,1801,-,-,98,45,3,-,-,786,10
平成24,2012,2,13220,東大和市,Higashiyamato-shi,,5288,3083,-,3,77,30,1,-,-,2094,-
平成24,2012,2,13221,清瀬市,Kiyose-shi,,7311,3840,-,40,-,147,1,-,13,1140,2130
平成24,2012,2,13222,東久留米市,Higashikurume-shi,,7784,2490,-,9,145,-,2,22,45,2865,2206
平成24,2012,2,13223,武蔵村山市,Musashimurayama-shi,,4508,4264,-,1,-,30,-,-,-,-,213
平成24,2012,2,13224,多摩市,Tama-shi,,13147,4963,-,4,114,132,1,-,-,1630,6303
平成24,2012,2,13225,稲城市,Inagi-shi,,4498,1161,-,146,129,10,-,-,-,1650,1402
平成24,2012,2,13227,羽村市,Hamura-shi,,1342,349,-,1,21,131,-,-,-,-,840
平成24,2012,2,13228,あきる野市,Akiruno-shi,,169,-,-,-,-,169,-,-,-,-,-
平成24,2012,2,13229,西東京市,Nishitokyo-shi,,11477,5481,-,179,502,52,39,-,-,901,4323
平成24,2012,1,13300,郡部,All gun,,1285,978,-,17,-,206,84,-,-,-,-
平成24,2012,2,13303,瑞穂町,Mizuho-machi,,1067,978,-,17,-,72,-,-,-,-,-
平成24,2012,2,13305,日の出町,Hinode-machi,,67,-,-,-,-,67,-,-,-,-,-
平成24,2012,2,13308,奥多摩町,Okutama-machi,,85,-,-,-,-,44,41,-,-,-,-
平成24,2012,2,13307,檜原村,Hinohara-mura,,66,-,-,-,-,23,43,-,-,-,-
平成24,2012,1,13350,島部,All islands,,1537,-,393,-,-,1118,26,-,-,-,-
平成24,2012,1,99999,* 都外,* Out of Tokyo-to,3),2,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,
3-5  都営・区市町村・公社・都市機構等賃貸住宅管理戸数（平成21～平成24年度末） 3-5  RENTAL HOUSING UNITS BY TYPE OF MANAGEMENT ( End of Fiscal Year  2009-2012 ）,,,,,,,,,,,,,,,,,
注 1) ２市以上にまたがる都市再生機構の各団地は，それぞれの戸数の多くが所在する市に統一集計した。,,,,,,,,,,,,,,,,,
2) 福祉住宅等には引揚者住宅及び小笠原住宅を含む。,,,,,,,,,,,,,,,,,
3) ＊神奈川県相模原市所在の引揚者住宅。,,,,,,,,,,,,,,,,,
4) 区市町村住宅の内訳は，公営：公営住宅，借上公営住宅 ／その他：特定公共賃貸住宅，特定優良賃貸住宅，改良住宅，区市町村単独住宅等。,,,,,,,,,,,,,,,,,
Note: 1) Figures for Urban Renaissance Agency residences straddling two or more cities are included in the city where the majority of the residential units are located.,,,,,,,,,,,,,,,,,
2) Welfare housing etc. includes repatriation housing and Ogasawara housing.,,,,,,,,,,,,,,,,,
3) * Repatriation housing located in Kanagawa prefecture.,,,,,,,,,,,,,,,,,
"4) Municipal housing's ""public"" is public housing and leased public housing， and ""others"" include  specified public rental housing， specified good quality rental housing， upgraded housing， and housing built without state subsidies.",,,,,,,,,,,,,,,,,
資料：都都市整備局総務部企画経理課「事業概要」　　Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,,,
