項番 Item number,地域,District,消防署,Fire Station,マーク Mark,4階以上の建築物数 Buildings with 4 stories and more／総数 Total,4階以上の建築物数 Buildings with 4 stories and more／4階 4 Stories,4階以上の建築物数 Buildings with 4 stories and more／5階 5 Stories,4階以上の建築物数 Buildings with 4 stories and more／6階 6 Stories,4階以上の建築物数 Buildings with 4 stories and more／7階 7 Stories,4階以上の建築物数 Buildings with 4 stories and more／8階 8 Stories,4階以上の建築物数 Buildings with 4 stories and more／9階 9 Stories,4階以上の建築物数 Buildings with 4 stories and more／10階 10 Stories,4階以上の建築物数 Buildings with 4 stories and more／11階 11 Stories,4階以上の建築物数 Buildings with 4 stories and more／12階 12 Stories,4階以上の建築物数 Buildings with 4 stories and more／13～29階 13-29 Stories,4階以上の建築物数 Buildings with 4 stories and more／30階以上 30 Stories and higher,地階を有する建築物数 Buildings with basements／総数 Total,地階を有する建築物数 Buildings with basements／地下1階 1 Basement level,地階を有する建築物数 Buildings with basements／地下2階 2 Basement levels,地階を有する建築物数 Buildings with basements／地下3階 3 Basement levels,地階を有する建築物数 Buildings with basements／地下4階以下 4 Basement levels and lower
,総数,Total,,,,158300,46861,39017,18527,14370,11712,8865,6863,3773,2505,5514,293,68834,60843,6403,1091,497
,区部,All ku,,,,133670,38064,30624,16190,12840,10551,8222,6271,3306,2296,5020,286,58805,51506,5796,1026,477
1,千代田区,Chiyoda-ku,丸の内署,Marunouchi F. Sta.,,205,15,14,5,4,11,26,19,13,4,72,22,250,64,57,43,86
2,千代田区,Chiyoda-ku,麹町署,Kojimachi F. Sta.,,1921,168,283,296,275,272,254,176,53,35,100,9,1305,947,273,55,30
3,千代田区,Chiyoda-ku,神田署,Kanda F. Sta.,,4408,423,758,692,635,667,599,336,79,83,131,5,2279,1916,311,42,10
4,中央区,Chuo-ku,京橋署,Kyobashi F. Sta.,,3536,277,477,456,469,543,553,355,127,118,159,2,2261,1680,459,83,39
5,中央区,Chuo-ku,日本橋署,Nihonbashi F. Sta.,,3689,295,542,547,518,514,518,351,143,119,139,3,1931,1573,265,70,23
6,中央区,Chuo-ku,臨港署,Rinko F. Sta.,,595,96,84,64,59,88,37,32,18,31,61,25,206,161,31,6,8
7,港区,Minato-ku,芝署,Shiba F. Sta.,,3978,476,641,506,485,503,546,311,139,102,229,40,2192,1753,319,79,41
8,港区,Minato-ku,麻布署,Azabu F. Sta.,,2383,547,495,316,278,229,180,107,60,50,114,7,1720,1465,207,34,14
9,港区,Minato-ku,赤坂署,Akasaka F. Sta.,,1898,389,372,261,210,205,184,119,46,27,75,10,1617,1311,231,57,18
10,港区,Minato-ku,高輪署,Takanawa F. Sta.,,1264,303,256,129,124,109,80,67,46,36,93,21,789,647,103,28,11
11,新宿区,Shinjuku-ku,四谷署,Yotsuya F. Sta.,,1966,392,392,248,197,205,210,167,76,24,55,-,1261,1066,160,33,2
12,新宿区,Shinjuku-ku,牛込署,Ushigome F. Sta.,,2254,557,584,295,228,157,119,108,55,49,98,4,1250,1096,130,18,6
13,新宿区,Shinjuku-ku,新宿署,Shinjuku F. Sta.,,4987,1510,1117,544,394,363,337,270,124,96,199,33,2898,2357,415,76,50
14,文京区,Bunkyo-ku,小石川署,Koishikawa F. Sta.,,2422,653,554,284,201,160,160,116,101,57,134,2,1159,1014,120,15,10
15,文京区,Bunkyo-ku,本郷署,Hongo F. Sta.,,2403,478,466,304,246,241,178,166,90,73,161,-,1277,1125,126,20,6
16,台東区,Taito-ku,上野署,Ueno F. Sta.,,3020,485,576,452,385,347,283,197,101,70,121,3,1335,1188,121,11,15
17,台東区,Taito-ku,浅草署,Asakusa F. Sta.,,2775,524,635,386,294,261,248,177,100,54,96,-,890,840,40,9,1
18,台東区,Taito-ku,日本堤署,Nihonzutsumi F. Sta.,,1589,461,352,210,146,118,93,84,45,30,49,1,356,336,13,6,1
19,墨田区,Sumida-ku,本所署,Honjo F. Sta.,,4272,1042,971,583,566,310,261,211,116,86,122,4,712,661,39,9,3
20,墨田区,Sumida-ku,向島署,Mukojima F. Sta.,,952,335,190,85,77,44,56,43,28,25,66,3,180,159,19,2,-
21,江東区,Koto-ku,深川署,Fukagawa F. Sta.,,3782,877,928,521,387,287,176,175,119,85,196,31,728,632,68,18,10
22,江東区,Koto-ku,城東署,Joto F. Sta.,,2367,581,546,237,182,196,137,122,111,49,204,2,455,427,25,2,1
23,品川区,Shinagawa-ku,品川署,Shinagawa F. Sta.,,2316,513,461,250,220,219,177,140,107,67,152,10,1295,1096,172,20,7
24,品川区,Shinagawa-ku,大井署,Oi F. Sta.,,1461,373,334,180,130,125,81,56,40,32,109,1,500,460,30,5,5
25,品川区,Shinagawa-ku,荏原署,Ebara F. Sta.,,1793,772,455,158,128,67,41,50,41,28,53,-,720,678,36,5,1
26,目黒区,Meguro-ku,目黒署,Meguro F. Sta.,,3334,1227,801,406,316,176,118,119,59,46,61,5,2019,1850,146,20,3
27,大田区,Ota-ku,大森署,Omori F. Sta.,,2670,1015,615,322,228,153,91,89,64,29,64,-,949,866,76,5,2
28,大田区,Ota-ku,田園調布署,Denenchofu F. Sta.,,1534,635,381,199,141,74,36,26,18,8,15,1,757,714,37,6,-
29,大田区,Ota-ku,蒲田署,Kamata F. Sta.,,2095,752,522,233,139,130,79,70,47,36,87,-,501,468,27,5,1
30,大田区,Ota-ku,矢口署,Yaguchi F. Sta.,,1582,612,356,224,133,82,57,37,21,11,49,-,392,363,26,2,1
31,世田谷区,Setagaya-ku,世田谷署,Setagaya F. Sta.,,3736,1613,1032,356,241,163,92,106,32,34,65,2,2161,2054,99,6,2
32,世田谷区,Setagaya-ku,玉川署,Tamagawa F. Sta.,,2116,892,657,225,158,75,43,24,14,9,17,2,1388,1309,70,8,1
33,世田谷区,Setagaya-ku,成城署,Seijo F. Sta.,,1608,695,509,151,103,57,36,30,6,6,15,-,796,750,40,6,-
34,渋谷区,Shibuya-ku,渋谷署,Shibuya F. Sta.,,6725,1645,1466,873,724,660,511,360,144,102,232,8,4890,4113,654,89,34
35,中野区,Nakano-ku,中野署,Nakano F. Sta.,,2584,995,672,240,214,160,91,80,58,34,37,3,1218,1122,83,9,4
36,中野区,Nakano-ku,野方署,Nogata F. Sta.,,1408,689,321,164,102,70,28,14,11,5,4,-,719,693,22,2,2
37,杉並区,Suginami-ku,杉並署,Suginami F. Sta.,,2946,1239,748,333,232,162,79,59,35,21,38,-,1483,1401,73,8,1
38,杉並区,Suginami-ku,荻窪署,Ogikubo F. Sta.,,2026,906,553,217,130,86,55,33,13,12,21,-,1068,1026,39,3,-
39,豊島区,Toshima-ku,豊島署,Toshima F. Sta.,,3243,611,681,454,373,345,257,201,101,77,137,6,1615,1439,149,24,3
40,豊島区,Toshima-ku,池袋署,Ikebukuro F. Sta.,,2326,856,508,272,176,172,117,106,36,25,55,3,1182,1053,93,28,8
41,北区,Kita-ku,王子署,Oji F. Sta.,,1348,469,378,126,87,98,36,47,31,26,50,-,521,491,27,3,-
42,北区,Kita-ku,赤羽署,Akabane F. Sta.,,1465,465,393,169,128,84,52,38,40,24,72,-,347,316,25,3,3
