品目 1,Item 1,品目 2,Item 2,品目 3,Item 3,品目 4,Item 4,単位,Units,総数 Total／数量 Quantity,総数 Total／金額 Value,海上 By sea／数量 Quantity,海上 By sea／金額 Value,航空 By air／数量 Quantity,航空 By air／金額 Value
総額,Total,,,,,,,,,,18374257,,8458523,,9915734
食料品及び動物,Foodstuffs and animals,,,,,,,,,,1428869,,1314714,,114155
食料品及び動物,Foodstuffs and animals,肉類及び同調製品,Meat and meat preparations,,,,,1，000t,,963,421582,963,421582,-,-
食料品及び動物,Foodstuffs and animals,魚介類及び同調製品,Fish and fish preparations,,,,,1，000t,,740,512963,694,460386,45,52577
食料品及び動物,Foodstuffs and animals,果実及び野菜,Fruits and vegetables,,,,,1，000t,,1620,248542,1559,213741,61,34801
飲料及びたばこ,Beverages and tobacco,,,,,,,,,,400013,,390030,,9983
飲料及びたばこ,Beverages and tobacco,アルコール飲料,Alcoholic beverages,,,,,1，000kl,,286,98796,286,98796,-,-
飲料及びたばこ,Beverages and tobacco,たばこ,Tobacco,,,,,,,,273456,,273456,,-
食料に適さない原材料,No beverage Raw material,,,,,,,,,,240386,,177257,,63129
鉱物性燃料,Mineral fuels,,,,,,,,,,10699,,9247,,1452
動植物性油脂,Animal and vegetable oils and fats,,,,,,,1，000t,,108,22156,107,21049,0,1107
化学製品,Chemical products,,,,,,,,,,2371606,,779670,,1591935
化学製品,Chemical products,元素及び化合物,Elements and compounds,,,,,,,,594285,,176930,,417355
化学製品,Chemical products,有機化合物,Organic chemicals,,,,,,,,483612,,102013,,381599
化学製品,Chemical products,医薬品,Medical products,,,,,1，000t,,37,1075712,29,102960,8,972752
化学製品,Chemical products,プラスチック,Plastic materials,,,,,1，000t,,953,249929,941,206961,12,42969
原料別製品,Manufactured goods by raw materials,,,,,,,,,,1439471,,860715,,578756
原料別製品,Manufactured goods by raw materials,紙類及び同製品,Paper and paper products,,,,,1，000t,,1131,135102,1131,135102,-,-
原料別製品,Manufactured goods by raw materials,織物用糸及び繊維製品,Textile yarn and textile goods,,,,,,,,159821,,136690,,23131
原料別製品,Manufactured goods by raw materials,非金属鉱物製品,Non-metallic mineral products,,,,,,,,202148,,85653,,116495
原料別製品,Manufactured goods by raw materials,非鉄金属,Non-ferrous metals,,,,,1，000t,,56,487938,53,137723,4,350214
原料別製品,Manufactured goods by raw materials,金属製品,Metal goods,,,,,,,,244261,,184682,,59579
機械類及び輸送用機器,Machinery and transport equipment,,,,,,,,,,8063796,,2782337,,5281459
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,,,,,,,,2674774,,1158839,,1515935
機械類及び輸送用機器,Machinery and transport equipment,一般機械,Machinery,事務用機器,Office machines,,,,,,1563577,,673064,,890512
